languageNullable,kernelTypeNullable,isPrivateNullable,enableGpuNullable,enableInternetNullable,id,ref,title,author,slug,lastRunTime,language,hasLanguage,kernelType,hasKernelType,isPrivate,hasIsPrivate,enableGpu,hasEnableGpu,enableInternet,hasEnableInternet,categoryIds,datasetDataSources,kernelDataSources,competitionDataSources,totalVotes,competitionId
,,,,,0,michaelapers/the-plasticc-astronomy-starter-kit,"The PLAsTiCC Astronomy ""Starter Kit""",MichaelApers,,2018-09-27T19:27:32.73Z,,False,,False,False,False,False,False,False,False,[],[],[],[],301,PLAsTiCC-2018
,,,,,0,meaninglesslives/simple-neural-net-for-time-series-classification,Simple Neural Net for Time Series Classification,Siddhartha,,2018-11-02T01:45:08.23Z,,False,,False,False,False,False,False,False,False,[],[],[],[],225,PLAsTiCC-2018
,,,,,0,ogrellier/plasticc-in-a-kernel-meta-and-data,PLAsTiCC_in_a_kernel_meta_and_data,olivier,,2018-11-27T06:56:44.237Z,,False,,False,False,False,False,False,False,False,[],[],[],[],145,PLAsTiCC-2018
,,,,,0,mithrillion/all-classes-light-curve-characteristics-updated,All Classes Light Curve Characteristics (updated),Mithrillion,,2018-11-22T08:20:27.133Z,,False,,False,False,False,False,False,False,False,[],[],[],[],122,PLAsTiCC-2018
,,,,,0,kyleboone/naive-benchmark-galactic-vs-extragalactic,Naive Benchmark - Galactic vs Extragalactic,Kyle Boone,,2018-09-30T19:36:02.79Z,,False,,False,False,False,False,False,False,False,[],[],[],[],118,PLAsTiCC-2018
,,,,,0,cttsai/forked-lgbm-w-ideas-from-kernels-and-discuss,Forked LGBM w/ ideas from kernels and discuss,Chia-Ta Tsai,,2018-11-20T04:42:38.037Z,,False,,False,False,False,False,False,False,False,[],[],[],[],108,PLAsTiCC-2018
,,,,,0,michaelapers/the-plasticc-astronomy-classification-demo,The PLAsTiCC Astronomy Classification Demo,MichaelApers,,2018-09-27T18:34:38.963Z,,False,,False,False,False,False,False,False,False,[],[],[],[],108,PLAsTiCC-2018
,,,,,0,iprapas/ideas-from-kernels-and-discussion-lb-1-135,Ideas from kernels and discussion (LB ~ 1.135),iprapas,,2018-11-13T19:32:05.907Z,,False,,False,False,False,False,False,False,False,[],[],[],[],102,PLAsTiCC-2018
,,,,,0,mithrillion/strategies-for-flux-time-series-preprocessing,Strategies for Flux Time Series Preprocessing,Mithrillion,,2018-11-03T04:54:20.73Z,,False,,False,False,False,False,False,False,False,[],[],[],[],90,PLAsTiCC-2018
,,,,,0,jimpsull/collaboratingwithkagglecommunity-1-037-lb,CollaboratingWithKaggleCommunity (1.037 LB),Jim Sullivan,,2018-12-07T14:50:13.02Z,,False,,False,False,False,False,False,False,False,[],[],[],[],70,PLAsTiCC-2018
,,,,,0,hrmello/dataset-overview-exploration-and-comments,Dataset overview - Exploration and comments,Henrique Mello,,2018-10-08T16:05:56.68Z,,False,,False,False,False,False,False,False,False,[],[],[],[],69,PLAsTiCC-2018
,,,,,0,mithrillion/know-your-objective,Know Your Objective,Mithrillion,,2018-11-19T01:41:27.75Z,,False,,False,False,False,False,False,False,False,[],[],[],[],64,PLAsTiCC-2018
