languageNullable,kernelTypeNullable,isPrivateNullable,enableGpuNullable,enableInternetNullable,id,ref,title,author,slug,lastRunTime,language,hasLanguage,kernelType,hasKernelType,isPrivate,hasIsPrivate,enableGpu,hasEnableGpu,enableInternet,hasEnableInternet,categoryIds,datasetDataSources,kernelDataSources,competitionDataSources,totalVotes,competitionId
,,,,,0,vfdev5/data-visualization,Data visualization,vfdev,,2017-07-27T06:37:23.81Z,,False,,False,False,False,False,False,False,False,[],[],[],[],178,carvana-image-masking-challenge
,,,,,0,paulorzp/run-length-encode-and-decode,Run-Length Encode and Decode,Paulo Pinto,,2018-03-11T03:35:24.68Z,,False,,False,False,False,False,False,False,False,[],[],[],[],110,carvana-image-masking-challenge
,,,,,0,vfdev5/pil-vs-opencv,PIL vs Opencv,vfdev,,2017-10-13T13:24:26.697Z,,False,,False,False,False,False,False,False,False,[],[],[],[],91,carvana-image-masking-challenge
,,,,,0,gaborfodor/augmentation-methods,Augmentation methods,beluga,,2017-09-25T13:25:50.933Z,,False,,False,False,False,False,False,False,False,[],[],[],[],78,carvana-image-masking-challenge
,,,,,0,stainsby/fast-tested-rle,"Fast, tested RLE",Sam Stainsby,,2017-08-01T07:30:14.097Z,,False,,False,False,False,False,False,False,False,[],[],[],[],77,carvana-image-masking-challenge
,,,,,0,bguberfain/naive-keras,Naive Keras,Bruno G. do Amaral,,2017-07-28T11:12:00.25Z,,False,,False,False,False,False,False,False,False,[],[],[],[],64,carvana-image-masking-challenge
,,,,,0,zfturbo/baseline-optimal-mask,Baseline [Optimal mask],ZFTurbo,,2017-07-26T18:39:34.99Z,,False,,False,False,False,False,False,False,False,[],[],[],[],51,carvana-image-masking-challenge
,,,,,0,ecobill/u-nets-with-keras,U-nets with Keras,ecobill,,2017-08-02T21:49:30.023Z,,False,,False,False,False,False,False,False,False,[],[],[],[],45,carvana-image-masking-challenge
,,,,,0,kmader/vgg16-u-net-on-carvana,VGG16+U-Net on Carvana,K Scott Mader,,2018-06-29T12:29:17.21Z,,False,,False,False,False,False,False,False,False,[],[],[],[],43,carvana-image-masking-challenge
,,,,,0,hackerpoet/even-faster-run-length-encoder,Even Faster Run Length Encoder,Kevin H,,2017-07-27T08:24:46.587Z,,False,,False,False,False,False,False,False,False,[],[],[],[],33,carvana-image-masking-challenge
,,,,,0,dikshabhati2002/image-segmentation-u-net,Image segmentation U-Net,Diksha Bhati,,2021-05-14T05:30:26.813Z,,False,,False,False,False,False,False,False,False,[],[],[],[],30,carvana-image-masking-challenge
,,,,,0,loveall/tpot-on-cervicalcancer-top10-factors,Tpot  on CervicalCancer_Top10_factors,Gokagglers ,,2017-08-30T07:47:10.88Z,,False,,False,False,False,False,False,False,False,[],[],[],[],30,carvana-image-masking-challenge
,,,,,0,ekami66/clear-documented-a-to-z-code,Clear documented A to Z code,Tuatini GODARD,,2017-09-02T00:35:35.163Z,,False,,False,False,False,False,False,False,False,[],[],[],[],26,carvana-image-masking-challenge
,,,,,0,uiiurz1/how-does-the-image-scale-affect-dice, How does the image scale affect dice?,4ui_iurz1,,2017-08-22T01:55:04.923Z,,False,,False,False,False,False,False,False,False,[],[],[],[],26,carvana-image-masking-challenge
,,,,,0,arsenyinfo/h5py-caching-for-fast-data-access,h5py caching for fast data access ,Arseny Kravchenko,,2017-07-27T16:21:46.67Z,,False,,False,False,False,False,False,False,False,[],[],[],[],26,carvana-image-masking-challenge
,,,,,0,ironbar/getting-a-meaning-of-the-score,Getting a meaning of the score,ironbar,,2017-07-30T15:27:40.067Z,,False,,False,False,False,False,False,False,False,[],[],[],[],21,carvana-image-masking-challenge
,,,,,0,lyakaap/weighing-boundary-pixels-loss-script-by-keras2,Weighing boundary pixels loss script by Keras2,lyakaap,,2017-08-28T03:17:16.693Z,,False,,False,False,False,False,False,False,False,[],[],[],[],20,carvana-image-masking-challenge
,,,,,0,mlagunas/naive-unet-with-pytorch-tensorboard-logging,Naive Unet with Pytorch + Tensorboard logging,mlagunas,,2017-08-26T15:36:00.73Z,,False,,False,False,False,False,False,False,False,[],[],[],[],20,carvana-image-masking-challenge
,,,,,0,alekseit/simple-bounding-boxes,Simple bounding boxes,Aleksei Tiulpin,,2017-08-04T05:15:24.723Z,,False,,False,False,False,False,False,False,False,[],[],[],[],20,carvana-image-masking-challenge
,,,,,0,arseni/h5py-dataset-caching-with-shuffled-batch-generator,h5py dataset caching with shuffled batch generator,Arseni Anisimovich,,2017-07-27T16:20:04.043Z,,False,,False,False,False,False,False,False,False,[],[],[],[],15,carvana-image-masking-challenge
,,,,,0,tunguz/baseline-2-optimal-mask,Baseline 2 [Optimal mask],Bojan Tunguz,,2017-07-28T23:26:25.03Z,,False,,False,False,False,False,False,False,False,[],[],[],[],14,carvana-image-masking-challenge
,,,,,0,pavelgonchar/gradient-weights,Gradient weights,Pavel Hanchar,,2017-09-03T20:02:21.587Z,,False,,False,False,False,False,False,False,False,[],[],[],[],12,carvana-image-masking-challenge
,,,,,0,paulorzp/getting-a-car-color,Getting a CAR COLOR,Paulo Pinto,,2017-08-16T20:14:45.727Z,,False,,False,False,False,False,False,False,False,[],[],[],[],12,carvana-image-masking-challenge
,,,,,0,paulorzp/fast-run-length-encode,Fast Run Length Encode,Paulo Pinto,,2017-07-26T16:55:28.717Z,,False,,False,False,False,False,False,False,False,[],[],[],[],12,carvana-image-masking-challenge
,,,,,0,nandwalritik/u-net-pytorch,U-Net Pytorch,Ritik Nandwal,,2021-10-11T09:02:07.233Z,,False,,False,False,False,False,False,False,False,[],[],[],[],10,carvana-image-masking-challenge
,,,,,0,zusmani/baseline-2-optimal-mask,Baseline 2 [Optimal mask],Zeeshan-ul-hassan Usmani,,2017-09-25T15:12:29.613Z,,False,,False,False,False,False,False,False,False,[],[],[],[],10,carvana-image-masking-challenge
,,,,,0,ipythonx/carvana-image-semantic-segmentation-starter,Carvana Image Semantic Segmentation : Starter,M.Innat,,2022-03-10T07:19:26.01Z,,False,,False,False,False,False,False,False,False,[],[],[],[],9,carvana-image-masking-challenge
,,,,,0,janvichokshi/image-segmentation,Image-Segmentation,Janvi Chokshi,,2020-09-24T10:58:39.83Z,,False,,False,False,False,False,False,False,False,[],[],[],[],9,carvana-image-masking-challenge
,,,,,0,ironbar/summary-table-of-the-best-solutions,Summary table of the best solutions,ironbar,,2017-09-29T15:30:54.1Z,,False,,False,False,False,False,False,False,False,[],[],[],[],9,carvana-image-masking-challenge
,,,,,0,rdebbe/training-a-u-net-model-in-keras-theano,Training a U-Net model in keras Theano,Ramiro Debbe,,2017-08-13T20:13:51.393Z,,False,,False,False,False,False,False,False,False,[],[],[],[],9,carvana-image-masking-challenge
,,,,,0,hackerpoet/ufo-fusion-reactor-art,UFO? Fusion Reactor? Art?,Kevin H,,2017-07-28T21:42:42.26Z,,False,,False,False,False,False,False,False,False,[],[],[],[],9,carvana-image-masking-challenge
,,,,,0,ironbar/real-test-set-size-estimation,Real test set size estimation,ironbar,,2017-08-09T15:43:44.433Z,,False,,False,False,False,False,False,False,False,[],[],[],[],8,carvana-image-masking-challenge
,,,,,0,bguberfain/naive-keras-2,Naive Keras 2,Bruno G. do Amaral,,2017-08-08T21:41:54.487Z,,False,,False,False,False,False,False,False,False,[],[],[],[],8,carvana-image-masking-challenge
,,,,,0,phylake1337/99-loss-simple-sol-using-u-net-keras-tf,.99 loss - Simple Sol. using u-Net [Keras/TF] ,Ahmed Saied,,2020-03-23T18:52:57.487Z,,False,,False,False,False,False,False,False,False,[],[],[],[],7,carvana-image-masking-challenge
,,,,,0,srinesh/unet-implementation-of-caravana-kernel,Unet implementation of Caravana_Kernel,SrineshC,,2018-11-08T05:22:44.403Z,,False,,False,False,False,False,False,False,False,[],[],[],[],7,carvana-image-masking-challenge
,,,,,0,cortwave/baseline-optimal-mask-angle-opt,Baseline [Optimal mask + angle opt],Dmitry Pranchuk,,2017-07-27T08:31:32.897Z,,False,,False,False,False,False,False,False,False,[],[],[],[],7,carvana-image-masking-challenge
,,,,,0,raresbarbantan/image-and-mask-preview,Image and mask preview,Rares Barbantan,,2017-07-26T19:04:47.957Z,,False,,False,False,False,False,False,False,False,[],[],[],[],7,carvana-image-masking-challenge
,,,,,0,nuru91/caravana-u-net-with-vgg19,caravana U-Net with VGG19,Nuru91,,2021-04-26T02:45:49.37Z,,False,,False,False,False,False,False,False,False,[],[],[],[],6,carvana-image-masking-challenge
,,,,,0,uysimty/carvana-image-masking,Carvana Image Masking,Uysim,,2019-04-17T03:03:55.62Z,,False,,False,False,False,False,False,False,False,[],[],[],[],6,carvana-image-masking-challenge
,,,,,0,zusmani/lb-0-35-baseline-compressed-middle-of-frame,[LB 0.35] Baseline Compressed - Middle of frame,Zeeshan-ul-hassan Usmani,,2017-09-25T13:11:50.177Z,,False,,False,False,False,False,False,False,False,[],[],[],[],6,carvana-image-masking-challenge
,,,,,0,zusmani/baseline-optimal-mask,Baseline [Optimal mask],Zeeshan-ul-hassan Usmani,,2017-09-25T10:22:38.477Z,,False,,False,False,False,False,False,False,False,[],[],[],[],6,carvana-image-masking-challenge
,,,,,0,jsxyhelu2019/carvana-resnet34-pytorch-fastai,Carvana Resnet34 [Pytorch FastAI],jsxyhelu2019,,2022-04-28T22:42:15.657Z,,False,,False,False,False,False,False,False,False,[],[],[],[],5,carvana-image-masking-challenge
,,,,,0,akashdeepjassal/simple-solution,Simple Solution,akashdeepjassal,,2017-08-06T16:38:15.53Z,,False,,False,False,False,False,False,False,False,[],[],[],[],5,carvana-image-masking-challenge
,,,,,0,sergeykit/carvana-u-net-keras-full-kaggle,Carvana U-Net Keras Full Kaggle,Sergey_Kit,,2021-12-17T11:51:32.34Z,,False,,False,False,False,False,False,False,False,[],[],[],[],4,carvana-image-masking-challenge
,,,,,0,manickavela/segmentation-basic-unet-pytorch,Segmentation Basic UNet pytorch ,Manix,,2021-07-26T05:18:21.27Z,,False,,False,False,False,False,False,False,False,[],[],[],[],4,carvana-image-masking-challenge
,,,,,0,lalehsfz/carvana-image-segmentation-in-tensorflow,Carvana Image segmentation in Tensorflow ,Laleh Sfz,,2021-07-23T13:24:46.193Z,,False,,False,False,False,False,False,False,False,[],[],[],[],4,carvana-image-masking-challenge
,,,,,0,yacinerouizi/carvana-vgg19-u-net,Carvana VGG19 + U-Net,Rouizi Yacine,,2021-02-24T17:10:54.05Z,,False,,False,False,False,False,False,False,False,[],[],[],[],4,carvana-image-masking-challenge
,,,,,0,kambarakun/mask-images-rle-strings-speed-test-4-methods,"Mask images -> RLE strings, speed-test 4 methods.",kambarakun,,2017-09-09T22:00:40.927Z,,False,,False,False,False,False,False,False,False,[],[],[],[],4,carvana-image-masking-challenge
,,,,,0,ekami66/little-eda-just-enough-to-get-started,Little EDA (just enough to get started),Tuatini GODARD,,2017-08-23T11:24:02.43Z,,False,,False,False,False,False,False,False,False,[],[],[],[],4,carvana-image-masking-challenge
,,,,,0,krishnakumarsekar/quantum-machine-learning-i-am-back,Quantum Machine Learning I am back,krishna kumar sekar,,2017-08-07T13:24:58.36Z,,False,,False,False,False,False,False,False,False,[],[],[],[],4,carvana-image-masking-challenge
,,,,,0,tunguz/baseline-optimal-mask,Baseline [Optimal mask],Bojan Tunguz,,2017-07-26T18:43:18.323Z,,False,,False,False,False,False,False,False,False,[],[],[],[],4,carvana-image-masking-challenge
,,,,,0,bguberfain/average-mask-per-image-index,Average mask per image index,Bruno G. do Amaral,,2017-07-26T18:21:20.973Z,,False,,False,False,False,False,False,False,False,[],[],[],[],4,carvana-image-masking-challenge
,,,,,0,aamaia/display-sample,Display sample,amaia,,2017-07-26T18:34:16.893Z,,False,,False,False,False,False,False,False,False,[],[],[],[],4,carvana-image-masking-challenge
,,,,,0,tunguz/baseline-compressed-middle-of-frame-lb-0-37,Baseline Compressed - Middle of frame [LB 0.37],Bojan Tunguz,,2017-07-26T18:29:00.603Z,,False,,False,False,False,False,False,False,False,[],[],[],[],4,carvana-image-masking-challenge
