languageNullable,kernelTypeNullable,isPrivateNullable,enableGpuNullable,enableInternetNullable,id,ref,title,author,slug,lastRunTime,language,hasLanguage,kernelType,hasKernelType,isPrivate,hasIsPrivate,enableGpu,hasEnableGpu,enableInternet,hasEnableInternet,categoryIds,datasetDataSources,kernelDataSources,competitionDataSources,totalVotes,competitionId
,,,,,0,jpmiller/some-best-practices-for-analytics-reporting,Some Best Practices for Analytics Reporting,JohnM,,2020-10-15T22:41:28.17Z,,False,,False,False,False,False,False,False,False,[],[],[],[],230,cdp-unlocking-climate-solutions
,,,,,0,subinium/tips-for-making-the-informative-visualization,Tips for making the Informative Visualization,Subin An,,2020-12-07T03:07:24.383Z,,False,,False,False,False,False,False,False,False,[],[],[],[],113,cdp-unlocking-climate-solutions
,,,,,0,callumr22/cdp-starter-notebook,cdp_starter_notebook,Callum Richards,,2020-10-14T18:48:31.143Z,,False,,False,False,False,False,False,False,False,[],[],[],[],90,cdp-unlocking-climate-solutions
,,,,,0,boltmaud/started-with-dataviz-next-step-is-data-mining,"⭐️ Started with Dataviz, Next Step is Data Mining ",BoltMaud,,2020-12-01T20:31:14.737Z,,False,,False,False,False,False,False,False,False,[],[],[],[],69,cdp-unlocking-climate-solutions
,,,,,0,khotijahs1/visualisation-analysis-cdp-unlocking-climate,Visualisation & Analysis _ CDP: Unlocking Climate,Siti Khotijah,,2020-12-02T05:35:04.897Z,,False,,False,False,False,False,False,False,False,[],[],[],[],45,cdp-unlocking-climate-solutions
,,,,,0,iamleonie/cdp-dataset-intro-and-risk-assessment,CDP: Dataset Intro and Risk Assessment,Leonie,,2020-11-25T21:21:19.933Z,,False,,False,False,False,False,False,False,False,[],[],[],[],37,cdp-unlocking-climate-solutions
,,,,,0,iamleonie/impact-potential-analysis-of-water-use-efficiency,Impact Potential Analysis of Water-Use Efficiency,Leonie,,2020-12-02T20:46:56.637Z,,False,,False,False,False,False,False,False,False,[],[],[],[],30,cdp-unlocking-climate-solutions
,,,,,0,mannmann2/kpis-for-measuring-climate-action-and-inequality,KPIs for measuring Climate Action and Inequality,Arman,,2020-12-03T10:47:56.28Z,,False,,False,False,False,False,False,False,False,[],[],[],[],30,cdp-unlocking-climate-solutions
,,,,,0,sonmou/climate-care-eda-of-cities,Climate Care - EDA of Cities,Sonia Sharma,,2021-01-03T08:37:05.883Z,,False,,False,False,False,False,False,False,False,[],[],[],[],26,cdp-unlocking-climate-solutions
,,,,,0,jpbremer/environmental-justice-a-berlin-city-case,Environmental Justice - A Berlin City Case,Jan Bre,,2020-11-03T21:53:26.81Z,,False,,False,False,False,False,False,False,False,[],[],[],[],21,cdp-unlocking-climate-solutions
,,,,,0,isaienkov/cdp-unlocking-climate-solutions-understanding,CDP: Unlocking Climate Solutions. Understanding.,Kostiantyn Isaienkov,,2020-11-08T01:26:04.683Z,,False,,False,False,False,False,False,False,False,[],[],[],[],19,cdp-unlocking-climate-solutions
,,,,,0,jbrans/do-you-have-a-climate-plan,📗Do you have a climate plan ?,Jo,,2020-12-02T22:43:55.813Z,,False,,False,False,False,False,False,False,False,[],[],[],[],18,cdp-unlocking-climate-solutions
