languageNullable,kernelTypeNullable,isPrivateNullable,enableGpuNullable,enableInternetNullable,id,ref,title,author,slug,lastRunTime,language,hasLanguage,kernelType,hasKernelType,isPrivate,hasIsPrivate,enableGpu,hasEnableGpu,enableInternet,hasEnableInternet,categoryIds,datasetDataSources,kernelDataSources,competitionDataSources,totalVotes,competitionId
,,,,,0,artgor/molecular-properties-eda-and-models,Molecular Properties EDA and models,Andrew Lukyanenko,,2019-07-18T04:29:46.683Z,,False,,False,False,False,False,False,False,False,[],[],[],[],669,champs-scalar-coupling
,,,,,0,artgor/brute-force-feature-engineering,Brute force feature engineering,Andrew Lukyanenko,,2019-06-26T16:22:02.53Z,,False,,False,False,False,False,False,False,False,[],[],[],[],369,champs-scalar-coupling
,,,,,0,todnewman/keras-neural-net-for-champs,Keras Neural Net for CHAMPS,Tod Newman,,2019-07-07T23:01:24.2Z,,False,,False,False,False,False,False,False,False,[],[],[],[],259,champs-scalar-coupling
,,,,,0,artgor/using-meta-features-to-improve-model,Using meta-features to improve model,Andrew Lukyanenko,,2019-06-26T16:22:25.067Z,,False,,False,False,False,False,False,False,False,[],[],[],[],256,champs-scalar-coupling
,,,,,0,borisdee/how-to-easy-visualization-of-molecules,How To: Easy Visualization of Molecules.,Boris D.,,2019-06-04T14:23:30.617Z,,False,,False,False,False,False,False,False,False,[],[],[],[],247,champs-scalar-coupling
,,,,,0,criskiev/distance-is-all-you-need-lb-1-481,Distance - is all you need. LB -1.481,Sergii,,2019-08-07T05:25:35.98Z,,False,,False,False,False,False,False,False,False,[],[],[],[],198,champs-scalar-coupling
,,,,,0,adrianoavelar/eachtype,EachType,Adriano Avelar,,2019-06-20T11:36:05.517Z,,False,,False,False,False,False,False,False,False,[],[],[],[],189,champs-scalar-coupling
,,,,,0,cpmpml/ultra-fast-distance-matrix-computation,Ultra Fast Distance Matrix Computation,CPMP,,2019-08-02T18:36:46.81Z,,False,,False,False,False,False,False,False,False,[],[],[],[],181,champs-scalar-coupling
,,,,,0,kabure/simple-eda-lightgbm-autotuning-w-hyperopt,Simple EDA - Lightgbm autotuning w/Hyperopt ,Leonardo Ferreira,,2019-07-22T14:10:17.947Z,,False,,False,False,False,False,False,False,False,[],[],[],[],181,champs-scalar-coupling
,,,,,0,seriousran/just-speed-up-calculating-atomic-distances,Just speed up calculating atomic distances,Chanran Kim,,2021-01-28T00:30:41.857Z,,False,,False,False,False,False,False,False,False,[],[],[],[],175,champs-scalar-coupling
,,,,,0,fnands/1-mpnn,1. MPNN ,fnands,,2019-08-07T08:16:25.677Z,,False,,False,False,False,False,False,False,False,[],[],[],[],173,champs-scalar-coupling
,,,,,0,borisdee/predicting-mulliken-charges-with-acsf-descriptors,Predicting Mulliken Charges With ACSF Descriptors,Boris D.,,2019-06-17T03:16:30.523Z,,False,,False,False,False,False,False,False,False,[],[],[],[],166,champs-scalar-coupling
,,,,,0,toshik/schnet-starter-kit,SchNet Starter Kit,toshi_k,,2019-08-17T11:30:12.197Z,,False,,False,False,False,False,False,False,False,[],[],[],[],153,champs-scalar-coupling
,,,,,0,adrianoavelar/bond-calculaltion-lb-0-82,Bond Calculaltion LB -0.82,Adriano Avelar,,2019-06-20T01:38:30.847Z,,False,,False,False,False,False,False,False,False,[],[],[],[],145,champs-scalar-coupling
,,,,,0,asauve/dataset-with-number-of-bonds-between-atoms,Dataset with number of bonds between atoms,Alexandre Sauvé,,2019-07-02T20:42:54.273Z,,False,,False,False,False,False,False,False,False,[],[],[],[],142,champs-scalar-coupling
,,,,,0,artgor/validation-feature-selection-interpretation-etc,"Validation, feature selection, interpretation etc",Andrew Lukyanenko,,2019-06-26T16:23:54.02Z,,False,,False,False,False,False,False,False,False,[],[],[],[],138,champs-scalar-coupling
