languageNullable,kernelTypeNullable,isPrivateNullable,enableGpuNullable,enableInternetNullable,id,ref,title,author,slug,lastRunTime,language,hasLanguage,kernelType,hasKernelType,isPrivate,hasIsPrivate,enableGpu,hasEnableGpu,enableInternet,hasEnableInternet,categoryIds,datasetDataSources,kernelDataSources,competitionDataSources,totalVotes,competitionId
,,,,,0,gpreda/deepfake-starter-kit,DeepFake Starter Kit,Gabriel Preda,,2020-02-05T09:36:03.347Z,,False,,False,False,False,False,False,False,False,[],[],[],[],629,deepfake-detection-challenge
,,,,,0,robikscube/kaggle-deepfake-detection-introduction,🙂🙃 Kaggle DeepFake Detection Introduction,Rob Mulla,,2019-12-22T13:50:28.817Z,,False,,False,False,False,False,False,False,False,[],[],[],[],358,deepfake-detection-challenge
,,,,,0,humananalog/inference-demo,Inference Demo,Human Analog,,2020-01-24T22:27:37.353Z,,False,,False,False,False,False,False,False,False,[],[],[],[],292,deepfake-detection-challenge
,,,,,0,timesler/facial-recognition-model-in-pytorch,Facial recognition model in pytorch,timesler,,2020-03-02T00:39:20.69Z,,False,,False,False,False,False,False,False,False,[],[],[],[],282,deepfake-detection-challenge
,,,,,0,timesler/comparison-of-face-detection-packages,Comparison of face detection packages,timesler,,2020-02-26T07:38:26.897Z,,False,,False,False,False,False,False,False,False,[],[],[],[],166,deepfake-detection-challenge
,,,,,0,timesler/guide-to-mtcnn-in-facenet-pytorch,Guide to MTCNN in facenet-pytorch,timesler,,2020-05-05T20:23:12.107Z,,False,,False,False,False,False,False,False,False,[],[],[],[],155,deepfake-detection-challenge
,,,,,0,robikscube/faceforensics-baseline-dlib-no-internet,FaceForensics++ Baseline (dlib & no internet),Rob Mulla,,2019-12-30T03:49:02.843Z,,False,,False,False,False,False,False,False,False,[],[],[],[],152,deepfake-detection-challenge
,,,,,0,hmendonca/proper-clustering-with-facenet-embeddings-eda,Proper Clustering with Facenet Embeddings + EDA,Henrique Mendonça,,2020-02-03T09:41:07.333Z,,False,,False,False,False,False,False,False,False,[],[],[],[],144,deepfake-detection-challenge
,,,,,0,humananalog/binary-image-classifier-training-demo,Binary Image Classifier Training Demo,Human Analog,,2020-01-26T13:36:46.817Z,,False,,False,False,False,False,False,False,False,[],[],[],[],139,deepfake-detection-challenge
,,,,,0,unkownhihi/starter-kernel-with-cnn-model-ll-lb-0-69235,Starter Kernel(with CNN model) ll(LB:0.69235),Shangqiu Li,,2020-01-17T01:25:10.03Z,,False,,False,False,False,False,False,False,False,[],[],[],[],121,deepfake-detection-challenge
,,,,,0,aleksandradeis/deepfake-challenge-eda,DeepFake Challenge EDA,Aleksandra Deis,,2019-12-22T04:50:43.317Z,,False,,False,False,False,False,False,False,False,[],[],[],[],114,deepfake-detection-challenge
,,,,,0,marcovasquez/basic-eda-face-detection-split-video-and-roi,"Basic EDA Face Detection, split video and ROI",Marco Vasquez E,,2019-12-24T22:56:58.76Z,,False,,False,False,False,False,False,False,False,[],[],[],[],107,deepfake-detection-challenge
,,,,,0,timesler/fast-mtcnn-detector-55-fps-at-full-resolution,Fast MTCNN detector (~55 FPS at full resolution),timesler,,2020-02-25T05:37:58.757Z,,False,,False,False,False,False,False,False,False,[],[],[],[],101,deepfake-detection-challenge
,,,,,0,zaharch/data-leak-in-metadata,Data leak in metadata,nosound,,2019-12-29T00:11:29.193Z,,False,,False,False,False,False,False,False,False,[],[],[],[],101,deepfake-detection-challenge
