languageNullable,kernelTypeNullable,isPrivateNullable,enableGpuNullable,enableInternetNullable,id,ref,title,author,slug,lastRunTime,language,hasLanguage,kernelType,hasKernelType,isPrivate,hasIsPrivate,enableGpu,hasEnableGpu,enableInternet,hasEnableInternet,categoryIds,datasetDataSources,kernelDataSources,competitionDataSources,totalVotes,competitionId
,,,,,0,cdeotte/tensorflow-longformer-ner-cv-0-633,TensorFlow - LongFormer - NER - [CV 0.633],Chris Deotte,,2021-12-27T16:20:51.77Z,,False,,False,False,False,False,False,False,False,[],[],[],[],523,feedback-prize-2021
,,,,,0,abhishek/two-longformers-are-better-than-1,two longformers are better than 1,Abhishek Thakur,,2022-01-13T11:03:17.13Z,,False,,False,False,False,False,False,False,False,[],[],[],[],495,feedback-prize-2021
,,,,,0,cdeotte/pytorch-bigbird-ner-cv-0-615,PyTorch - BigBird - NER - [CV 0.615],Chris Deotte,,2021-12-24T18:56:10.753Z,,False,,False,False,False,False,False,False,False,[],[],[],[],395,feedback-prize-2021
,,,,,0,erikbruin/nlp-on-student-writing-eda,NLP on Student Writing: EDA,Erik Bruin,,2022-02-06T13:57:00.573Z,,False,,False,False,False,False,False,False,False,[],[],[],[],324,feedback-prize-2021
,,,,,0,abhishek/taking-a-long-break-from-kaggle,Taking a long break from Kaggle,Abhishek Thakur,,2022-01-15T11:27:49.097Z,,False,,False,False,False,False,False,False,False,[],[],[],[],205,feedback-prize-2021
,,,,,0,julian3833/feedback-baseline-sentence-classifier-0-226,📖Feedback- Baseline🤗 Sentence Classifier [0.226],dataista0 (Julián Peller),,2021-12-20T18:58:25.583Z,,False,,False,False,False,False,False,False,False,[],[],[],[],194,feedback-prize-2021
,,,,,0,robikscube/student-writing-competition-twitch-stream,🎓 Student Writing Competition [Twitch Stream],Rob Mulla,,2021-12-25T17:30:16.31Z,,False,,False,False,False,False,False,False,False,[],[],[],[],186,feedback-prize-2021
,,,,,0,thedrcat/feedback-prize-huggingface-baseline-training,Feedback Prize HuggingFace Baseline: Training,Darek Kłeczek,,2021-12-23T23:14:56.663Z,,False,,False,False,False,False,False,False,False,[],[],[],[],152,feedback-prize-2021
,,,,,0,thedrcat/feedback-prize-eda-with-displacy,Feedback Prize EDA with displacy,Darek Kłeczek,,2022-02-04T22:24:38.863Z,,False,,False,False,False,False,False,False,False,[],[],[],[],147,feedback-prize-2021
,,,,,0,abhishek/creating-folds-properly-hopefully-p,creating folds properly (hopefully :P),Abhishek Thakur,,2022-01-11T08:11:40.38Z,,False,,False,False,False,False,False,False,False,[],[],[],[],146,feedback-prize-2021
,,,,,0,odins0n/feedback-prize-eda,📊 Feedback Prize - EDA 📊,Sanskar Hasija,,2022-01-25T03:35:33.107Z,,False,,False,False,False,False,False,False,False,[],[],[],[],131,feedback-prize-2021
