languageNullable,kernelTypeNullable,isPrivateNullable,enableGpuNullable,enableInternetNullable,id,ref,title,author,slug,lastRunTime,language,hasLanguage,kernelType,hasKernelType,isPrivate,hasIsPrivate,enableGpu,hasEnableGpu,enableInternet,hasEnableInternet,categoryIds,datasetDataSources,kernelDataSources,competitionDataSources,totalVotes,competitionId
,,,,,0,ryotayoshinobu/foursquare-lightgbm-baseline,Foursquare - LightGBM Baseline,penguin46,,2022-04-21T16:41:40.807Z,,False,,False,False,False,False,False,False,False,[],[],[],[],305,foursquare-location-matching
,,,,,0,ragnar123/flm-xlmroberta-inference-baseline,FLM XLMRoberta Inference Baseline,Martin Kovacevic Buvinic,,2022-05-11T17:56:48.867Z,,False,,False,False,False,False,False,False,False,[],[],[],[],123,foursquare-location-matching
,,,,,0,guoyonfan/binary-lgb-baseline-0-834,binary_lgb_baseline[0.834],Guo Yonfan,,2022-05-17T05:38:53.047Z,,False,,False,False,False,False,False,False,False,[],[],[],[],106,foursquare-location-matching
,,,,,0,edwintyh/foursquare-starter-eda,Foursquare: Starter EDA,edwintyh,,2022-04-24T02:06:46.177Z,,False,,False,False,False,False,False,False,False,[],[],[],[],105,foursquare-location-matching
,,,,,0,nlztrk/public-0-861-pykakasi-radian-coordinates,Public: 0.861 | PyKakasi & Radian Coordinates,Anıl Öztürk,,2022-06-13T20:55:24.807Z,,False,,False,False,False,False,False,False,False,[],[],[],[],85,foursquare-location-matching
,,,,,0,aerdem4/foursquare-rapids-xgb-inference,Foursquare RAPIDS XGB Inference,Ahmet Erdem,,2022-04-19T12:40:13.17Z,,False,,False,False,False,False,False,False,False,[],[],[],[],85,foursquare-location-matching
,,,,,0,aerdem4/foursquare-cat2vec,Foursquare Cat2Vec,Ahmet Erdem,,2022-05-06T06:58:17.557Z,,False,,False,False,False,False,False,False,False,[],[],[],[],78,foursquare-location-matching
,,,,,0,guoyonfan/training-data-for-binary-lgb-baseline-0-834,training_data_for_binary_lgb_baseline[0.834],Guo Yonfan,,2022-05-17T02:09:14.493Z,,False,,False,False,False,False,False,False,False,[],[],[],[],76,foursquare-location-matching
,,,,,0,hidehisaarai1213/foursquare-eda-distance-distribution-variation,Foursquare EDA - distance distribution variation,Hidehisa Arai,,2022-05-04T14:39:17.653Z,,False,,False,False,False,False,False,False,False,[],[],[],[],59,foursquare-location-matching
,,,,,0,robikscube/foursquare-location-matching-eda-twitch-stream,Foursquare - Location Matching EDA [Twitch Stream],Rob Mulla,,2022-04-22T03:10:28.027Z,,False,,False,False,False,False,False,False,False,[],[],[],[],55,foursquare-location-matching
