languageNullable,kernelTypeNullable,isPrivateNullable,enableGpuNullable,enableInternetNullable,id,ref,title,author,slug,lastRunTime,language,hasLanguage,kernelType,hasKernelType,isPrivate,hasIsPrivate,enableGpu,hasEnableGpu,enableInternet,hasEnableInternet,categoryIds,datasetDataSources,kernelDataSources,competitionDataSources,totalVotes,competitionId
,,,,,0,cstein06/tutorial-to-the-g-research-crypto-competition,Tutorial to the G-Research Crypto Competition,Carlos Stein N Brito,,2022-01-11T13:53:29.597Z,,False,,False,False,False,False,False,False,False,[],[],[],[],667,g-research-crypto-forecasting
,,,,,0,julian3833/g-research-starter-lgbm-pipeline,🪙💲 G-Research- Starter LGBM Pipeline,dataista0 (Julián Peller),,2021-11-06T07:29:00.307Z,,False,,False,False,False,False,False,False,False,[],[],[],[],270,g-research-crypto-forecasting
,,,,,0,odins0n/g-research-plots-eda,📊 G-Research Plots + EDA 📊,Sanskar Hasija,,2022-01-25T03:33:41.85Z,,False,,False,False,False,False,False,False,False,[],[],[],[],202,g-research-crypto-forecasting
,,,,,0,odins0n/exploring-time-series-plots-beginners-guide,📈Exploring Time Series plots: Beginners Guide📈,Sanskar Hasija,,2021-11-18T01:16:26.717Z,,False,,False,False,False,False,False,False,False,[],[],[],[],174,g-research-crypto-forecasting
,,,,,0,julian3833/g-research-using-the-overlap-fully-lb-0-99,🪙💲 G-Research- Using the overlap fully [LB=0.99],dataista0 (Julián Peller),,2022-02-08T03:20:27.413Z,,False,,False,False,False,False,False,False,False,[],[],[],[],162,g-research-crypto-forecasting
,,,,,0,sudalairajkumar/simple-exploration-notebook-crypto-forecasting,Simple Exploration Notebook - Crypto Forecasting,SRK,,2021-11-08T09:43:58.327Z,,False,,False,False,False,False,False,False,False,[],[],[],[],156,g-research-crypto-forecasting
,,,,,0,alexfir/recreating-target,Recreating Target,Alexander Firsov,,2021-11-17T19:24:10.743Z,,False,,False,False,False,False,False,False,False,[],[],[],[],152,g-research-crypto-forecasting
,,,,,0,iamleonie/time-series-interpreting-acf-and-pacf,Time Series: Interpreting ACF and PACF,Leonie,,2022-03-15T08:30:52.523Z,,False,,False,False,False,False,False,False,False,[],[],[],[],150,g-research-crypto-forecasting
,,,,,0,sohier/detailed-api-introduction,Detailed API Introduction,Sohier Dane,,2021-11-02T16:03:37.027Z,,False,,False,False,False,False,False,False,False,[],[],[],[],136,g-research-crypto-forecasting
,,,,,0,julian3833/proposal-for-a-meaningful-lb-strict-lgbm,🪙💲 Proposal for a meaningful LB + Strict LGBM ,dataista0 (Julián Peller),,2021-11-21T23:09:31.323Z,,False,,False,False,False,False,False,False,False,[],[],[],[],120,g-research-crypto-forecasting
,,,,,0,metathesis/torch-lstm-baseline-training-updated,Torch 🔥 LSTM Baseline + Training 💪 (Updated),Jim Eric Skogman,,2021-11-04T05:41:34.057Z,,False,,False,False,False,False,False,False,False,[],[],[],[],106,g-research-crypto-forecasting
,,,,,0,junjitakeshima/crypto-beginner-s-try-for-simple-lgbm-en-jp,[Crypto] Beginner's Try for simple LGBM (En/Jp),Junji Takeshima,,2021-12-11T06:50:23.74Z,,False,,False,False,False,False,False,False,False,[],[],[],[],104,g-research-crypto-forecasting
