languageNullable,kernelTypeNullable,isPrivateNullable,enableGpuNullable,enableInternetNullable,id,ref,title,author,slug,lastRunTime,language,hasLanguage,kernelType,hasKernelType,isPrivate,hasIsPrivate,enableGpu,hasEnableGpu,enableInternet,hasEnableInternet,categoryIds,datasetDataSources,kernelDataSources,competitionDataSources,totalVotes,competitionId
,,,,,0,robikscube/2020-march-madness-data-first-look-eda,🏀 2020 March Madness Data - First Look EDA,Rob Mulla,,2020-03-28T14:42:21.4Z,,False,,False,False,False,False,False,False,False,[],[],[],[],259,google-cloud-ncaa-march-madness-2020-division-1-mens-tournament
,,,,,0,artgor/march-madness-2020-ncaam-eda-and-baseline,March Madness 2020 NCAAM EDA and baseline,Andrew Lukyanenko,,2020-03-05T09:29:41.637Z,,False,,False,False,False,False,False,False,False,[],[],[],[],89,google-cloud-ncaa-march-madness-2020-division-1-mens-tournament
,,,,,0,vbmokin/mm-ncaam-no-leaks-lgb-xgb-logreg,"MM NCAAM [No leaks]: LGB, XGB, LogReg",Vitalii Mokin,,2020-03-17T20:39:56.347Z,,False,,False,False,False,False,False,False,False,[],[],[],[],80,google-cloud-ncaa-march-madness-2020-division-1-mens-tournament
,,,,,0,ratan123/march-madness-2020-ncaam-simple-lightgbm-on-kfold,March Madness 2020 NCAAM:Simple Lightgbm on KFold,ratan rohith,,2020-03-06T15:31:46.44Z,,False,,False,False,False,False,False,False,False,[],[],[],[],80,google-cloud-ncaa-march-madness-2020-division-1-mens-tournament
,,,,,0,khoongweihao/ncaam2020-2021-xgboost-lightgbm-k-fold,NCAAM2020 & 2021: XGBoost + LightGBM K-Fold,Wei Hao Khoong,,2021-06-24T13:33:35.93Z,,False,,False,False,False,False,False,False,False,[],[],[],[],66,google-cloud-ncaa-march-madness-2020-division-1-mens-tournament
,,,,,0,lucabasa/are-men-s-and-women-s-tournaments-different,Are Men's and Women's tournaments different?,Luca Basanisi,,2020-02-29T18:44:44.047Z,,False,,False,False,False,False,False,False,False,[],[],[],[],37,google-cloud-ncaa-march-madness-2020-division-1-mens-tournament
,,,,,0,corochann/2020-ncaa-eda-all-files-explained,2020 NCAA EDA: ALL files explained,corochann,,2020-03-04T10:21:47.083Z,,False,,False,False,False,False,False,False,False,[],[],[],[],34,google-cloud-ncaa-march-madness-2020-division-1-mens-tournament
,,,,,0,hiromoon166/2020-basic-starter-kernel,2020 Basic Starter Kernel,hiromu,,2020-02-15T09:17:12.803Z,,False,,False,False,False,False,False,False,False,[],[],[],[],34,google-cloud-ncaa-march-madness-2020-division-1-mens-tournament
,,,,,0,warkingleo2000/eda-with-sparse-matrix,EDA with sparse matrix 🐱,Phan Viet Hoang,,2020-02-19T09:09:52.147Z,,False,,False,False,False,False,False,False,False,[],[],[],[],30,google-cloud-ncaa-march-madness-2020-division-1-mens-tournament
,,,,,0,robikscube/ncaa-basketball-court-plot-helper-functions,🎟️ NCAA Basketball Court Plot Helper Functions,Rob Mulla,,2020-02-27T05:18:39.21Z,,False,,False,False,False,False,False,False,False,[],[],[],[],23,google-cloud-ncaa-march-madness-2020-division-1-mens-tournament
