languageNullable,kernelTypeNullable,isPrivateNullable,enableGpuNullable,enableInternetNullable,id,ref,title,author,slug,lastRunTime,language,hasLanguage,kernelType,hasKernelType,isPrivate,hasIsPrivate,enableGpu,hasEnableGpu,enableInternet,hasEnableInternet,categoryIds,datasetDataSources,kernelDataSources,competitionDataSources,totalVotes,competitionId
,,,,,0,nayuts/let-s-visualize-dataset-to-understand,Let's visualize dataset to understand! 🚙三,Nayu.T.S.,,2021-05-23T08:44:29.327Z,,False,,False,False,False,False,False,False,False,[],[],[],[],226,google-smartphone-decimeter-challenge
,,,,,0,jeongyoonlee/google-smartphone-decimeter-eda-keras-tpu,Google Smartphone Decimeter EDA + Keras (TPU),Jeong-Yoon Lee,,2021-05-13T19:53:13.243Z,,False,,False,False,False,False,False,False,False,[],[],[],[],133,google-smartphone-decimeter-challenge
,,,,,0,t88take/gsdc-phones-mean-prediction,GSDC phones mean prediction,T88,,2021-06-02T22:36:07.283Z,,False,,False,False,False,False,False,False,False,[],[],[],[],117,google-smartphone-decimeter-challenge
,,,,,0,emaerthin/demonstration-of-the-kalman-filter,Demonstration of the Kalman filter,Marcin Bodych,,2021-05-13T00:49:36.953Z,,False,,False,False,False,False,False,False,False,[],[],[],[],107,google-smartphone-decimeter-challenge
,,,,,0,dehokanta/baseline-post-processing-by-outlier-correction,Baseline post-processing by outlier correction,dehokanta,,2021-06-01T20:04:08.88Z,,False,,False,False,False,False,False,False,False,[],[],[],[],98,google-smartphone-decimeter-challenge
,,,,,0,kuto0633/road-detection-and-creating-grid-points,Road detection and creating grid points,kuto,,2021-06-09T14:42:41.127Z,,False,,False,False,False,False,False,False,False,[],[],[],[],94,google-smartphone-decimeter-challenge
,,,,,0,alvinai9603/predict-next-point-with-the-imu-data,Predict Next Point with the IMU data ,Alvin.ai,,2021-07-03T09:54:38.427Z,,False,,False,False,False,False,False,False,False,[],[],[],[],86,google-smartphone-decimeter-challenge
,,,,,0,yasserhessein/eda-google-smartphone-decimeter,EDA+Google Smartphone Decimeter ,Yasir Hussein Shakir,,2021-06-07T19:09:19.18Z,,False,,False,False,False,False,False,False,False,[],[],[],[],85,google-smartphone-decimeter-challenge
,,,,,0,columbia2131/device-eda-interpolate-by-removing-device-en-ja,"device EDA & Interpolate by removing device[en,ja]",colum2131,,2021-06-07T09:28:10.097Z,,False,,False,False,False,False,False,False,False,[],[],[],[],74,google-smartphone-decimeter-challenge
,,,,,0,bpetrb/adaptive-gauss-phone-mean,Adaptive_gauss+phone_mean,Petr B,,2021-07-28T20:45:14.52Z,,False,,False,False,False,False,False,False,False,[],[],[],[],72,google-smartphone-decimeter-challenge
,,,,,0,mpwolke/wait-for-gps-kaggle,Wait for GPS Kaggle,Marília Prata,,2021-05-13T17:33:09.39Z,,False,,False,False,False,False,False,False,False,[],[],[],[],71,google-smartphone-decimeter-challenge
,,,,,0,sohier/loading-gnss-logs,Loading GNSS logs,Sohier Dane,,2021-05-10T22:49:49.407Z,,False,,False,False,False,False,False,False,False,[],[],[],[],66,google-smartphone-decimeter-challenge
,,,,,0,somayyehgholami/gsdc-smart-ensembling,[GSDC] Smart Ensembling,Somayyeh Gholami,,2021-07-31T05:07:31.703Z,,False,,False,False,False,False,False,False,False,[],[],[],[],64,google-smartphone-decimeter-challenge
,,,,,0,tqa236/kalman-filter-hyperparameter-search-with-bo,Kalman filter - hyperparameter search with BO,Trinh Quoc Anh,,2021-05-17T15:17:36.123Z,,False,,False,False,False,False,False,False,False,[],[],[],[],61,google-smartphone-decimeter-challenge
,,,,,0,foreveryoung/least-squares-solution-from-gnss-derived-data,Least Squares Solution from GNSS derived data,YangLiu,,2021-05-27T20:41:03.12Z,,False,,False,False,False,False,False,False,False,[],[],[],[],60,google-smartphone-decimeter-challenge
,,,,,0,museas/estimating-the-direction-with-a-magnetic-sensor,Estimating the direction with a magnetic sensor,museas,,2021-06-18T16:29:03.497Z,,False,,False,False,False,False,False,False,False,[],[],[],[],59,google-smartphone-decimeter-challenge
,,,,,0,jpmiller/baseline-from-host-data,Baseline from host data,JohnM,,2021-05-12T21:30:53.663Z,,False,,False,False,False,False,False,False,False,[],[],[],[],58,google-smartphone-decimeter-challenge
,,,,,0,wrrosa/gsdc-position-shift,GSDC: Position shift,Wojtek Rosa,,2021-06-02T09:16:48.667Z,,False,,False,False,False,False,False,False,False,[],[],[],[],56,google-smartphone-decimeter-challenge
,,,,,0,gymf123/tips-notes-from-the-competition-hosts,Tips/Notes from the Competition Hosts,Michael Fu,,2021-07-01T18:39:12.913Z,,False,,False,False,False,False,False,False,False,[],[],[],[],52,google-smartphone-decimeter-challenge
,,,,,0,tensorchoko/google-multioutputregressor,⬛Google  MultiOutputRegressor　,tensor choko,,2021-08-10T08:19:07.043Z,,False,,False,False,False,False,False,False,False,[],[],[],[],46,google-smartphone-decimeter-challenge
,,,,,0,tyonemoto/data-divided-into-3-areas-downtown-highway-tree,"Data divided into 3 areas(downtown,highway,tree)",yone-moto,,2021-06-19T05:55:14.383Z,,False,,False,False,False,False,False,False,False,[],[],[],[],43,google-smartphone-decimeter-challenge
,,,,,0,t88take/gsdc-eda-error-when-stopping,GSDC EDA : Error when stopping,T88,,2021-06-10T00:48:56.49Z,,False,,False,False,False,False,False,False,False,[],[],[],[],36,google-smartphone-decimeter-challenge
,,,,,0,carlmcbrideellis/google-smartphone-decimeter-eda,Google Smartphone Decimeter: EDA,Carl McBride Ellis,,2021-05-14T20:19:58.41Z,,False,,False,False,False,False,False,False,False,[],[],[],[],33,google-smartphone-decimeter-challenge
,,,,,0,katomash/a-car-is-moving-or-not-accuracy-94,A car is Moving or Not?? Accuracy 94%!,mashrimp,,2021-07-29T07:37:21.123Z,,False,,False,False,False,False,False,False,False,[],[],[],[],32,google-smartphone-decimeter-challenge
,,,,,0,hyperc/gsdc-reproducing-baseline-wls-on-one-measurement,GSDC - Reproducing baseline WLS on one Measurement,Parrot,,2021-06-27T13:32:10.583Z,,False,,False,False,False,False,False,False,False,[],[],[],[],31,google-smartphone-decimeter-challenge
,,,,,0,cuttingmachine/all-in-one-data,All In One Data,SangWon Lee,,2021-06-20T20:41:41.217Z,,False,,False,False,False,False,False,False,False,[],[],[],[],25,google-smartphone-decimeter-challenge
,,,,,0,columbia2131/area-knn-prediction-train-hand-label,Area kNN Prediction - Train Hand-Label,colum2131,,2021-07-30T15:13:47.187Z,,False,,False,False,False,False,False,False,False,[],[],[],[],24,google-smartphone-decimeter-challenge
,,,,,0,ramswaroopbhakar14/baseline-appraoch-linear-regression,Baseline Appraoch - Linear Regression,Ramswaroop,,2021-05-16T18:14:46.767Z,,False,,False,False,False,False,False,False,False,[],[],[],[],24,google-smartphone-decimeter-challenge
,,,,,0,rtombs/gsdc-blend,GSDC blend,Rupert Tombs,,2021-06-08T07:54:45.41Z,,False,,False,False,False,False,False,False,False,[],[],[],[],23,google-smartphone-decimeter-challenge
,,,,,0,ryotayoshinobu/5th-place-post-processing-for-saito-s-baseline,5th Place Post-processing (for Saito's baseline),penguin46,,2021-08-15T04:08:47.033Z,,False,,False,False,False,False,False,False,False,[],[],[],[],21,google-smartphone-decimeter-challenge
,,,,,0,asobod11138/gsdc-neuralnet-keras,GSDC_NeuralNet_Keras,asobod11138,,2021-06-23T08:10:58.503Z,,False,,False,False,False,False,False,False,False,[],[],[],[],20,google-smartphone-decimeter-challenge
,,,,,0,jillanisofttech/google-smartphone-decimeter-challenge-by-jst,Google Smartphone Decimeter Challenge By JST,Jillani Soft Tech,,2021-10-27T09:49:47.067Z,,False,,False,False,False,False,False,False,False,[],[],[],[],16,google-smartphone-decimeter-challenge
,,,,,0,saitodevel01/gsdc-vehicle-speed-estimation-by-doppler-shift,GSDC - Vehicle Speed Estimation by Doppler Shift,Akio Saito,,2021-08-02T14:30:56.367Z,,False,,False,False,False,False,False,False,False,[],[],[],[],16,google-smartphone-decimeter-challenge
,,,,,0,saitodevel01/gsdc-optimization-based-smoothing-1st-version,GSDC - Optimization based smoothing (1st version),Akio Saito,,2021-08-05T03:26:02.1Z,,False,,False,False,False,False,False,False,False,[],[],[],[],16,google-smartphone-decimeter-challenge
,,,,,0,avtobusbratiev/additional-gt-data-chipset-location,Additional GT data (chipset location),majoraregalia,,2021-07-25T14:41:15.97Z,,False,,False,False,False,False,False,False,False,[],[],[],[],16,google-smartphone-decimeter-challenge
,,,,,0,sakeshchowdary/exploration-of-data-step-by-step,Exploration of data step by step ,Sakesh Pusuluri,,2021-05-13T11:47:16.787Z,,False,,False,False,False,False,False,False,False,[],[],[],[],15,google-smartphone-decimeter-challenge
,,,,,0,tomwarrens/gsdc-base-locations-in-the-world,GSDC Base Locations in the World 🛰️,Tommaso Guerrini,,2021-05-14T08:37:36.117Z,,False,,False,False,False,False,False,False,False,[],[],[],[],15,google-smartphone-decimeter-challenge
,,,,,0,swimmy/fork-of-gsdc-smart-ensembling-fe1008,Fork of [GSDC] Smart Ensembling fe1008,swimmy,,2021-08-04T00:06:25.507Z,,False,,False,False,False,False,False,False,False,[],[],[],[],14,google-smartphone-decimeter-challenge
,,,,,0,batprem/fork-of-fork-of-fork-of-fork-of-gsdc-blend-0a96ee,Fork of Fork of Fork of Fork of GSDC blend  0a96ee,Prem Chotepanit,,2021-07-14T14:20:10.857Z,,False,,False,False,False,False,False,False,False,[],[],[],[],14,google-smartphone-decimeter-challenge
,,,,,0,columbia2131/part-of-algorithms-pp-equivalent-to-13th,Part of Algorithms PP [equivalent to 13th],colum2131,,2021-08-05T09:43:11.357Z,,False,,False,False,False,False,False,False,False,[],[],[],[],13,google-smartphone-decimeter-challenge
,,,,,0,saitodevel01/dsdc-unified-post-processing,DSDC - Unified post-processing,Akio Saito,,2021-08-03T14:37:31.963Z,,False,,False,False,False,False,False,False,False,[],[],[],[],13,google-smartphone-decimeter-challenge
,,,,,0,saitodevel01/gsdc-improved-raw-gnss-baseline,GSDC - Improved Raw GNSS Baseline,Akio Saito,,2021-08-05T08:34:27.53Z,,False,,False,False,False,False,False,False,False,[],[],[],[],13,google-smartphone-decimeter-challenge
,,,,,0,hyperc/gsdc-application-of-tip-1-and-5-of-derived-csv,GSDC - Application of tip 1 and 5 of *_derived.csv,Parrot,,2021-07-05T09:20:17.597Z,,False,,False,False,False,False,False,False,False,[],[],[],[],13,google-smartphone-decimeter-challenge
,,,,,0,muskan2006/exploring-the-datasets,Exploring the datasets,Muskan Jain,,2021-06-14T21:01:18.59Z,,False,,False,False,False,False,False,False,False,[],[],[],[],13,google-smartphone-decimeter-challenge
,,,,,0,kuto0633/reproducing-baseline-by-estimating-each-isrbm,Reproducing baseline by estimating each isrbM,kuto,,2021-07-28T01:04:31.847Z,,False,,False,False,False,False,False,False,False,[],[],[],[],12,google-smartphone-decimeter-challenge
,,,,,0,gymf123/onepager-tip-acumulated-delta-range-adr,Onepager Tip: Acumulated Delta Range (ADR) ,Michael Fu,,2021-07-19T16:14:25.303Z,,False,,False,False,False,False,False,False,False,[],[],[],[],12,google-smartphone-decimeter-challenge
,,,,,0,jmayes/gps-iterative-trilateration-intuition-building,GPS Iterative Trilateration Intuition Building,yfMayes,,2021-06-17T15:30:23.903Z,,False,,False,False,False,False,False,False,False,[],[],[],[],12,google-smartphone-decimeter-challenge
,,,,,0,minomonter/cited-from-yangliu-least-squares-solution,[cited from YangLiu] Least Squares Solution,koji,,2021-06-15T14:23:34.103Z,,False,,False,False,False,False,False,False,False,[],[],[],[],12,google-smartphone-decimeter-challenge
,,,,,0,suryadeepti/pathlib,Pathlib,Suryadeepti,,2021-06-24T17:49:47.563Z,,False,,False,False,False,False,False,False,False,[],[],[],[],12,google-smartphone-decimeter-challenge
,,,,,0,saitodevel01/gsdc-bias-correction,GSDC - Bias Correction,Akio Saito,,2021-08-02T15:47:02.783Z,,False,,False,False,False,False,False,False,False,[],[],[],[],11,google-smartphone-decimeter-challenge
,,,,,0,avivlevi815/gsdc-metric-evaluation-function,GSDC metric evaluation function,Aviv Levi,,2021-06-01T13:40:10.013Z,,False,,False,False,False,False,False,False,False,[],[],[],[],11,google-smartphone-decimeter-challenge
,,,,,0,saitodevel01/gsdc-bias-eda,GSDC - Bias EDA,Akio Saito,,2021-08-03T15:49:53.627Z,,False,,False,False,False,False,False,False,False,[],[],[],[],10,google-smartphone-decimeter-challenge
,,,,,0,sotaroyoshida/make-kml-file-62d1a6,make_kml_file_ 62d1a6,Sotaro Yoshida,,2021-06-16T12:57:52.223Z,,False,,False,False,False,False,False,False,False,[],[],[],[],10,google-smartphone-decimeter-challenge
,,,,,0,hugolaunay/gps-model,GPS_Model,Hugo Launay,,2021-05-29T16:39:55.143Z,,False,,False,False,False,False,False,False,False,[],[],[],[],9,google-smartphone-decimeter-challenge
,,,,,0,batprem/blend,Blend,Prem Chotepanit,,2021-07-28T05:28:16.89Z,,False,,False,False,False,False,False,False,False,[],[],[],[],8,google-smartphone-decimeter-challenge
,,,,,0,yogeshkulkarni/google-smartphone-decimeter-challenge-by-lightgbm,Google Smartphone Decimeter Challenge by LightGBM,Yogesh Kulkarni,,2021-07-16T05:38:08.18Z,,False,,False,False,False,False,False,False,False,[],[],[],[],8,google-smartphone-decimeter-challenge
,,,,,0,rabeyaakter/google-smartphone-decimeter-challenge,google smartphone decimeter challenge ,RABEYA AKTER,,2021-06-27T17:19:03.89Z,,False,,False,False,False,False,False,False,False,[],[],[],[],8,google-smartphone-decimeter-challenge
,,,,,0,ravishah1/google-gps-external-data-via-reverse-geocoders,Google GPS: External Data Via Reverse Geocoders,Ravi Shah,,2021-07-01T02:46:03.683Z,,False,,False,False,False,False,False,False,False,[],[],[],[],8,google-smartphone-decimeter-challenge
,,,,,0,maeyamada/verification-phonename-difference-eda,Verification phoneName difference:EDA,Shin Maeyamada,,2021-05-26T14:53:41.897Z,,False,,False,False,False,False,False,False,False,[],[],[],[],8,google-smartphone-decimeter-challenge
,,,,,0,manang/google-smartphone-decimeter-challenge-wip,Google Smartphone Decimeter Challenge : WIP,MananG,,2021-05-12T23:25:41.557Z,,False,,False,False,False,False,False,False,False,[],[],[],[],8,google-smartphone-decimeter-challenge
,,,,,0,minomonter/dynamic-time-warping-snap-to-grid,Dynamic Time Warping Snap-To-Grid,koji,,2021-08-05T02:58:19.23Z,,False,,False,False,False,False,False,False,False,[],[],[],[],7,google-smartphone-decimeter-challenge
,,,,,0,subbuvolvosekar/simple-exploration-gsdc,Simple Exploration | GSDC,Subbu Vidyasekar,,2021-05-14T12:51:36.987Z,,False,,False,False,False,False,False,False,False,[],[],[],[],7,google-smartphone-decimeter-challenge
,,,,,0,lsingh24/notebook2776fdbea7,notebook2776fdbea7,LSingh24,,2021-05-16T07:03:01.363Z,,False,,False,False,False,False,False,False,False,[],[],[],[],7,google-smartphone-decimeter-challenge
,,,,,0,kyochanpy/gsdc-check-degrees-simple-pp,GSDC - Check Degrees (simple pp),kyochanpy,,2021-08-05T23:06:25.567Z,,False,,False,False,False,False,False,False,False,[],[],[],[],6,google-smartphone-decimeter-challenge
,,,,,0,gopalmahadevan/adaptive-gauss-phone-mean,Adaptive_gauss+phone_mean,gopalm-ai,,2021-07-27T18:45:59.227Z,,False,,False,False,False,False,False,False,False,[],[],[],[],6,google-smartphone-decimeter-challenge
,,,,,0,n3n77i/sp-datafun,sp-datafun,n3n7i,,2021-06-20T09:04:04.787Z,,False,,False,False,False,False,False,False,False,[],[],[],[],6,google-smartphone-decimeter-challenge
,,,,,0,minomonter/gnss-only-estimation,gnss-only estimation,koji,,2021-08-05T02:00:25.813Z,,False,,False,False,False,False,False,False,False,[],[],[],[],6,google-smartphone-decimeter-challenge
,,,,,0,srini2446/random-forest-regressors-google-decimeter,random_forest_regressors_google_decimeter,SrinivasanLakshminarasimhan,,2021-06-20T01:24:41.223Z,,False,,False,False,False,False,False,False,False,[],[],[],[],6,google-smartphone-decimeter-challenge
,,,,,0,gopalmahadevan/gsdc-smart-ensembling,[GSDC] Smart Ensembling,gopalm-ai,,2021-08-02T22:33:07.577Z,,False,,False,False,False,False,False,False,False,[],[],[],[],5,google-smartphone-decimeter-challenge
,,,,,0,cembuyukkartal/google-challenge,Google Challenge ,Cem Büyükkartal,,2021-06-30T08:35:12.287Z,,False,,False,False,False,False,False,False,False,[],[],[],[],5,google-smartphone-decimeter-challenge
,,,,,0,hamorahadi/notebook15bd24b3a9,notebook15bd24b3a9,Hamora Hadi,,2021-05-18T13:53:42.527Z,,False,,False,False,False,False,False,False,False,[],[],[],[],5,google-smartphone-decimeter-challenge
,,,,,0,dehokanta/shake-tokyo-delta-predicition,[shake TOKYO] Delta Predicition,dehokanta,,2021-08-07T07:55:26.78Z,,False,,False,False,False,False,False,False,False,[],[],[],[],4,google-smartphone-decimeter-challenge
,,,,,0,dmitrykalashnikov/correcting-baseline-with-lightgbm,Correcting baseline with Lightgbm,Dmitry Kalashnikov,,2021-08-06T13:30:32.483Z,,False,,False,False,False,False,False,False,False,[],[],[],[],4,google-smartphone-decimeter-challenge
,,,,,0,asobod11138/loading-train-test-data-help-me,Loading Train/Test data - Help me!,asobod11138,,2021-06-14T14:19:02.907Z,,False,,False,False,False,False,False,False,False,[],[],[],[],4,google-smartphone-decimeter-challenge
,,,,,0,ismaelairbus/navcon2021-introduction-to-machine-learning,NavCon2021: Introduction to Machine Learning,Ismael Airbus,,2021-09-21T08:35:32.993Z,,False,,False,False,False,False,False,False,False,[],[],[],[],3,google-smartphone-decimeter-challenge
,,,,,0,n3n77i/centext,centExt,n3n7i,,2021-07-09T01:04:05.727Z,,False,,False,False,False,False,False,False,False,[],[],[],[],3,google-smartphone-decimeter-challenge
,,,,,0,n3n77i/satellite-tracking,satellite tracking,n3n7i,,2021-07-06T07:27:19.123Z,,False,,False,False,False,False,False,False,False,[],[],[],[],3,google-smartphone-decimeter-challenge
,,,,,0,n3n77i/sp-quadr,sp-quadr,n3n7i,,2021-07-22T04:21:17.733Z,,False,,False,False,False,False,False,False,False,[],[],[],[],3,google-smartphone-decimeter-challenge
,,,,,0,cancan077/kc-world-map-google-decimeter,kc_world_map_google_decimeter,can can,,2021-06-18T07:20:02.38Z,,False,,False,False,False,False,False,False,False,[],[],[],[],3,google-smartphone-decimeter-challenge
,,,,,0,pythonlan/gsdc-smart-ensembling,[GSDC] Smart Ensembling,小白Lan,,2021-07-29T01:33:17.457Z,,False,,False,False,False,False,False,False,False,[],[],[],[],2,google-smartphone-decimeter-challenge
,,,,,0,allanzhang1/submission-allan,Submission_Allan,Allan Zhang,,2021-07-19T22:24:20.73Z,,False,,False,False,False,False,False,False,False,[],[],[],[],2,google-smartphone-decimeter-challenge
,,,,,0,n3n77i/fork-of-vestii,Fork of vestII,n3n7i,,2021-07-24T04:02:16.713Z,,False,,False,False,False,False,False,False,False,[],[],[],[],2,google-smartphone-decimeter-challenge
,,,,,0,yogeshkulkarni/google-smartphone-decimeter-challenge-by-keras,Google Smartphone Decimeter Challenge by Keras,Yogesh Kulkarni,,2021-07-16T03:39:19.943Z,,False,,False,False,False,False,False,False,False,[],[],[],[],2,google-smartphone-decimeter-challenge
,,,,,0,srini2446/google-decimeter-dnn,Google decimeter dnn,SrinivasanLakshminarasimhan,,2021-07-20T16:08:42.817Z,,False,,False,False,False,False,False,False,False,[],[],[],[],2,google-smartphone-decimeter-challenge
,,,,,0,hosseinzehtab/code-num2,code num2,HosseinZehtab,,2021-12-24T19:44:49.897Z,,False,,False,False,False,False,False,False,False,[],[],[],[],1,google-smartphone-decimeter-challenge
,,,,,0,dehokanta/shake-tokyo-visualization-of-final-submissions,[shake TOKYO] Visualization of final submissions,dehokanta,,2021-08-08T00:53:30.483Z,,False,,False,False,False,False,False,False,False,[],[],[],[],1,google-smartphone-decimeter-challenge
,,,,,0,hopingzhang/feature-eng-and-lgb,feature-eng and lgb,HopingZhang,,2021-07-31T09:11:02.37Z,,False,,False,False,False,False,False,False,False,[],[],[],[],1,google-smartphone-decimeter-challenge
,,,,,0,nocturnebflat123/advanced-optimization-3-577,advanced_optimization_3.577,NocturneBflat,,2021-07-29T14:41:48.18Z,,False,,False,False,False,False,False,False,False,[],[],[],[],1,google-smartphone-decimeter-challenge
,,,,,0,yogeshkulkarni/google-smartphone-decimeter-by-adaptive-gauss,Google Smartphone Decimeter by Adaptive Gauss,Yogesh Kulkarni,,2021-07-24T08:17:03.25Z,,False,,False,False,False,False,False,False,False,[],[],[],[],1,google-smartphone-decimeter-challenge
,,,,,0,gopalmahadevan/sp-quadr,sp-quadr,gopalm-ai,,2021-07-23T14:36:32.857Z,,False,,False,False,False,False,False,False,False,[],[],[],[],1,google-smartphone-decimeter-challenge
,,,,,0,yogeshkulkarni/google-smartphone-decimeter-challenge-by-mean,Google Smartphone Decimeter Challenge by Mean,Yogesh Kulkarni,,2021-07-17T02:53:33.177Z,,False,,False,False,False,False,False,False,False,[],[],[],[],1,google-smartphone-decimeter-challenge
,,,,,0,ak0210/outliers-keras,Outliers + Keras,Akash,,2021-05-31T10:21:58.117Z,,False,,False,False,False,False,False,False,False,[],[],[],[],1,google-smartphone-decimeter-challenge
,,,,,0,ak0210/make-kml-file-62d1a6,make_kml_file_ 62d1a6,Akash,,2022-03-30T11:37:28.587Z,,False,,False,False,False,False,False,False,False,[],[],[],[],0,google-smartphone-decimeter-challenge
