languageNullable,kernelTypeNullable,isPrivateNullable,enableGpuNullable,enableInternetNullable,id,ref,title,author,slug,lastRunTime,language,hasLanguage,kernelType,hasKernelType,isPrivate,hasIsPrivate,enableGpu,hasEnableGpu,enableInternet,hasEnableInternet,categoryIds,datasetDataSources,kernelDataSources,competitionDataSources,totalVotes,competitionId
,,,,,0,willkoehrsen/start-here-a-gentle-introduction,Start Here: A Gentle Introduction,Will Koehrsen,,2018-08-25T02:00:07.157Z,,False,,False,False,False,False,False,False,False,[],[],[],[],3285,home-credit-default-risk
,,,,,0,codename007/home-credit-complete-eda-feature-importance,Home Credit : Complete EDA + Feature Importance ✓✓,Lathwal,,2018-06-08T11:56:26.607Z,,False,,False,False,False,False,False,False,False,[],[],[],[],881,home-credit-default-risk
,,,,,0,willkoehrsen/introduction-to-manual-feature-engineering,Introduction to Manual Feature Engineering,Will Koehrsen,,2018-07-31T23:50:27.733Z,,False,,False,False,False,False,False,False,False,[],[],[],[],763,home-credit-default-risk
,,,,,0,ogrellier/feature-selection-with-null-importances,Feature Selection with Null Importances,olivier,,2018-06-14T06:44:06.463Z,,False,,False,False,False,False,False,False,False,[],[],[],[],703,home-credit-default-risk
,,,,,0,jsaguiar/lightgbm-with-simple-features,LightGBM with Simple Features,Aguiar,,2018-09-27T05:52:12.58Z,,False,,False,False,False,False,False,False,False,[],[],[],[],641,home-credit-default-risk
,,,,,0,willkoehrsen/intro-to-model-tuning-grid-and-random-search,Intro to Model Tuning: Grid and Random Search,Will Koehrsen,,2018-07-17T14:03:18.1Z,,False,,False,False,False,False,False,False,False,[],[],[],[],433,home-credit-default-risk
,,,,,0,willkoehrsen/automated-feature-engineering-basics,Automated Feature Engineering Basics ,Will Koehrsen,,2018-06-17T00:21:22.983Z,,False,,False,False,False,False,False,False,False,[],[],[],[],385,home-credit-default-risk
,,,,,0,gemartin/load-data-reduce-memory-usage,load data (reduce memory usage),Guillaume Martin,,2018-05-20T01:41:08.557Z,,False,,False,False,False,False,False,False,False,[],[],[],[],372,home-credit-default-risk
,,,,,0,ogrellier/good-fun-with-ligthgbm,Good_fun_with_LigthGBM,olivier,,2018-05-30T11:34:50.357Z,,False,,False,False,False,False,False,False,False,[],[],[],[],351,home-credit-default-risk
,,,,,0,willkoehrsen/automated-model-tuning,Automated Model Tuning,Will Koehrsen,,2018-07-09T00:20:48.797Z,,False,,False,False,False,False,False,False,False,[],[],[],[],327,home-credit-default-risk
,,,,,0,gpreda/home-credit-default-risk-extensive-eda,Home Credit Default Risk Extensive EDA,Gabriel Preda,,2018-07-24T20:56:58.273Z,,False,,False,False,False,False,False,False,False,[],[],[],[],320,home-credit-default-risk
,,,,,0,willkoehrsen/introduction-to-feature-selection,Introduction to Feature Selection,Will Koehrsen,,2018-06-22T01:21:29.27Z,,False,,False,False,False,False,False,False,False,[],[],[],[],311,home-credit-default-risk
,,,,,0,ogrellier/lighgbm-with-selected-features,LighGBM_with_Selected_Features,olivier,,2018-07-02T08:41:58.11Z,,False,,False,False,False,False,False,False,False,[],[],[],[],233,home-credit-default-risk
,,,,,0,shivamb/homecreditrisk-extensive-eda-baseline-0-772,HomeCreditRisk: Extensive EDA + Baseline [0.772],Shivam Bansal,,2018-06-27T02:00:27.877Z,,False,,False,False,False,False,False,False,False,[],[],[],[],229,home-credit-default-risk
,,,,,0,mlisovyi/lightgbm-hyperparameter-optimisation-lb-0-761,LightGBM hyperparameter optimisation (LB: 0.761),Misha Lisovyi,,2018-08-24T13:03:08.007Z,,False,,False,False,False,False,False,False,False,[],[],[],[],201,home-credit-default-risk
,,,,,0,sz8416/simple-bayesian-optimization-for-lightgbm,Simple Bayesian Optimization for LightGBM,oskird,,2018-06-29T14:07:48.873Z,,False,,False,False,False,False,False,False,False,[],[],[],[],195,home-credit-default-risk
,,,,,0,eliotbarr/stacking-test-sklearn-xgboost-catboost-lightgbm,"Stacking Test-Sklearn, XGBoost, CatBoost, LightGBM",Eliot Barril,,2018-05-30T21:28:45.373Z,,False,,False,False,False,False,False,False,False,[],[],[],[],182,home-credit-default-risk
,,,,,0,sz8416/6-ways-for-feature-selection,6 Ways for Feature Selection,oskird,,2018-06-30T18:43:24.093Z,,False,,False,False,False,False,False,False,False,[],[],[],[],178,home-credit-default-risk
,,,,,0,willkoehrsen/introduction-to-manual-feature-engineering-p2,Introduction to Manual Feature Engineering P2,Will Koehrsen,,2018-08-07T16:04:12.757Z,,False,,False,False,False,False,False,False,False,[],[],[],[],167,home-credit-default-risk
,,,,,0,shep312/deep-learning-in-tf-with-upsampling-lb-758,Deep learning in TF with upsampling [LB: .758],James Shepherd,,2018-06-10T13:56:12.393Z,,False,,False,False,False,False,False,False,False,[],[],[],[],155,home-credit-default-risk
,,,,,0,aantonova/797-lgbm-and-bayesian-optimization,[.797] LGBM and Bayesian Optimization,Ann Antonova,,2018-08-06T06:43:57.403Z,,False,,False,False,False,False,False,False,False,[],[],[],[],133,home-credit-default-risk
,,,,,0,shep312/lightgbm-with-weighted-averages-dropout-787,LightGBM with weighted averages & dropout [.787],James Shepherd,,2018-06-13T13:05:29.46Z,,False,,False,False,False,False,False,False,False,[],[],[],[],132,home-credit-default-risk
,,,,,0,shanth84/home-credit-bureau-data-feature-engineering,HOME CREDIT - BUREAU DATA - FEATURE ENGINEERING,Shanth,,2018-05-28T13:21:44.257Z,,False,,False,False,False,False,False,False,False,[],[],[],[],130,home-credit-default-risk
,,,,,0,jpmiller/patterns-of-missing-data,Patterns of Missing Data,JohnM,,2019-05-06T14:32:54.87Z,,False,,False,False,False,False,False,False,False,[],[],[],[],127,home-credit-default-risk
,,,,,0,jsaguiar/lightgbm-7th-place-solution,LightGBM 7th place solution,Aguiar,,2018-10-16T15:55:29.827Z,,False,,False,False,False,False,False,False,False,[],[],[],[],126,home-credit-default-risk
,,,,,0,mlisovyi/beware-of-categorical-features-in-lgbm,Beware of categorical features in LGBM!,Misha Lisovyi,,2018-07-28T08:39:25.827Z,,False,,False,False,False,False,False,False,False,[],[],[],[],122,home-credit-default-risk
,,,,,0,willkoehrsen/tuning-automated-feature-engineering-exploratory,Tuning Automated Feature Engineering (Exploratory),Will Koehrsen,,2018-06-17T01:30:16.16Z,,False,,False,False,False,False,False,False,False,[],[],[],[],121,home-credit-default-risk
,,,,,0,dromosys/fork-of-fork-lightgbm-with-simple-features-cee847,Fork_of_ForK_LightGBM_with_Simple_Features  cee847,Dromosys,,2018-07-03T09:50:51.3Z,,False,,False,False,False,False,False,False,False,[],[],[],[],119,home-credit-default-risk
,,,,,0,willkoehrsen/model-tuning-results-random-vs-bayesian-opt,Model Tuning Results: Random vs Bayesian Opt,Will Koehrsen,,2018-07-21T02:09:55.303Z,,False,,False,False,False,False,False,False,False,[],[],[],[],116,home-credit-default-risk
,,,,,0,poohtls/fork-of-fork-lightgbm-with-simple-features,Fork_of_ForK_LightGBM_with_Simple_Features ,Pooh,,2018-06-27T20:23:25.587Z,,False,,False,False,False,False,False,False,False,[],[],[],[],114,home-credit-default-risk
,,,,,0,scirpus/hybrid-jeepy-and-lgb,Hybrid Jeepy and LGB,Scirpus,,2018-06-01T12:13:51.513Z,,False,,False,False,False,False,False,False,False,[],[],[],[],114,home-credit-default-risk
,,,,,0,osciiart/homecreditrisk-extensive-eda-baseline-model-jp,HomeCreditRisk : Extensive EDA + Baseline Model JP,OsciiArt,,2018-05-24T09:27:54.403Z,,False,,False,False,False,False,False,False,False,[],[],[],[],112,home-credit-default-risk
,,,,,0,tilii7/olivier-lightgbm-parameters-by-bayesian-opt,olivier + LightGBM parameters by Bayesian opt,Tilii,,2018-06-02T03:59:46.14Z,,False,,False,False,False,False,False,False,False,[],[],[],[],96,home-credit-default-risk
,,,,,0,ishaan45/thank-you,Thank you!,Ishaan Jain,,2018-08-30T04:24:38.19Z,,False,,False,False,False,False,False,False,False,[],[],[],[],95,home-credit-default-risk
,,,,,0,artgor/eda-basic-fe-and-lgb,"EDA, basic FE and LGB",Andrew Lukyanenko,,2018-08-26T11:19:33.497Z,,False,,False,False,False,False,False,False,False,[],[],[],[],82,home-credit-default-risk
,,,,,0,sz8416/eda-baseline-model-using-application,EDA + baseline model using application,oskird,,2018-06-21T14:46:13.06Z,,False,,False,False,False,False,False,False,False,[],[],[],[],67,home-credit-default-risk
,,,,,0,scirpus/hybrid-jeepy-and-lgb-ii,Hybrid Jeepy and LGB II,Scirpus,,2018-06-06T11:25:23.353Z,,False,,False,False,False,False,False,False,False,[],[],[],[],66,home-credit-default-risk
,,,,,0,hadeux/auto-simple-ensemble-model,Auto Simple🤖 Ensemble Model💸,Woo Seung Han,,2021-11-19T02:20:09.533Z,,False,,False,False,False,False,False,False,False,[],[],[],[],65,home-credit-default-risk
,,,,,0,shanth84/credit-card-balance-feature-engineering,CREDIT CARD BALANCE - FEATURE ENGINEERING,Shanth,,2018-05-30T20:33:53.827Z,,False,,False,False,False,False,False,False,False,[],[],[],[],65,home-credit-default-risk
,,,,,0,frednavruzov/auto-feature-generation-featuretools-example,Auto feature generation (FEATURETOOLS example),Fred Navruzov,,2018-06-11T13:24:36.75Z,,False,,False,False,False,False,False,False,False,[],[],[],[],62,home-credit-default-risk
,,,,,0,fanzzz/understand-variables-in-chinese,Understand Variables in Chinese,FanZhang,,2018-08-11T14:01:03.61Z,,False,,False,False,False,False,False,False,False,[],[],[],[],61,home-credit-default-risk
,,,,,0,meykds/leaderboard-progression-animation,Leaderboard Progression Animation,Meyk,,2018-08-25T09:14:35.2Z,,False,,False,False,False,False,False,False,False,[],[],[],[],60,home-credit-default-risk
,,,,,0,mlisovyi/9-ways-to-treat-categorical-features-updated,9 ways to treat categorical features [UPDATED],Misha Lisovyi,,2018-08-28T08:48:00.723Z,,False,,False,False,False,False,False,False,False,[],[],[],[],60,home-credit-default-risk
,,,,,0,hmendonca/lightgbm-predictions-explained-with-shap-0-796,LightGBM Predictions Explained with SHAP [0.796],Henrique Mendonça,,2018-08-28T19:38:15.99Z,,False,,False,False,False,False,False,False,False,[],[],[],[],59,home-credit-default-risk
,,,,,0,youhanlee/extensive-eda-for-application-and-bureau-data,Extensive EDA for application and bureau data,YouHan Lee,,2018-08-12T04:32:08.163Z,,False,,False,False,False,False,False,False,False,[],[],[],[],58,home-credit-default-risk
,,,,,0,ashishpatel26/home-credit-default-analysis,Home Credit Default Analysis,NowYSM,,2018-06-08T03:12:24.95Z,,False,,False,False,False,False,False,False,False,[],[],[],[],58,home-credit-default-risk
,,,,,0,mathchi/home-credit-risk-with-detailed-feature-engineering,Home Credit Risk with Detailed Feature Engineering,Mehmet Akturk,,2020-04-22T22:12:55.907Z,,False,,False,False,False,False,False,False,False,[],[],[],[],56,home-credit-default-risk
,,,,,0,ynouri/random-forest-k-fold-cross-validation,Random Forest & K-Fold Cross Validation,Yacine Nouri,,2018-06-24T05:58:01.427Z,,False,,False,False,False,False,False,False,False,[],[],[],[],56,home-credit-default-risk
,,,,,0,georsara1/lightgbm-all-tables-included-0-778,LightGBM - all tables included [0.778],Georgios Sarantitis,,2018-05-24T16:06:02.797Z,,False,,False,False,False,False,False,False,False,[],[],[],[],55,home-credit-default-risk
,,,,,0,shaz13/magic-of-weighted-average-rank-0-80,Magic Of Weighted Average Rank  [0.80],Mohammad Shahebaz,,2018-07-21T11:43:56.023Z,,False,,False,False,False,False,False,False,False,[],[],[],[],54,home-credit-default-risk
,,,,,0,astrus/entity-embedding-neural-network-keras-lb-0-748,Entity Embedding Neural Network Keras [LB 0.748],David Lobstein,,2018-06-10T12:31:57.7Z,,False,,False,False,False,False,False,False,False,[],[],[],[],54,home-credit-default-risk
,,,,,0,cast42/lightgbm-model-explained-by-shap,LightGBM model explained by shap,cast42,,2018-06-08T10:11:19.283Z,,False,,False,False,False,False,False,False,False,[],[],[],[],54,home-credit-default-risk
