languageNullable,kernelTypeNullable,isPrivateNullable,enableGpuNullable,enableInternetNullable,id,ref,title,author,slug,lastRunTime,language,hasLanguage,kernelType,hasKernelType,isPrivate,hasIsPrivate,enableGpu,hasEnableGpu,enableInternet,hasEnableInternet,categoryIds,datasetDataSources,kernelDataSources,competitionDataSources,totalVotes,competitionId
,,,,,0,shawamar/product-recommendation-system-for-e-commerce,Product Recommendation System for e-commerce,Amar Shaw,,2019-08-30T19:21:59.43Z,,False,,False,False,False,False,False,False,False,[],[],[],[],140,home-depot-product-search-relevance
,,,,,0,wenxuanchen/sklearn-random-forest,sklearn_random_forest,Moomin,,2016-01-21T18:32:26.06Z,,False,,False,False,False,False,False,False,False,[],[],[],[],68,home-depot-product-search-relevance
,,,,,0,steubk/fixing-typos,Fixing Typos,steubk,,2016-03-13T17:22:05.717Z,,False,,False,False,False,False,False,False,False,[],[],[],[],64,home-depot-product-search-relevance
,,,,,0,keithtrnka/data-exploration,data exploration,Keith Trnka,,2016-01-23T00:03:38.21Z,,False,,False,False,False,False,False,False,False,[],[],[],[],17,home-depot-product-search-relevance
,,,,,0,remap1/get-train-validation-indices,Get Train Validation Indices,Gerard Toonstra,,2016-01-27T11:32:30.587Z,,False,,False,False,False,False,False,False,False,[],[],[],[],12,home-depot-product-search-relevance
,,,,,0,tennissuperstar/data-exploration-1,Data Exploration,AiswaryaSankar,,2016-12-21T17:31:14.737Z,,False,,False,False,False,False,False,False,False,[],[],[],[],6,home-depot-product-search-relevance
,,,,,0,olest1980/clustering-of-product-descriptions,Clustering of product descriptions,ole.st1980,,2016-02-13T17:57:59.46Z,,False,,False,False,False,False,False,False,False,[],[],[],[],6,home-depot-product-search-relevance
,,,,,0,yowtshjhj/hdp-search-relevant-from-doananh020418,HDP Search Relevant from Doananh020418,yowtshjhj,,2022-01-08T09:17:39.86Z,,False,,False,False,False,False,False,False,False,[],[],[],[],5,home-depot-product-search-relevance
,,,,,0,maggielavery2/home-depot-competition,home_depot_competition,Mairead Lavery,,2021-06-29T19:16:40.297Z,,False,,False,False,False,False,False,False,False,[],[],[],[],5,home-depot-product-search-relevance
,,,,,0,ritvik1909/neural-collaborative-filtering,Neural Collaborative Filtering,Ritvik Rastogi,,2021-11-22T11:16:37.153Z,,False,,False,False,False,False,False,False,False,[],[],[],[],5,home-depot-product-search-relevance
