languageNullable,kernelTypeNullable,isPrivateNullable,enableGpuNullable,enableInternetNullable,id,ref,title,author,slug,lastRunTime,language,hasLanguage,kernelType,hasKernelType,isPrivate,hasIsPrivate,enableGpu,hasEnableGpu,enableInternet,hasEnableInternet,categoryIds,datasetDataSources,kernelDataSources,competitionDataSources,totalVotes,competitionId
,,,,,0,pmarcelino/comprehensive-data-exploration-with-python,Comprehensive data exploration with Python,"Pedro Marcelino, PhD",,2022-04-30T19:20:37.243Z,,False,,False,False,False,False,False,False,False,[],[],[],[],12087,house-prices-advanced-regression-techniques
,,,,,0,serigne/stacked-regressions-top-4-on-leaderboard,Stacked Regressions : Top 4% on LeaderBoard,Serigne ,,2017-12-16T11:57:12.653Z,,False,,False,False,False,False,False,False,False,[],[],[],[],6561,house-prices-advanced-regression-techniques
,,,,,0,apapiu/regularized-linear-models,Regularized Linear Models,Alexandru Papiu,,2017-04-21T05:50:08.51Z,,False,,False,False,False,False,False,False,False,[],[],[],[],1667,house-prices-advanced-regression-techniques
,,,,,0,dansbecker/submitting-from-a-kernel,Submitting From A Kernel,DanB,,2018-01-22T19:25:43.633Z,,False,,False,False,False,False,False,False,False,[],[],[],[],1639,house-prices-advanced-regression-techniques
,,,,,0,dansbecker/handling-missing-values,Handling Missing Values,DanB,,2019-02-26T02:31:25.783Z,,False,,False,False,False,False,False,False,False,[],[],[],[],1280,house-prices-advanced-regression-techniques
,,,,,0,dansbecker/xgboost,XGBoost,DanB,,2018-07-25T21:52:04.78Z,,False,,False,False,False,False,False,False,False,[],[],[],[],984,house-prices-advanced-regression-techniques
,,,,,0,juliencs/a-study-on-regression-applied-to-the-ames-dataset,A study on Regression applied to the Ames dataset,juliencs,,2021-03-18T15:16:37.233Z,,False,,False,False,False,False,False,False,False,[],[],[],[],946,house-prices-advanced-regression-techniques
,,,,,0,lavanyashukla01/how-i-made-top-0-3-on-a-kaggle-competition,How I made top 0.3% on a Kaggle competition,Lavanya Shukla,,2019-06-09T21:10:44.34Z,,False,,False,False,False,False,False,False,False,[],[],[],[],917,house-prices-advanced-regression-techniques
,,,,,0,dansbecker/using-categorical-data-with-one-hot-encoding,Using Categorical Data with One Hot Encoding,DanB,,2018-01-22T00:36:58.63Z,,False,,False,False,False,False,False,False,False,[],[],[],[],855,house-prices-advanced-regression-techniques
,,,,,0,dansbecker/selecting-and-filtering-in-pandas,Selecting and Filtering in Pandas,DanB,,2018-01-29T04:38:58.45Z,,False,,False,False,False,False,False,False,False,[],[],[],[],766,house-prices-advanced-regression-techniques
,,,,,0,bsivavenu/house-price-calculation-methods-for-beginners,House Price Calculation  methods for beginners,nikhil behra,,2018-12-01T14:25:57.657Z,,False,,False,False,False,False,False,False,False,[],[],[],[],744,house-prices-advanced-regression-techniques
,,,,,0,masumrumi/a-detailed-regression-guide-with-house-pricing,A Detailed Regression Guide with House-pricing,Masum Rumi,,2021-11-15T21:46:57.397Z,,False,,False,False,False,False,False,False,False,[],[],[],[],733,house-prices-advanced-regression-techniques
,,,,,0,faressayah/practical-introduction-to-10-regression-algorithm,Practical Introduction to 10 Regression Algorithm,Fares Sayah,,2022-01-20T13:43:02.127Z,,False,,False,False,False,False,False,False,False,[],[],[],[],670,house-prices-advanced-regression-techniques
,,,,,0,nareshbhat/outlier-the-silent-killer,Outlier!!! The Silent Killer,Naresha Bhat,,2021-08-30T07:18:27.537Z,,False,,False,False,False,False,False,False,False,[],[],[],[],634,house-prices-advanced-regression-techniques
,,,,,0,ekami66/detailed-exploratory-data-analysis-with-python,Detailed exploratory data analysis with python,Tuatini GODARD,,2017-01-20T02:06:37.353Z,,False,,False,False,False,False,False,False,False,[],[],[],[],597,house-prices-advanced-regression-techniques
,,,,,0,pavansanagapati/knowledge-graph-nlp-tutorial-bert-spacy-nltk,"Knowledge Graph & NLP Tutorial-(BERT,spaCy,NLTK)",Pavan Sanagapati,,2020-09-08T14:40:39.107Z,,False,,False,False,False,False,False,False,False,[],[],[],[],568,house-prices-advanced-regression-techniques
