languageNullable,kernelTypeNullable,isPrivateNullable,enableGpuNullable,enableInternetNullable,id,ref,title,author,slug,lastRunTime,language,hasLanguage,kernelType,hasKernelType,isPrivate,hasIsPrivate,enableGpu,hasEnableGpu,enableInternet,hasEnableInternet,categoryIds,datasetDataSources,kernelDataSources,competitionDataSources,totalVotes,competitionId
,,,,,0,artgor/eda-and-models,EDA and models,Andrew Lukyanenko,,2019-09-03T02:24:55.88Z,,False,,False,False,False,False,False,False,False,[],[],[],[],1085,ieee-fraud-detection
,,,,,0,kabure/extensive-eda-and-modeling-xgb-hyperopt,Extensive EDA and Modeling XGB Hyperopt,Leonardo Ferreira,,2019-08-06T15:21:20.173Z,,False,,False,False,False,False,False,False,False,[],[],[],[],963,ieee-fraud-detection
,,,,,0,shahules/tackling-class-imbalance,Tackling  Class imbalance ,Shahules,,2019-07-19T16:07:57.133Z,,False,,False,False,False,False,False,False,False,[],[],[],[],519,ieee-fraud-detection
,,,,,0,cdeotte/xgb-fraud-with-magic-0-9600,XGB Fraud with Magic - [0.9600],Chris Deotte,,2020-02-01T23:12:38.71Z,,False,,False,False,False,False,False,False,False,[],[],[],[],434,ieee-fraud-detection
,,,,,0,jesucristo/fraud-complete-eda,Fraud complete EDA,Nanashi,,2019-07-18T07:27:34.59Z,,False,,False,False,False,False,False,False,False,[],[],[],[],431,ieee-fraud-detection
,,,,,0,robikscube/ieee-fraud-detection-first-look-and-eda,🕵️ IEEE Fraud Detection - First Look and EDA,Rob Mulla,,2019-07-17T01:32:22.013Z,,False,,False,False,False,False,False,False,False,[],[],[],[],397,ieee-fraud-detection
,,,,,0,alijs1/ieee-transaction-columns-reference,IEEE Transaction columns Reference,alijs,,2019-07-18T17:35:06.27Z,,False,,False,False,False,False,False,False,False,[],[],[],[],282,ieee-fraud-detection
,,,,,0,davidcairuz/feature-engineering-lightgbm,Feature Engineering & LightGBM,David Cairuz,,2019-09-01T15:03:39.437Z,,False,,False,False,False,False,False,False,False,[],[],[],[],278,ieee-fraud-detection
,,,,,0,nroman/lgb-single-model-lb-0-9419,LGB Single model [LB 0.9419],Roman,,2019-08-07T11:31:32.643Z,,False,,False,False,False,False,False,False,False,[],[],[],[],262,ieee-fraud-detection
,,,,,0,nroman/eda-for-cis-fraud-detection,EDA for CIS Fraud Detection,Roman,,2019-09-17T09:49:33.817Z,,False,,False,False,False,False,False,False,False,[],[],[],[],261,ieee-fraud-detection
,,,,,0,kyakovlev/ieee-gb-2-make-amount-useful-again,IEEE - GB-2 (make Amount useful again),Konstantin Yakovlev,,2019-08-23T08:13:51.34Z,,False,,False,False,False,False,False,False,False,[],[],[],[],257,ieee-fraud-detection
