languageNullable,kernelTypeNullable,isPrivateNullable,enableGpuNullable,enableInternetNullable,id,ref,title,author,slug,lastRunTime,language,hasLanguage,kernelType,hasKernelType,isPrivate,hasIsPrivate,enableGpu,hasEnableGpu,enableInternet,hasEnableInternet,categoryIds,datasetDataSources,kernelDataSources,competitionDataSources,totalVotes,competitionId
,,,,,0,philschmidt/cervix-eda-model-selection,Cervix EDA & Model selection,Philipp Schmidt,,2017-04-12T21:00:53.267Z,,False,,False,False,False,False,False,False,False,[],[],[],[],194,intel-mobileodt-cervical-cancer-screening
,,,,,0,chattob/cervix-segmentation-gmm,Cervix segmentation (GMM),chattob,,2017-07-06T19:32:32.563Z,,False,,False,False,False,False,False,False,False,[],[],[],[],89,intel-mobileodt-cervical-cancer-screening
,,,,,0,grfiv4/plot-a-confusion-matrix,Plot a Confusion Matrix,George Fisher,,2017-04-12T21:09:20.17Z,,False,,False,False,False,False,False,False,False,[],[],[],[],82,intel-mobileodt-cervical-cancer-screening
,,,,,0,kambarakun/how-to-start-with-python-on-colfax-cluster,How to start with python on Colfax Cluster,kambarakun,,2017-03-19T04:11:09.597Z,,False,,False,False,False,False,False,False,False,[],[],[],[],51,intel-mobileodt-cervical-cancer-screening
,,,,,0,aamaia/leeak,Leeak :-),amaia,,2017-03-24T14:05:31.527Z,,False,,False,False,False,False,False,False,False,[],[],[],[],43,intel-mobileodt-cervical-cancer-screening
,,,,,0,vfdev5/data-exploration-1,Data exploration,vfdev,,2017-03-19T22:24:32.527Z,,False,,False,False,False,False,False,False,False,[],[],[],[],37,intel-mobileodt-cervical-cancer-screening
,,,,,0,poonaml/intel-cervical-cancer-eda,Intel cervical cancer EDA,Poonam Ligade,,2020-07-26T10:55:17.027Z,,False,,False,False,False,False,False,False,False,[],[],[],[],36,intel-mobileodt-cervical-cancer-screening
,,,,,0,chiszpanski/non-cervix-images,Non-cervix images,thinkski,,2017-03-24T09:18:47.683Z,,False,,False,False,False,False,False,False,False,[],[],[],[],26,intel-mobileodt-cervical-cancer-screening
,,,,,0,vfdev5/type-1-clustering,Type 1 clustering,vfdev,,2017-04-29T09:57:15.377Z,,False,,False,False,False,False,False,False,False,[],[],[],[],24,intel-mobileodt-cervical-cancer-screening
,,,,,0,kylehounslow/a-method-for-finding-leaked-images-in-test-set,A Method for Finding Leaked Images in Test Set,Kyle Hounslow,,2017-06-16T23:53:37.483Z,,False,,False,False,False,False,False,False,False,[],[],[],[],18,intel-mobileodt-cervical-cancer-screening
,,,,,0,aamaia/three-empty-images-in-additional-7z,Three empty images in additional.7z,amaia,,2017-03-22T11:56:32.037Z,,False,,False,False,False,False,False,False,False,[],[],[],[],17,intel-mobileodt-cervical-cancer-screening
,,,,,0,zfturbo/cervix-rectangles-generator,Cervix Rectangles Generator,ZFTurbo,,2017-04-13T20:21:37.84Z,,False,,False,False,False,False,False,False,False,[],[],[],[],12,intel-mobileodt-cervical-cancer-screening
,,,,,0,cpruce/cervix-image-segmentation,Cervix Image Segmentation,SpruceMoose,,2017-08-26T23:45:01.503Z,,False,,False,False,False,False,False,False,False,[],[],[],[],12,intel-mobileodt-cervical-cancer-screening
,,,,,0,scottykwok/making-sense-out-of-some-difficult-samples,Making sense out of some difficult samples,Scotty,,2017-05-06T16:24:49.727Z,,False,,False,False,False,False,False,False,False,[],[],[],[],11,intel-mobileodt-cervical-cancer-screening
,,,,,0,zahaviguy/cervix-image-segmentation,Cervix Image Segmentation,Guy Zahavi,,2017-05-09T11:24:58.943Z,,False,,False,False,False,False,False,False,False,[],[],[],[],9,intel-mobileodt-cervical-cancer-screening
,,,,,0,ashery/cervical-cancer-screening-transfer-learning,Cervical Cancer Screening (Transfer Learning),ashery,,2020-05-18T14:46:31.773Z,,False,,False,False,False,False,False,False,False,[],[],[],[],7,intel-mobileodt-cervical-cancer-screening
,,,,,0,deveaup/checking-bounding-boxes-and-additional-dataset,Checking bounding boxes and additional dataset,Paul,,2017-05-06T13:17:02.663Z,,False,,False,False,False,False,False,False,False,[],[],[],[],7,intel-mobileodt-cervical-cancer-screening
,,,,,0,anokas/experimental-data-analysis,Experimental Data Analysis,anokas,,2017-03-15T19:26:16.767Z,,False,,False,False,False,False,False,False,False,[],[],[],[],7,intel-mobileodt-cervical-cancer-screening
,,,,,0,carlosaguayo/region-of-interest-roi-detection,Region of Interest (ROI) detection,Carlos Aguayo,,2017-06-01T04:29:24.333Z,,False,,False,False,False,False,False,False,False,[],[],[],[],6,intel-mobileodt-cervical-cancer-screening
,,,,,0,kmader/file-features-based-submission,File Features-based Submission,K Scott Mader,,2017-05-05T16:50:56.847Z,,False,,False,False,False,False,False,False,False,[],[],[],[],6,intel-mobileodt-cervical-cancer-screening
,,,,,0,chiebukar/cervical-cancer-screening-full-data,cervical_cancer_screening_full_data  ,Samuel Ozechi,,2021-09-06T17:49:08.677Z,,False,,False,False,False,False,False,False,False,[],[],[],[],5,intel-mobileodt-cervical-cancer-screening
,,,,,0,ganeshvanama/cervical-cancer-screening,Cervical Cancer Screening ,Ganesh Sankar Vanama,,2017-11-07T15:14:33.26Z,,False,,False,False,False,False,False,False,False,[],[],[],[],5,intel-mobileodt-cervical-cancer-screening
,,,,,0,sarapsg/cervical-cancer-image-classification,Cervical Cancer Image Classification,Sara,,2017-08-11T13:48:33.977Z,,False,,False,False,False,False,False,False,False,[],[],[],[],5,intel-mobileodt-cervical-cancer-screening
,,,,,0,mathurinache/notebook0fc3287d0d,Notebook0fc3287d0d,Mathurin Aché,,2017-05-11T18:36:38.357Z,,False,,False,False,False,False,False,False,False,[],[],[],[],5,intel-mobileodt-cervical-cancer-screening
,,,,,0,zahaviguy/identifying-the-cervix-region-of-interest,Identifying the cervix region of interest,Guy Zahavi,,2017-04-26T08:18:31.223Z,,False,,False,False,False,False,False,False,False,[],[],[],[],5,intel-mobileodt-cervical-cancer-screening
,,,,,0,vermashresth/kerascnnclean,KerasCNNClean,ShresthVerma,,2017-05-15T16:44:40.093Z,,False,,False,False,False,False,False,False,False,[],[],[],[],4,intel-mobileodt-cervical-cancer-screening
,,,,,0,akumar6/complete-process-using-resnet-as-a-starting-point,Complete process using ResNet as a starting point,Ashish Kumar,,2017-04-08T19:30:35.79Z,,False,,False,False,False,False,False,False,False,[],[],[],[],4,intel-mobileodt-cervical-cancer-screening
,,,,,0,jordandahan/cancer-classification,cancer classification,Jordan Dahan,,2022-05-15T15:12:12.987Z,,False,,False,False,False,False,False,False,False,[],[],[],[],3,intel-mobileodt-cervical-cancer-screening
,,,,,0,chattob/artificial-intelligence-for-cc-screening,ARTificial INTELligence for CC Screening,chattob,,2017-04-20T13:04:21.153Z,,False,,False,False,False,False,False,False,False,[],[],[],[],3,intel-mobileodt-cervical-cancer-screening
,,,,,0,guppi3695/notebookd34a2b020a,Notebookd34a2b020a,Ankit Gupta,,2017-03-29T08:44:42.83Z,,False,,False,False,False,False,False,False,False,[],[],[],[],3,intel-mobileodt-cervical-cancer-screening
,,,,,0,baleal/cervicses,Cervicses,Baleal,,2017-04-20T11:46:37.297Z,,False,,False,False,False,False,False,False,False,[],[],[],[],3,intel-mobileodt-cervical-cancer-screening
,,,,,0,kambarakun/check-all-dataset-size-and-missing-1-of-4,Check All Dataset (Size and Missing) | 1 of 4,kambarakun,,2017-03-18T17:49:50.09Z,,False,,False,False,False,False,False,False,False,[],[],[],[],3,intel-mobileodt-cervical-cancer-screening
,,,,,0,haritha1313/kerascc,kerascc,HarithaNair,,2017-05-15T13:34:52.387Z,,False,,False,False,False,False,False,False,False,[],[],[],[],2,intel-mobileodt-cervical-cancer-screening
