languageNullable,kernelTypeNullable,isPrivateNullable,enableGpuNullable,enableInternetNullable,id,ref,title,author,slug,lastRunTime,language,hasLanguage,kernelType,hasKernelType,isPrivate,hasIsPrivate,enableGpu,hasEnableGpu,enableInternet,hasEnableInternet,categoryIds,datasetDataSources,kernelDataSources,competitionDataSources,totalVotes,competitionId
,,,,,0,allunia/m5-sales-uncertainty-prediction,M5 - Sales Uncertainty Prediction,Laura Fink,,2020-06-08T18:23:24.2Z,,False,,False,False,False,False,False,False,False,[],[],[],[],157,m5-forecasting-uncertainty
,,,,,0,kneroma/from-point-to-uncertainty-prediction,From point to uncertainty prediction,kkiller,,2020-04-09T05:14:20.32Z,,False,,False,False,False,False,False,False,False,[],[],[],[],106,m5-forecasting-uncertainty
,,,,,0,ulrich07/quantile-regression-with-keras,Quantile-Regression-with-Keras,Ulrich G.,,2020-06-09T17:46:43.537Z,,False,,False,False,False,False,False,False,False,[],[],[],[],88,m5-forecasting-uncertainty
,,,,,0,rohanrao/m5-the-weighing-scale,M5: The Weighing Scale,Vopani,,2020-10-26T09:40:25.37Z,,False,,False,False,False,False,False,False,False,[],[],[],[],77,m5-forecasting-uncertainty
,,,,,0,szmnkrisz97/point-to-uncertainty-different-ranges-per-level,Point to uncertainty - different ranges per level,KrisztianSz,,2020-04-21T14:31:18.573Z,,False,,False,False,False,False,False,False,False,[],[],[],[],64,m5-forecasting-uncertainty
,,,,,0,ulrich07/parallel-linear-regression-silver-medal-v1,parallel-linear-regression (silver medal V1),Ulrich G.,,2020-07-01T02:04:59.66Z,,False,,False,False,False,False,False,False,False,[],[],[],[],39,m5-forecasting-uncertainty
,,,,,0,ulrich07/do-not-write-off-rnn-cnn,Do not write off RNN & CNN !!!,Ulrich G.,,2020-06-24T08:58:17.67Z,,False,,False,False,False,False,False,False,False,[],[],[],[],38,m5-forecasting-uncertainty
,,,,,0,timib1203/time-series-clustering-for-forecasting-preparation,Time Series Clustering For Forecasting Preparation,TamirBennatan,,2020-03-29T21:34:05.347Z,,False,,False,False,False,False,False,False,False,[],[],[],[],35,m5-forecasting-uncertainty
,,,,,0,yujiariyasu/point-to-uncertainty-for-private,Point to uncertainty for private,YujiAriyasu,,2020-06-27T14:12:42.707Z,,False,,False,False,False,False,False,False,False,[],[],[],[],33,m5-forecasting-uncertainty
,,,,,0,robertburbidge/lightgbm-poisson-w-scaled-pinball-loss,LightGBM Poisson w/ Scaled Pinball Loss,Robert David Burbidge PhD,,2020-03-23T21:17:25.12Z,,False,,False,False,False,False,False,False,False,[],[],[],[],33,m5-forecasting-uncertainty
,,,,,0,szmnkrisz97/simple-quantiles-of-training-set,Simple Quantiles of Training Set,KrisztianSz,,2020-05-26T20:21:15.37Z,,False,,False,False,False,False,False,False,False,[],[],[],[],29,m5-forecasting-uncertainty
,,,,,0,steverab/m5-forecast-compet-uncert-gluonts-template,M5 Forecast. Compet. (Uncert.) GluonTS Template,Stephan Rabanser,,2020-03-18T19:36:56.7Z,,False,,False,False,False,False,False,False,False,[],[],[],[],29,m5-forecasting-uncertainty
,,,,,0,kamalnaithani/m5uncertainity-score,M5Uncertainity Score,Kamal,,2020-06-29T23:48:41.817Z,,False,,False,False,False,False,False,False,False,[],[],[],[],27,m5-forecasting-uncertainty
,,,,,0,nxrprime/coefficient-multiplier,Coefficient Multiplier,Trigram,,2020-04-05T04:14:28.037Z,,False,,False,False,False,False,False,False,False,[],[],[],[],27,m5-forecasting-uncertainty
,,,,,0,holoong9291/eda-for-m5-2-en,EDA for M5-2 - EN/中文,Ho Loong,,2020-03-04T16:28:50.36Z,,False,,False,False,False,False,False,False,False,[],[],[],[],25,m5-forecasting-uncertainty
,,,,,0,mpware/quantile-regression-cv3-tf,Quantile-Regression-CV3-TF,MPWARE,,2020-06-12T17:49:34.42Z,,False,,False,False,False,False,False,False,False,[],[],[],[],21,m5-forecasting-uncertainty
,,,,,0,chrisrichardmiles/m5u-wsplevaluator-weighted-scaled-pinball-loss,M5U - WSPLEvaluator - weighted scaled pinball loss,Chris Miles,,2020-06-08T22:18:30.71Z,,False,,False,False,False,False,False,False,False,[],[],[],[],20,m5-forecasting-uncertainty
,,,,,0,ulrich07/details-of-walmart-add-dataset-construction,details-of-walmart-add-dataset-construction,Ulrich G.,,2020-06-10T05:49:07.393Z,,False,,False,False,False,False,False,False,False,[],[],[],[],15,m5-forecasting-uncertainty
,,,,,0,roydatascience/silver-medal-solution-stacking-m5-submissions,Silver Medal Solution : Stacking M5 Submissions,Ashish Gupta,,2020-07-01T03:18:28.587Z,,False,,False,False,False,False,False,False,False,[],[],[],[],14,m5-forecasting-uncertainty
,,,,,0,kneroma/fast-wsp-loss-implementation-5s,Fast WSP Loss Implementation (5s),kkiller,,2020-06-25T00:29:02.187Z,,False,,False,False,False,False,False,False,False,[],[],[],[],12,m5-forecasting-uncertainty
,,,,,0,arjunsehajpal/m5-forecasting-initialeda,M5-Forecasting-InitialEDA,Arjun Sehajpal,,2021-10-09T16:41:57.63Z,,False,,False,False,False,False,False,False,False,[],[],[],[],11,m5-forecasting-uncertainty
,,,,,0,robertburbidge/lightgbm-gamma,LightGBM Gamma,Robert David Burbidge PhD,,2020-03-23T14:27:46.393Z,,False,,False,False,False,False,False,False,False,[],[],[],[],10,m5-forecasting-uncertainty
,,,,,0,andrewcameronsmith/introduction-to-scaled-pinball-loss,Introduction to scaled pinball loss,Andrew Smith,,2020-06-07T12:23:19.64Z,,False,,False,False,False,False,False,False,False,[],[],[],[],7,m5-forecasting-uncertainty
,,,,,0,olafko/m5-uncertainty-prediction-lstm-nn,M5 Uncertainty Prediction LSTM NN,OlafKo,,2020-06-01T15:45:39.833Z,,False,,False,False,False,False,False,False,False,[],[],[],[],6,m5-forecasting-uncertainty
,,,,,0,anuraglahon/m5-forcasting,M5 Forcasting,Anurag,,2020-03-03T02:24:07.603Z,,False,,False,False,False,False,False,False,False,[],[],[],[],6,m5-forecasting-uncertainty
,,,,,0,akashmathur2212/comprehensive-data-visualization-m5-eda,Comprehensive Data Visualization - M5 EDA,Akash Mathur,,2020-11-01T07:31:22.82Z,,False,,False,False,False,False,False,False,False,[],[],[],[],5,m5-forecasting-uncertainty
,,,,,0,lilsummer877/attempt-to-use-bayesian-to-estimate-uncertainty,(Attempt) to use bayesian to estimate uncertainty,WordUp4Summer,,2020-05-14T03:29:55.5Z,,False,,False,False,False,False,False,False,False,[],[],[],[],5,m5-forecasting-uncertainty
,,,,,0,shaitender/forked-from-point-to-uncertainty,Forked from Point to uncertainty,Shaitender Singh,,2020-04-17T14:26:00.22Z,,False,,False,False,False,False,False,False,False,[],[],[],[],4,m5-forecasting-uncertainty
,,,,,0,sachina/convert-accuracy-to-uncertainty-poisson,Convert accuracy to uncertainty - Poisson,SachinAgrawal,,2020-04-08T23:35:28.633Z,,False,,False,False,False,False,False,False,False,[],[],[],[],4,m5-forecasting-uncertainty
,,,,,0,marisakamozz/m5-prophet,M5 Prophet,Marisaka Mozz,,2020-11-27T02:18:28.557Z,,False,,False,False,False,False,False,False,False,[],[],[],[],3,m5-forecasting-uncertainty
,,,,,0,poteman/local-test,local_test,poteman,,2020-06-30T14:34:56.753Z,,False,,False,False,False,False,False,False,False,[],[],[],[],3,m5-forecasting-uncertainty
,,,,,0,ouranos/point-to-uncertainty-v2,Point to uncertainty v2,Ouranos,,2020-07-14T08:43:55.64Z,,False,,False,False,False,False,False,False,False,[],[],[],[],3,m5-forecasting-uncertainty
,,,,,0,kamalnaithani/m5unceratinityadddata,M5Unceratinityadddata,Kamal,,2020-06-29T23:29:11.443Z,,False,,False,False,False,False,False,False,False,[],[],[],[],3,m5-forecasting-uncertainty
,,,,,0,pratikbarua/m5-sales-uncertainty-prediction,M5 - Sales Uncertainty Prediction,Pratik Barua,,2020-06-08T17:25:56.57Z,,False,,False,False,False,False,False,False,False,[],[],[],[],3,m5-forecasting-uncertainty
,,,,,0,tanmoyie/m5-forecasting-optimizing-neural-network,m5 forecasting - Optimizing Neural Network,Tanmoy Das,,2020-06-08T03:23:26.493Z,,False,,False,False,False,False,False,False,False,[],[],[],[],3,m5-forecasting-uncertainty
,,,,,0,sachina/building-aggregate-time-series,Building aggregate time series,SachinAgrawal,,2020-03-31T11:22:55.47Z,,False,,False,False,False,False,False,False,False,[],[],[],[],3,m5-forecasting-uncertainty
,,,,,0,nirmalnk/m5-predictions,M5 Predictions,Nirmal Nk,,2020-03-16T21:08:24.883Z,,False,,False,False,False,False,False,False,False,[],[],[],[],3,m5-forecasting-uncertainty
,,,,,0,mahmudds/m5-forecasting-uncertainty,M5 Forecasting - Uncertainty,Mahmud Hasan,,2020-06-30T12:45:38.027Z,,False,,False,False,False,False,False,False,False,[],[],[],[],2,m5-forecasting-uncertainty
