languageNullable,kernelTypeNullable,isPrivateNullable,enableGpuNullable,enableInternetNullable,id,ref,title,author,slug,lastRunTime,language,hasLanguage,kernelType,hasKernelType,isPrivate,hasIsPrivate,enableGpu,hasEnableGpu,enableInternet,hasEnableInternet,categoryIds,datasetDataSources,kernelDataSources,competitionDataSources,totalVotes,competitionId
,,,,,0,bgmello/neural-networks-feature-engineering-for-the-win,neural networks + feature engineering for the win,Bruno Gorresen Mello,,2019-10-29T18:38:23.557Z,,False,,False,False,False,False,False,False,False,[],[],[],[],510,nfl-big-data-bowl-2020
,,,,,0,dster/nfl-big-data-bowl-official-starter-notebook,NFL Big Data Bowl Official Starter Notebook,DJ Sterling,,2019-10-09T21:26:21.28Z,,False,,False,False,False,False,False,False,False,[],[],[],[],317,nfl-big-data-bowl-2020
,,,,,0,robikscube/nfl-big-data-bowl-plotting-player-position,NFL Big Data Bowl - Plotting Player Position,Rob Mulla,,2020-10-14T20:42:50.567Z,,False,,False,False,False,False,False,False,False,[],[],[],[],310,nfl-big-data-bowl-2020
,,,,,0,cpmpml/initial-wrangling-voronoi-areas-in-python,initial wrangling & Voronoi areas in Python,CPMP,,2019-11-14T19:49:41.383Z,,False,,False,False,False,False,False,False,False,[],[],[],[],276,nfl-big-data-bowl-2020
,,,,,0,tombresee/next-gen-eda,Next Gen EDA,TexasTom,,2021-05-18T21:21:42.973Z,,False,,False,False,False,False,False,False,False,[],[],[],[],248,nfl-big-data-bowl-2020
,,,,,0,hukuda222/nfl-simple-model-using-lightgbm,NFL simple model using lightGBM,hukuda222,,2019-10-14T03:12:44.12Z,,False,,False,False,False,False,False,False,False,[],[],[],[],188,nfl-big-data-bowl-2020
,,,,,0,fatihbilgin/nfl-big-data-visualization,NFL Big Data Visualization,Fatih Bilgin,,2019-11-20T17:16:54.63Z,,False,,False,False,False,False,False,False,False,[],[],[],[],167,nfl-big-data-bowl-2020
,,,,,0,cpmpml/graph-transfomer,Graph Transfomer,CPMP,,2020-01-08T19:30:34.403Z,,False,,False,False,False,False,False,False,False,[],[],[],[],162,nfl-big-data-bowl-2020
,,,,,0,sryo188558/cox-proportional-hazard-model,Cox proportional hazard model,sryo,,2019-11-02T05:19:05.627Z,,False,,False,False,False,False,False,False,False,[],[],[],[],157,nfl-big-data-bowl-2020
,,,,,0,mrkmakr/neural-network-with-mae-objective-0-01381,"neural network, with mae objective, 0.01381",mrkmakr,,2019-10-24T15:39:31.553Z,,False,,False,False,False,False,False,False,False,[],[],[],[],156,nfl-big-data-bowl-2020
