languageNullable,kernelTypeNullable,isPrivateNullable,enableGpuNullable,enableInternetNullable,id,ref,title,author,slug,lastRunTime,language,hasLanguage,kernelType,hasKernelType,isPrivate,hasIsPrivate,enableGpu,hasEnableGpu,enableInternet,hasEnableInternet,categoryIds,datasetDataSources,kernelDataSources,competitionDataSources,totalVotes,competitionId
,,,,,0,robikscube/nfl-helmet-assignment-getting-started-guide,NFL Helmet Assignment - Getting Started Guide,Rob Mulla,,2021-08-10T15:30:23.14Z,,False,,False,False,False,False,False,False,False,[],[],[],[],262,nfl-health-and-safety-helmet-assignment
,,,,,0,its7171/nfl-baseline-simple-helmet-mapping,NFL Baseline - Simple Helmet Mapping,tito,,2021-08-16T11:25:07.117Z,,False,,False,False,False,False,False,False,False,[],[],[],[],222,nfl-health-and-safety-helmet-assignment
,,,,,0,robikscube/helper-code-helmet-mapping-deepsort,Helper Code + Helmet Mapping + Deepsort,Rob Mulla,,2021-08-19T17:13:07.223Z,,False,,False,False,False,False,False,False,False,[],[],[],[],130,nfl-health-and-safety-helmet-assignment
,,,,,0,firefliesqn/tuning-deepsort-helmet-mapping,Tuning DeepSort + Helmet Mapping ,fireflies,,2021-09-12T07:59:20.507Z,,False,,False,False,False,False,False,False,False,[],[],[],[],91,nfl-health-and-safety-helmet-assignment
,,,,,0,jianghanhan/tuning-deepsort-helmet-mapping-high-score,Tuning DeepSort + Helmet Mapping_high_score ,拿来吧你,,2021-09-19T06:23:26.463Z,,False,,False,False,False,False,False,False,False,[],[],[],[],76,nfl-health-and-safety-helmet-assignment
,,,,,0,ayuraj/train-nfl-extra-images-yolov5-with-w-b,[Train] NFL Extra Images YOLOv5 with W&B,Ayush Thakur,,2021-08-13T07:09:10.21Z,,False,,False,False,False,False,False,False,False,[],[],[],[],76,nfl-health-and-safety-helmet-assignment
,,,,,0,kmat2019/nfl-1stplace-inference,NFL_1stplace_inference,K_mat,,2021-11-04T03:09:35.15Z,,False,,False,False,False,False,False,False,False,[],[],[],[],74,nfl-health-and-safety-helmet-assignment
,,,,,0,frlemarchand/nfl-jersey-number-recognition-to-track-players, NFL Jersey Number Recognition to Track Players,Francois Lemarchand,,2021-08-17T17:23:35.717Z,,False,,False,False,False,False,False,False,False,[],[],[],[],63,nfl-health-and-safety-helmet-assignment
,,,,,0,coldfir3/camera-tracking-matching-with-gradient-descent,Camera-Tracking Matching with Gradient Descent,Adriano Passos,,2021-08-23T15:02:05.093Z,,False,,False,False,False,False,False,False,False,[],[],[],[],53,nfl-health-and-safety-helmet-assignment
,,,,,0,s903124/nfl-helmet-with-yolov5-deepsort-starter,NFL helmet with Yolov5-deepsort starter,903124,,2021-08-12T05:41:15.403Z,,False,,False,False,False,False,False,False,False,[],[],[],[],46,nfl-health-and-safety-helmet-assignment
