languageNullable,kernelTypeNullable,isPrivateNullable,enableGpuNullable,enableInternetNullable,id,ref,title,author,slug,lastRunTime,language,hasLanguage,kernelType,hasKernelType,isPrivate,hasIsPrivate,enableGpu,hasEnableGpu,enableInternet,hasEnableInternet,categoryIds,datasetDataSources,kernelDataSources,competitionDataSources,totalVotes,competitionId
,,,,,0,its7171/2class-object-detection-training,2Class Object Detection Training,tito,,2020-11-28T04:35:09.153Z,,False,,False,False,False,False,False,False,False,[],[],[],[],182,nfl-impact-detection
,,,,,0,its7171/2class-object-detection-inference,2Class Object Detection Inference,tito,,2020-11-28T04:36:14.927Z,,False,,False,False,False,False,False,False,False,[],[],[],[],125,nfl-impact-detection
,,,,,0,utkarshxy/object-detection-with-yolo-complete-theory-5mins,Object Detection with YOLO| Complete Theory-5mins,Zeus,,2021-01-17T16:12:58.227Z,,False,,False,False,False,False,False,False,False,[],[],[],[],116,nfl-impact-detection
,,,,,0,samhuddleston/nfl-1st-and-future-getting-started,NFL 1st and Future Getting Started,Sam Huddleston,,2020-11-17T04:48:43.697Z,,False,,False,False,False,False,False,False,False,[],[],[],[],115,nfl-impact-detection
,,,,,0,nvnnghia/evaluation-metrics,evaluation metrics,nvnn,,2020-12-05T01:50:57.63Z,,False,,False,False,False,False,False,False,False,[],[],[],[],109,nfl-impact-detection
,,,,,0,artkulak/both-zones-2class-object-detection-strict-filter,both zones 2Class Object Detection strict filter,Art,,2020-12-14T10:03:35.343Z,,False,,False,False,False,False,False,False,False,[],[],[],[],107,nfl-impact-detection
,,,,,0,artkulak/2class-object-detection-inference-with-filtering,2Class Object Detection Inference with filtering,Art,,2020-12-14T14:00:11.46Z,,False,,False,False,False,False,False,False,False,[],[],[],[],66,nfl-impact-detection
,,,,,0,robikscube/nfl-impact-detection-eda,NFL Impact Detection EDA,Rob Mulla,,2020-11-19T15:57:13.67Z,,False,,False,False,False,False,False,False,False,[],[],[],[],56,nfl-impact-detection
,,,,,0,cdeotte/watch-submission-csv-as-video,Watch Submission CSV as Video!,Chris Deotte,,2021-01-05T02:22:47.317Z,,False,,False,False,False,False,False,False,False,[],[],[],[],53,nfl-impact-detection
,,,,,0,daigohirooka/optical-flow-estimation-using-raft,Optical flow estimation using RAFT,dhirooka,,2020-12-13T01:48:59.843Z,,False,,False,False,False,False,False,False,False,[],[],[],[],48,nfl-impact-detection
,,,,,0,ar2017/efficientdet-train-mixup-cutmix-stratifiedk-fold,EfficientDet [Train] Mixup+Cutmix+StratifiedK-Fold,AndikaRachman,,2020-12-13T10:34:11.9Z,,False,,False,False,False,False,False,False,False,[],[],[],[],43,nfl-impact-detection
,,,,,0,hidehisaarai1213/nfl-impact-create-tracking-animation,NFL impact: Create Tracking Animation,Hidehisa Arai,,2020-12-22T08:06:44.03Z,,False,,False,False,False,False,False,False,False,[],[],[],[],39,nfl-impact-detection
,,,,,0,ks2019/yolo-with-player-assignment-pp,Yolo with Player Assignment PP,KS,,2021-01-05T00:28:15.353Z,,False,,False,False,False,False,False,False,False,[],[],[],[],32,nfl-impact-detection
,,,,,0,cdeotte/nfl-2d-detect-3d-classify-0-515,NFL - 2D Detect - 3D Classify - [0.515],Chris Deotte,,2021-01-09T01:02:04.217Z,,False,,False,False,False,False,False,False,False,[],[],[],[],29,nfl-impact-detection
,,,,,0,glebkum/helmets-detection-faster-r-cnn,Helmets detection Faster R-CNN,Gleb_k,,2020-11-22T18:41:43.507Z,,False,,False,False,False,False,False,False,False,[],[],[],[],27,nfl-impact-detection
,,,,,0,jinssaa/detecting-helmet-using-mmdetection-w-o-internet,Detecting Helmet using MMdetection w/o internet,JIN,,2020-11-27T03:18:04.517Z,,False,,False,False,False,False,False,False,False,[],[],[],[],25,nfl-impact-detection
,,,,,0,jamsilkaggle/2class-object-detection-evaluation, 2Class Object Detection evaluation,JamsilKaggle,,2020-12-27T09:41:41.433Z,,False,,False,False,False,False,False,False,False,[],[],[],[],24,nfl-impact-detection
,,,,,0,jinssaa/detecting-impact-with-mmdetection-training,Detecting Impact With MMdetection Training,JIN,,2020-12-01T14:56:19.793Z,,False,,False,False,False,False,False,False,False,[],[],[],[],22,nfl-impact-detection
,,,,,0,tarobxl/nfl-train-yolo-single-class,nfl-train-yolo-single-class,tarobxl,,2020-11-26T08:36:51.86Z,,False,,False,False,False,False,False,False,False,[],[],[],[],22,nfl-impact-detection
,,,,,0,hamditarek/helmet-tracking-system-for-nfl,🏈🏈 Helmet Tracking System for NFL 🏈🏈,Tarek Hamdi,,2020-11-19T00:20:13.013Z,,False,,False,False,False,False,False,False,False,[],[],[],[],22,nfl-impact-detection
,,,,,0,aravindnaidu/ultimate-guide-to-get-started-on-nfl-impact-det,Ultimate Guide to get started on NFL Impact Det.,Aravind Naidu,,2020-11-25T19:32:10.933Z,,False,,False,False,False,False,False,False,False,[],[],[],[],15,nfl-impact-detection
,,,,,0,li325040229/using-randomforest-to-predict-impact,Using RandomForest to predict impact.,Dapeng,,2020-12-16T04:19:07.51Z,,False,,False,False,False,False,False,False,False,[],[],[],[],14,nfl-impact-detection
,,,,,0,mrutyunjaybiswal/nfl-impact-detection-eda-helmetdetection-explained,NFL Impact Detection|EDA|HelmetDetection|Explained,Ultron,,2020-12-30T10:19:39.233Z,,False,,False,False,False,False,False,False,False,[],[],[],[],14,nfl-impact-detection
,,,,,0,divyanshuusingh/nfl-exploratory-data-analysis,NFL - Exploratory Data Analysis,Savitar,,2020-12-16T15:11:09.367Z,,False,,False,False,False,False,False,False,False,[],[],[],[],13,nfl-impact-detection
,,,,,0,jinssaa/detecting-impact-with-mmdetection-inference,Detecting Impact With MMdetection Inference,JIN,,2020-12-01T15:17:28.693Z,,False,,False,False,False,False,False,False,False,[],[],[],[],12,nfl-impact-detection
,,,,,0,jinssaa/create-coco-anntations,Create COCO Anntations,JIN,,2020-11-26T12:31:58.073Z,,False,,False,False,False,False,False,False,False,[],[],[],[],12,nfl-impact-detection
,,,,,0,ks2019/eff-det-with-player-assignment,EFF DET with Player Assignment ,KS,,2021-01-05T11:15:05.207Z,,False,,False,False,False,False,False,False,False,[],[],[],[],11,nfl-impact-detection
,,,,,0,miyakawa2286/check-augmentations,check_augmentations,id_jump_in_front_of_a_train_for_ya,,2020-12-20T11:23:11.767Z,,False,,False,False,False,False,False,False,False,[],[],[],[],11,nfl-impact-detection
,,,,,0,tjungblut/detecting-helmets-with-detectron2,Detecting Helmets with Detectron2,Thomas Jungblut,,2020-12-21T08:32:42.44Z,,False,,False,False,False,False,False,False,False,[],[],[],[],11,nfl-impact-detection
,,,,,0,morizin/metric-on-baseline,Metric on Baseline,Mohammed Rizin V K,,2020-12-27T04:09:02.17Z,,False,,False,False,False,False,False,False,False,[],[],[],[],10,nfl-impact-detection
,,,,,0,ahmedewida/nfl-object-detection-inference,nfl-Object Detection Inference,Ahmed Ewida,,2020-12-05T06:28:18.097Z,,False,,False,False,False,False,False,False,False,[],[],[],[],10,nfl-impact-detection
,,,,,0,jinssaa/checking-impact-moment-from-video,Checking Impact Moment From Video,JIN,,2020-11-27T10:20:28.87Z,,False,,False,False,False,False,False,False,False,[],[],[],[],10,nfl-impact-detection
,,,,,0,mrnnnn/create-annotated-videos,Create annotated videos,Ruslan Grimov,,2020-11-23T14:41:01.623Z,,False,,False,False,False,False,False,False,False,[],[],[],[],10,nfl-impact-detection
,,,,,0,nayuts/nfl-dataset-quick-overview,NFL Dataset quick overview🏉,Nayu.T.S.,,2020-11-17T14:29:00.053Z,,False,,False,False,False,False,False,False,False,[],[],[],[],10,nfl-impact-detection
,,,,,0,aravindnaidu/ultimate-eda-nfl-impact-detection,Ultimate EDA - NFL Impact Detection,Aravind Naidu,,2020-12-03T17:32:30.893Z,,False,,False,False,False,False,False,False,False,[],[],[],[],9,nfl-impact-detection
,,,,,0,yassinealouini/eda-nfl-impact,EDA NFL Impact,Yassine Alouini,,2021-01-18T18:22:16.79Z,,False,,False,False,False,False,False,False,False,[],[],[],[],8,nfl-impact-detection
,,,,,0,ttahara/nfl-id-how-extract-frames-from-train-videos,NFL-ID: How Extract Frames From Train Videos,Tawara,,2020-12-10T13:10:31.207Z,,False,,False,False,False,False,False,False,False,[],[],[],[],8,nfl-impact-detection
,,,,,0,kirderf/52nd-place-yolov5-implementation,52nd place Yolov5 implementation  ,Kirderf,,2021-01-05T12:49:12.62Z,,False,,False,False,False,False,False,False,False,[],[],[],[],7,nfl-impact-detection
,,,,,0,c7934597/both-zones-2class-object-detection-strict-filter,both zones 2Class Object Detection strict filter,Weiming Lin,,2020-12-23T03:29:35.837Z,,False,,False,False,False,False,False,False,False,[],[],[],[],7,nfl-impact-detection
,,,,,0,hidehisaarai1213/nfl-impact-impact-time-estimation-with-lstm,NFL Impact: Impact time estimation with LSTM,Hidehisa Arai,,2020-12-21T08:08:02.643Z,,False,,False,False,False,False,False,False,False,[],[],[],[],7,nfl-impact-detection
,,,,,0,tiandaye/infer-yolov5,infer_yolov5,Tian,,2020-12-09T00:45:03.39Z,,False,,False,False,False,False,False,False,False,[],[],[],[],7,nfl-impact-detection
,,,,,0,shayantaherian/nfl-training-fasterrcnn,NFL-Training - FasterRCNN,shayan taherian,,2020-12-21T22:39:28.687Z,,False,,False,False,False,False,False,False,False,[],[],[],[],6,nfl-impact-detection
,,,,,0,pabloberhauser/icevision-inference,IceVision Inference,pablOberhauser,,2021-02-11T16:22:02.79Z,,False,,False,False,False,False,False,False,False,[],[],[],[],6,nfl-impact-detection
,,,,,0,robertlangdonvinci/nfl-helmet-impact-detection-fastai,NFL_Helmet_Impact_Detection_Fastai,RobertLangdonVinci,,2020-12-25T22:05:41.323Z,,False,,False,False,False,False,False,False,False,[],[],[],[],5,nfl-impact-detection
,,,,,0,s903124/perspective-transform-of-helmet-and-tracking-data,Perspective transform of helmet and tracking data,903124,,2021-08-12T13:29:36.343Z,,False,,False,False,False,False,False,False,False,[],[],[],[],5,nfl-impact-detection
,,,,,0,nikitautin/35th-place-efficientdet-train,35th place EfficientDet train,Nikita Utin,,2021-03-31T10:32:01.777Z,,False,,False,False,False,False,False,False,False,[],[],[],[],4,nfl-impact-detection
,,,,,0,kyoshioka47/team-tara-submission-2-stage-3d,Team Tara submission 2-stage + 3D,arutema47,,2021-01-11T01:29:35.413Z,,False,,False,False,False,False,False,False,False,[],[],[],[],4,nfl-impact-detection
,,,,,0,doanquanvietnamca/fastercnn-resnet50,FasterCNN- RESNET50,Manh Lab,,2020-12-19T09:58:07.207Z,,False,,False,False,False,False,False,False,False,[],[],[],[],4,nfl-impact-detection
,,,,,0,razatabish/train-fasterrcnn-impact-detection,Train_FasterRCNN- Impact Detection,Fareed,,2020-12-22T11:51:05.5Z,,False,,False,False,False,False,False,False,False,[],[],[],[],4,nfl-impact-detection
,,,,,0,alibaba19/impact-eda,Impact EDA,Ali Zaidi,,2020-11-17T02:35:54.977Z,,False,,False,False,False,False,False,False,False,[],[],[],[],4,nfl-impact-detection
,,,,,0,nikitautin/35th-place-efficientdet-inference,35th place EfficientDet inference,Nikita Utin,,2021-03-31T11:28:53.567Z,,False,,False,False,False,False,False,False,False,[],[],[],[],2,nfl-impact-detection
,,,,,0,sumityadav/nfl-tfrecord,NFL-tfrecord,Sumit,,2020-12-24T13:38:09.363Z,,False,,False,False,False,False,False,False,False,[],[],[],[],2,nfl-impact-detection
,,,,,0,riddhijani/nfl-1st-and-future-impact-detection-ee258-948dff,NFL 1st and Future Impact Detection(EE258) 948dff,Riddhi Pareshkumar Jani,,2020-12-15T17:38:52.143Z,,False,,False,False,False,False,False,False,False,[],[],[],[],2,nfl-impact-detection
,,,,,0,franchesoni/nfl-object-detection-inference-given-notebook,nfl-Object Detection Inference - given notebook,franchesoni,,2020-12-02T18:25:15.967Z,,False,,False,False,False,False,False,False,False,[],[],[],[],2,nfl-impact-detection
,,,,,0,pushpakbhoge/create-datasets,Create Datasets,Pushpak Bhoge,,2020-12-01T10:10:21.72Z,,False,,False,False,False,False,False,False,False,[],[],[],[],2,nfl-impact-detection
,,,,,0,petraderecskei/notebookcnlf-my2,notebookcNLF_my2,Petra Derecskei,,2021-01-04T00:01:12.29Z,,False,,False,False,False,False,False,False,False,[],[],[],[],1,nfl-impact-detection
,,,,,0,arthurlirui/test-submission,test_submission,Arthur,,2021-01-01T15:35:00.36Z,,False,,False,False,False,False,False,False,False,[],[],[],[],1,nfl-impact-detection
,,,,,0,illlusion/2class-object-detection-training,2Class Object Detection Training,illlusion,,2020-12-23T08:50:42.087Z,,False,,False,False,False,False,False,False,False,[],[],[],[],1,nfl-impact-detection
,,,,,0,robin26091991/nfl-helmet-impact-detection-computer-vision-system,NFL Helmet Impact Detection Computer Vision System,Ashish Pandey,,2021-03-25T15:14:05.65Z,,False,,False,False,False,False,False,False,False,[],[],[],[],1,nfl-impact-detection
,,,,,0,kausheeki01/nfl-2class-object-detection-inference,NFL-2Class Object Detection Inference,KAUSHEEKI,,2021-08-27T11:56:23.707Z,,False,,False,False,False,False,False,False,False,[],[],[],[],0,nfl-impact-detection
,,,,,0,sarojkatwal/optical-flow1,Optical flow1,Saroj Katwal,,2021-12-11T02:20:12.177Z,,False,,False,False,False,False,False,False,False,[],[],[],[],0,nfl-impact-detection
,,,,,0,petermichel/nfl-2d-detect-3d-classify-0-515,NFL - 2D Detect - 3D Classify - [0.515],Dehr Musa,,2021-02-08T17:04:08.557Z,,False,,False,False,False,False,False,False,False,[],[],[],[],0,nfl-impact-detection
,,,,,0,petermichel/pp-mod-of-2-stage-3d,PP mod of 2-stage + 3D,Dehr Musa,,2021-02-08T16:58:27.783Z,,False,,False,False,False,False,False,False,False,[],[],[],[],0,nfl-impact-detection
,,,,,0,petraderecskei/nnlfbook-predict-score,nNLFBOOK_PREDICT_SCORE,Petra Derecskei,,2021-01-04T20:29:25.887Z,,False,,False,False,False,False,False,False,False,[],[],[],[],0,nfl-impact-detection
,,,,,0,petraderecskei/notenlf,noteNLF,Petra Derecskei,,2021-01-04T07:24:20.923Z,,False,,False,False,False,False,False,False,False,[],[],[],[],0,nfl-impact-detection
,,,,,0,hengck23/notebook469e6bbb44,notebook469e6bbb44,‎‎‎‎‎‎‎‎,,2020-12-31T19:29:37.067Z,,False,,False,False,False,False,False,False,False,[],[],[],[],0,nfl-impact-detection
,,,,,0,hengck23/notebook409333dc67,notebook409333dc67,‎‎‎‎‎‎‎‎,,2020-12-31T03:11:07.317Z,,False,,False,False,False,False,False,False,False,[],[],[],[],0,nfl-impact-detection
,,,,,0,akashsuper2000/both-zones-2class-object-detection-strict-filter,both zones 2Class Object Detection strict filter,Akash G,,2020-12-17T03:24:22.017Z,,False,,False,False,False,False,False,False,False,[],[],[],[],0,nfl-impact-detection
