languageNullable,kernelTypeNullable,isPrivateNullable,enableGpuNullable,enableInternetNullable,id,ref,title,author,slug,lastRunTime,language,hasLanguage,kernelType,hasKernelType,isPrivate,hasIsPrivate,enableGpu,hasEnableGpu,enableInternet,hasEnableInternet,categoryIds,datasetDataSources,kernelDataSources,competitionDataSources,totalVotes,competitionId
,,,,,0,shahules/basic-eda-cleaning-and-glove,"Basic EDA,Cleaning and GloVe",Shahules,,2019-12-31T05:57:44.853Z,,False,,False,False,False,False,False,False,False,[],[],[],[],1231,nlp-getting-started
,,,,,0,gunesevitan/nlp-with-disaster-tweets-eda-cleaning-and-bert,"NLP with Disaster Tweets - EDA, Cleaning and BERT",Gunes Evitan,,2020-02-04T19:29:12.497Z,,False,,False,False,False,False,False,False,False,[],[],[],[],1201,nlp-getting-started
,,,,,0,philculliton/nlp-getting-started-tutorial,NLP Getting Started Tutorial,Phil Culliton,,2019-12-20T18:35:44.01Z,,False,,False,False,False,False,False,False,False,[],[],[],[],671,nlp-getting-started
,,,,,0,pavansanagapati/knowledge-graph-nlp-tutorial-bert-spacy-nltk,"Knowledge Graph & NLP Tutorial-(BERT,spaCy,NLTK)",Pavan Sanagapati,,2020-09-08T14:40:39.107Z,,False,,False,False,False,False,False,False,False,[],[],[],[],568,nlp-getting-started
,,,,,0,vbmokin/nlp-eda-bag-of-words-tf-idf-glove-bert,"NLP - EDA, Bag of Words, TF IDF, GloVe, BERT",Vitalii Mokin,,2021-08-07T21:19:19.15Z,,False,,False,False,False,False,False,False,False,[],[],[],[],511,nlp-getting-started
,,,,,0,parulpandey/useful-python-libraries-for-data-science,Useful Python libraries for Data Science,Parul Pandey,,2020-04-25T06:22:19.08Z,,False,,False,False,False,False,False,False,False,[],[],[],[],497,nlp-getting-started
,,,,,0,faressayah/natural-language-processing-nlp-for-beginners,📚Natural Language Processing (NLP)🧾for Beginners,Fares Sayah,,2021-04-04T21:49:08.837Z,,False,,False,False,False,False,False,False,False,[],[],[],[],385,nlp-getting-started
,,,,,0,xhlulu/disaster-nlp-keras-bert-using-tfhub,Disaster NLP: Keras BERT using TFHub,xhlulu,,2020-11-07T16:38:57.683Z,,False,,False,False,False,False,False,False,False,[],[],[],[],333,nlp-getting-started
,,,,,0,ratan123/in-depth-guide-to-google-s-bert,In-Depth Guide 📙 to Google's BERT  ,ratan rohith,,2020-02-29T03:12:34.7Z,,False,,False,False,False,False,False,False,False,[],[],[],[],285,nlp-getting-started
,,,,,0,andreshg/nlp-glove-bert-tf-idf-lstm-explained,"NLP 📝 GloVe, BERT, TF-IDF, LSTM... 📝 Explained",AndresHG,,2021-05-10T23:12:42.62Z,,False,,False,False,False,False,False,False,False,[],[],[],[],260,nlp-getting-started
,,,,,0,parulpandey/getting-started-with-nlp-a-general-intro,Getting started with NLP - A general Intro,Parul Pandey,,2020-05-28T04:51:47.34Z,,False,,False,False,False,False,False,False,False,[],[],[],[],256,nlp-getting-started
,,,,,0,szelee/a-real-disaster-leaked-label,A Real Disaster - Leaked Label,szelee,,2019-12-31T01:06:58.087Z,,False,,False,False,False,False,False,False,False,[],[],[],[],203,nlp-getting-started
,,,,,0,datafan07/disaster-tweets-nlp-eda-bert-with-transformers,Disaster Tweets NLP: EDA & BERT With Transformers,Ertuğrul Demir,,2020-07-27T23:11:56.363Z,,False,,False,False,False,False,False,False,False,[],[],[],[],177,nlp-getting-started
,,,,,0,marcovasquez/basic-nlp-with-tensorflow-and-wordcloud,Basic NLP with TensorFlow and WordCloud📄 ,Marco Vasquez E,,2020-01-09T15:39:47.933Z,,False,,False,False,False,False,False,False,False,[],[],[],[],175,nlp-getting-started
,,,,,0,yufengg/automl-getting-started-notebook,AutoML Getting Started Notebook,Yufeng Guo,,2020-01-23T16:21:00.977Z,,False,,False,False,False,False,False,False,False,[],[],[],[],147,nlp-getting-started
,,,,,0,ratan123/start-from-here-disaster-tweets-eda-basic-model,Start From Here : Disaster Tweets EDA+Basic model,ratan rohith,,2020-03-07T16:27:32.07Z,,False,,False,False,False,False,False,False,False,[],[],[],[],131,nlp-getting-started
