languageNullable,kernelTypeNullable,isPrivateNullable,enableGpuNullable,enableInternetNullable,id,ref,title,author,slug,lastRunTime,language,hasLanguage,kernelType,hasKernelType,isPrivate,hasIsPrivate,enableGpu,hasEnableGpu,enableInternet,hasEnableInternet,categoryIds,datasetDataSources,kernelDataSources,competitionDataSources,totalVotes,competitionId
,,,,,0,suicaokhoailang/facenet-baseline-in-keras-0-749-lb,Facenet baseline in Keras [0.749 LB],Khoi Nguyen,,2019-05-15T11:55:04.393Z,,False,,False,False,False,False,False,False,False,[],[],[],[],93,recognizing-faces-in-the-wild
,,,,,0,ateplyuk/vggface-baseline-in-keras,VGGFace baseline in Keras,Alexander Teplyuk,,2019-06-08T15:57:12.147Z,,False,,False,False,False,False,False,False,False,[],[],[],[],58,recognizing-faces-in-the-wild
,,,,,0,hsinwenchang/vggface-baseline-197x197,VGGFace Baseline 197X197,Beans,,2019-06-23T06:16:11.07Z,,False,,False,False,False,False,False,False,False,[],[],[],[],31,recognizing-faces-in-the-wild
,,,,,0,thanatoz/one-shot-method-to-tackle-kinship-problem-keras,One-shot method to tackle kinship problem [Keras],Tushar,,2019-05-25T07:55:28.663Z,,False,,False,False,False,False,False,False,False,[],[],[],[],27,recognizing-faces-in-the-wild
,,,,,0,janpreets/just-another-feature-extractor-0-824-lb,Just another feature extractor[0.824 LB],DatumX,,2019-06-05T06:00:32.267Z,,False,,False,False,False,False,False,False,False,[],[],[],[],19,recognizing-faces-in-the-wild
,,,,,0,serengil/finding-relative-faces,Finding-Relative-Faces,Sefik,,2019-08-07T17:27:48.297Z,,False,,False,False,False,False,False,False,False,[],[],[],[],17,recognizing-faces-in-the-wild
,,,,,0,hominlee/show-image,show_image,HoMin,,2019-05-15T01:36:07.617Z,,False,,False,False,False,False,False,False,False,[],[],[],[],17,recognizing-faces-in-the-wild
,,,,,0,vaishvik25/blend-of-smiles,blend of  SMILEs,Vaishvik,,2019-07-23T08:53:20.383Z,,False,,False,False,False,False,False,False,False,[],[],[],[],15,recognizing-faces-in-the-wild
,,,,,0,thanatoz/lets-generate-more-faces-gan,Lets generate more faces [GAN],Tushar,,2019-06-19T06:03:12.993Z,,False,,False,False,False,False,False,False,False,[],[],[],[],15,recognizing-faces-in-the-wild
,,,,,0,hengzheng/simple-autoencoder-keras-and-kmean-cluster,Simple Autoencoder [Keras] and KMean Cluster ,Heng Zheng,,2019-05-15T08:54:18.767Z,,False,,False,False,False,False,False,False,False,[],[],[],[],15,recognizing-faces-in-the-wild
,,,,,0,caseyworks/open-kimono-kinship-notebook-0-792lb,Open Kimono Kinship Notebook [0.792LB],Casey_Works,,2019-05-31T14:37:18.167Z,,False,,False,False,False,False,False,False,False,[],[],[],[],15,recognizing-faces-in-the-wild
,,,,,0,serengil/deepface-framework-for-python,DeepFace Framework for Python,Sefik,,2021-05-21T18:43:07.76Z,,False,,False,False,False,False,False,False,False,[],[],[],[],14,recognizing-faces-in-the-wild
