languageNullable,kernelTypeNullable,isPrivateNullable,enableGpuNullable,enableInternetNullable,id,ref,title,author,slug,lastRunTime,language,hasLanguage,kernelType,hasKernelType,isPrivate,hasIsPrivate,enableGpu,hasEnableGpu,enableInternet,hasEnableInternet,categoryIds,datasetDataSources,kernelDataSources,competitionDataSources,totalVotes,competitionId
,,,,,0,elenapetrova/time-series-analysis-and-forecasts-with-prophet, Time Series Analysis and Forecasts with Prophet,Elena,,2017-07-19T11:33:33.037Z,,False,,False,False,False,False,False,False,False,[],[],[],[],448,rossmann-store-sales
,,,,,0,omarelgabry/a-journey-through-rossmann-stores,A Journey through Rossmann Stores,OMAR ELGABRY,,2018-11-29T19:14:20.23Z,,False,,False,False,False,False,False,False,False,[],[],[],[],86,rossmann-store-sales
,,,,,0,cast42/xgboost-in-python-with-rmspe-v2,XGBoost Feature Importance,cast42,,2015-11-21T15:44:56.713Z,,False,,False,False,False,False,False,False,False,[],[],[],[],70,rossmann-store-sales
,,,,,0,juniorbueno/sales-prediction,Sales Prediction,Luiz Bueno,,2022-02-27T19:04:08.637Z,,False,,False,False,False,False,False,False,False,[],[],[],[],38,rossmann-store-sales
,,,,,0,danspace/rossmann-store-sales-xgboost,rossmann store sales xgboost,Diane Yuan,,2018-09-20T08:44:10.797Z,,False,,False,False,False,False,False,False,False,[],[],[],[],35,rossmann-store-sales
,,,,,0,hortonhearsafoo/fast-ai-lesson-3,fast.ai lesson 3,William Horton,,2018-08-04T22:39:24.28Z,,False,,False,False,False,False,False,False,False,[],[],[],[],34,rossmann-store-sales
,,,,,0,zygmunt/predict-sales-with-pandas-py,predict_sales_with_pandas.py,Foxtrot,,2015-10-18T19:53:25.88Z,,False,,False,False,False,False,False,False,False,[],[],[],[],30,rossmann-store-sales
,,,,,0,xwxw2929/rossmann-sales-top1,Rossmann Sales  Top1%,Aicanghai_Smile,,2018-07-13T10:40:03.39Z,,False,,False,False,False,False,False,False,False,[],[],[],[],26,rossmann-store-sales
,,,,,0,paso84/xgboost-in-python-with-rmspe,XGBoost in python with RMSPE,Paso,,2015-10-07T09:43:47.473Z,,False,,False,False,False,False,False,False,False,[],[],[],[],23,rossmann-store-sales
,,,,,0,stefanozakher94/eda-and-forecasting-with-rfregressor-final-updated,EDA and forecasting with RFRegressor_FINAL_UPDATED,Stefano Zakher,,2018-06-14T18:15:16.803Z,,False,,False,False,False,False,False,False,False,[],[],[],[],22,rossmann-store-sales
,,,,,0,vinhnguyen/evolutionary-algorithms-for-param-tuning,Evolutionary Algorithms for param tuning,Vinh Nguyen,,2015-10-27T03:46:26.49Z,,False,,False,False,False,False,False,False,False,[],[],[],[],21,rossmann-store-sales
,,,,,0,novikovanastya/submission-novikova,Submission_Novikova,Nastya,,2017-04-29T15:06:11.227Z,,False,,False,False,False,False,False,False,False,[],[],[],[],19,rossmann-store-sales
,,,,,0,dvasyukova/predict-sales-with-pandas-py,predict_sales_with_pandas.py,dune_dweller,,2015-10-07T12:09:30.05Z,,False,,False,False,False,False,False,False,False,[],[],[],[],18,rossmann-store-sales
,,,,,0,swinalmeshram/rossmann-sales,rossmann sales,Swinal Meshram,,2019-11-21T18:43:29.31Z,,False,,False,False,False,False,False,False,False,[],[],[],[],17,rossmann-store-sales
,,,,,0,cast42/xgboost-extra-features,XGBoost + extra features,cast42,,2015-11-20T15:03:44.927Z,,False,,False,False,False,False,False,False,False,[],[],[],[],17,rossmann-store-sales
,,,,,0,sunlightsedu/sunlightsedu-rossmann,Sunlightsedu - Rossmann,sunlightsedu,,2020-02-06T15:48:31.397Z,,False,,False,False,False,False,False,False,False,[],[],[],[],15,rossmann-store-sales
,,,,,0,ashwathbalaji/rossmann-store-sales,Rossmann Store Sales,Ashwath Balaji,,2019-11-13T15:04:16.477Z,,False,,False,False,False,False,False,False,False,[],[],[],[],15,rossmann-store-sales
,,,,,0,yogesh94/coding-for-rapid-ml-experimentation-part-i,coding for rapid ml experimentation part i ,Sri Yogesh,,2020-07-26T03:55:19.347Z,,False,,False,False,False,False,False,False,False,[],[],[],[],14,rossmann-store-sales
,,,,,0,smksett11/rossmann-entityembedding,rossmann_EntityEmbedding,m.hirakawa,,2019-10-18T06:06:18.03Z,,False,,False,False,False,False,False,False,False,[],[],[],[],14,rossmann-store-sales
,,,,,0,ananya77041/randomforestpython,RandomForestPython,AnanyaMishra,,2015-10-03T21:21:32.227Z,,False,,False,False,False,False,False,False,False,[],[],[],[],14,rossmann-store-sales
,,,,,0,mdementyev/dementyev-maxim,Dementyev Maxim,m_dementyev,,2017-04-29T08:35:41.627Z,,False,,False,False,False,False,False,False,False,[],[],[],[],13,rossmann-store-sales
,,,,,0,shadimoodad/basic-visualization,Basic Visualization,Shadi Moadad,,2015-10-25T09:47:42.717Z,,False,,False,False,False,False,False,False,False,[],[],[],[],13,rossmann-store-sales
,,,,,0,ashishpatel26/rossman-stores-sales-analysis,Rossman Stores Sales Analysis,NowYSM,,2018-05-17T07:35:28.993Z,,False,,False,False,False,False,False,False,False,[],[],[],[],12,rossmann-store-sales
,,,,,0,sirkrabye/efimovvladislav-technosphere,EfimovVladislav[Technosphere],Владислав Ефимов,,2017-04-26T20:33:26.747Z,,False,,False,False,False,False,False,False,False,[],[],[],[],12,rossmann-store-sales
,,,,,0,sammyshen/exploratory-and-randomforest,Exploratory and RandomForest ,Mi Sammy Shen,,2015-10-27T16:43:22.503Z,,False,,False,False,False,False,False,False,False,[],[],[],[],12,rossmann-store-sales
,,,,,0,alpertemel/rossmann-store-sales-rne-i,Rossmann Store Sales Örneği,Alper Temel,,2020-11-28T07:54:01.217Z,,False,,False,False,False,False,False,False,False,[],[],[],[],11,rossmann-store-sales
,,,,,0,aswathikv/rossmanstoresales,RossmanStoreSales,Aswathi KV,,2019-11-06T06:38:42.57Z,,False,,False,False,False,False,False,False,False,[],[],[],[],11,rossmann-store-sales
,,,,,0,evgenyvasilyev/evgeny-vasilyev,Evgeny Vasilyev,EvgenyVasilyev,,2017-04-28T18:02:31.467Z,,False,,False,False,False,False,False,False,False,[],[],[],[],11,rossmann-store-sales
,,,,,0,yashnaik12/rossmann-store-sales-analysis,Rossmann Store Sales Analysis,Yash Naik,,2019-11-05T15:05:23.317Z,,False,,False,False,False,False,False,False,False,[],[],[],[],10,rossmann-store-sales
,,,,,0,blackbear2017/rossman-data-master,Rossman_data_master,Roman Degtyarev,,2017-06-24T09:14:49.127Z,,False,,False,False,False,False,False,False,False,[],[],[],[],10,rossmann-store-sales
,,,,,0,budukalex/notebookda85513b95,Notebookda85513b95,Alex Budyuk,,2017-04-27T18:44:52.437Z,,False,,False,False,False,False,False,False,False,[],[],[],[],10,rossmann-store-sales
,,,,,0,dmitry103/notebook50b1ee36b5,Notebook50b1ee36b5,dmitry103,,2017-04-28T17:52:45.17Z,,False,,False,False,False,False,False,False,False,[],[],[],[],10,rossmann-store-sales
,,,,,0,temkahap/rossman-mini-rfr-final,Rossman Mini RFR final,temkahap ,,2017-04-26T15:52:06.967Z,,False,,False,False,False,False,False,False,False,[],[],[],[],10,rossmann-store-sales
,,,,,0,sudharsan1297/rossmann-store-sales-final,Rossmann store sales final,Sudharsan Suresh,,2019-11-06T10:30:22.39Z,,False,,False,False,False,False,False,False,False,[],[],[],[],9,rossmann-store-sales
,,,,,0,juhi1994/rossmann-store-sales-case-study,Rossmann Store Sales- Case Study,Juhi Badiyani,,2019-11-10T06:38:20.493Z,,False,,False,False,False,False,False,False,False,[],[],[],[],9,rossmann-store-sales
,,,,,0,apoorvaappz/rossmann-store-sales,Rossmann Store Sales ,Apoorva Mahalingappa,,2019-11-21T08:57:27.217Z,,False,,False,False,False,False,False,False,False,[],[],[],[],9,rossmann-store-sales
,,,,,0,asimandia/technospherebaseline,TechnoSphereBaseline,Pizzaboi,,2019-08-30T11:11:45.867Z,,False,,False,False,False,False,False,False,False,[],[],[],[],9,rossmann-store-sales
,,,,,0,zigawick/sphere-belozerov-hw,sphere_belozerov_hw,Mikhail,,2017-04-27T16:52:21.88Z,,False,,False,False,False,False,False,False,False,[],[],[],[],9,rossmann-store-sales
,,,,,0,virusme/rossmann-store-insights,Rossmann Store - Insights,Virus,,2016-08-09T00:50:16.39Z,,False,,False,False,False,False,False,False,False,[],[],[],[],9,rossmann-store-sales
,,,,,0,amithanayak/predict-rossmann-sales,predict Rossmann Sales,Amitha Nayak,,2021-01-06T14:26:56.4Z,,False,,False,False,False,False,False,False,False,[],[],[],[],8,rossmann-store-sales
,,,,,0,vikasbhadoria/time-series-forecasting-using-facebook-prophet,Time Series Forecasting using Facebook Prophet.,Vikas Bhadoria,,2020-06-21T18:55:01.477Z,,False,,False,False,False,False,False,False,False,[],[],[],[],8,rossmann-store-sales
,,,,,0,amulyamanne/rossmann-store-sales-case-study,Rossmann Store Sales - case study,Amulya,,2019-11-06T06:26:35.437Z,,False,,False,False,False,False,False,False,False,[],[],[],[],8,rossmann-store-sales
,,,,,0,kunwarakash/rossmann-store-sales-forecast-ml-model-by-xgboost,Rossmann Store Sales Forecast ML Model by XGBoost,Akash Kunwar,,2021-09-08T03:20:14.57Z,,False,,False,False,False,False,False,False,False,[],[],[],[],7,rossmann-store-sales
,,,,,0,adakibet/eda-rossmanstores,EDA-RossmanStores,Ada Kibet,,2021-06-23T03:04:31.783Z,,False,,False,False,False,False,False,False,False,[],[],[],[],7,rossmann-store-sales
,,,,,0,sharmistha96/rossmann-store-sales-analysis,Rossmann Store Sales Analysis,Sharmistha Ghosh,,2019-11-22T03:18:36.063Z,,False,,False,False,False,False,False,False,False,[],[],[],[],7,rossmann-store-sales
,,,,,0,aahaan007/store-sales,Store_Sales,Ameer Khan,,2019-11-06T06:34:16.277Z,,False,,False,False,False,False,False,False,False,[],[],[],[],7,rossmann-store-sales
,,,,,0,moussaadamouidrissa/suicide-squad,Suicide_Squad,Moussa Adamou Idrissa,,2022-03-10T18:46:10.807Z,,False,,False,False,False,False,False,False,False,[],[],[],[],6,rossmann-store-sales
,,,,,0,arcticai/rossmann-sales-analysis-with-facebook-prophet,Rossmann Sales Analysis with Facebook Prophet,Javier Martínez,,2022-01-14T19:16:06.693Z,,False,,False,False,False,False,False,False,False,[],[],[],[],6,rossmann-store-sales
,,,,,0,rsesha/rossmann-store-deep-autoviml,Rossmann_Store_Deep_AutoViML_,RSESHA,,2021-08-14T15:57:45.79Z,,False,,False,False,False,False,False,False,False,[],[],[],[],6,rossmann-store-sales
,,,,,0,simongrest/rossman-with-causal-impact,Rossman with Causal Impact,Simon Grest,,2020-10-07T11:14:39.547Z,,False,,False,False,False,False,False,False,False,[],[],[],[],6,rossmann-store-sales
,,,,,0,tarunkoutharapu/rossmann-store-analysis,Rossmann Store Analysis,Tarun K,,2019-11-06T10:46:13.797Z,,False,,False,False,False,False,False,False,False,[],[],[],[],6,rossmann-store-sales
,,,,,0,puchkinda/danilapuchkin-technosphere,DanilaPuchkin[technosphere],DanilaPuchkin[technosphere],,2017-04-27T21:59:05.957Z,,False,,False,False,False,False,False,False,False,[],[],[],[],6,rossmann-store-sales
,,,,,0,sramaj/rossmann-stores-clustering-and-forecast,Rossmann Stores Clustering and Forecast,Sokol Ramaj,,2017-01-05T08:33:31.157Z,,False,,False,False,False,False,False,False,False,[],[],[],[],6,rossmann-store-sales
,,,,,0,tushartilwankar/sklearn-rf,Sklearn RF,Tushar Tilwankar,,2015-10-05T06:40:54.087Z,,False,,False,False,False,False,False,False,False,[],[],[],[],6,rossmann-store-sales
,,,,,0,shivam017arora/rossmann-sales-prediction-top-1-solution,Rossmann Sales Prediction (Top 1% Solution),Shivam Arora,,2021-06-28T16:12:43.253Z,,False,,False,False,False,False,False,False,False,[],[],[],[],5,rossmann-store-sales
,,,,,0,arunpurakkatt/predicting-sales-time-series-analysis-forecasting,Predicting Sales:Time Series Analysis Forecasting,Arun Purakkatt,,2021-06-04T08:02:45.96Z,,False,,False,False,False,False,False,False,False,[],[],[],[],5,rossmann-store-sales
,,,,,0,amithanayak/cleaning-feature-engg-eda-rossmann-sales,cleaning + feature engg + EDA Rossmann Sales,Amitha Nayak,,2021-01-06T14:20:34.437Z,,False,,False,False,False,False,False,False,False,[],[],[],[],5,rossmann-store-sales
,,,,,0,amitmisra2000/how-to-increase-roseman-sales,How to Increase Roseman Sales,Amit Misra,,2020-11-04T07:44:36.447Z,,False,,False,False,False,False,False,False,False,[],[],[],[],5,rossmann-store-sales
,,,,,0,ranwasakshi/rossman-sales,Rossman-sales,Sakshi Ranwa,,2019-11-23T17:51:44.947Z,,False,,False,False,False,False,False,False,False,[],[],[],[],5,rossmann-store-sales
,,,,,0,omgrodas/rossmann-deep-learning-with-fast-ai-v1,Rossmann deep learning with fast.ai v1,Ole Morten Grodås,,2019-01-18T06:31:59.327Z,,False,,False,False,False,False,False,False,False,[],[],[],[],5,rossmann-store-sales
