languageNullable,kernelTypeNullable,isPrivateNullable,enableGpuNullable,enableInternetNullable,id,ref,title,author,slug,lastRunTime,language,hasLanguage,kernelType,hasKernelType,isPrivate,hasIsPrivate,enableGpu,hasEnableGpu,enableInternet,hasEnableInternet,categoryIds,datasetDataSources,kernelDataSources,competitionDataSources,totalVotes,competitionId
,,,,,0,chewzy/santa-finances-a-closer-look-at-the-costs,Santa Finances - A Closer Look at the Costs,ChewZY,,2019-11-28T03:17:01.34Z,,False,,False,False,False,False,False,False,False,[],[],[],[],239,santa-workshop-tour-2019
,,,,,0,inversion/santa-s-2019-starter-notebook,Santa's 2019 Starter Notebook,inversion,,2019-11-26T16:17:47.417Z,,False,,False,False,False,False,False,False,False,[],[],[],[],184,santa-workshop-tour-2019
,,,,,0,golubev/c-stochastic-product-search-65ns,C++ Stochastic Product Search (65ns),Vlad Golubev,,2020-11-20T11:37:27.167Z,,False,,False,False,False,False,False,False,False,[],[],[],[],149,santa-workshop-tour-2019
,,,,,0,mpwolke/competitions-are-rock-n-roll,Competitions are Rock'n' Roll,Marília Prata,,2019-12-13T21:45:12.833Z,,False,,False,False,False,False,False,False,False,[],[],[],[],143,santa-workshop-tour-2019
,,,,,0,vipito/santa-ip,Santa IP,Pepan,,2019-12-10T17:49:16.95Z,,False,,False,False,False,False,False,False,False,[],[],[],[],124,santa-workshop-tour-2019
,,,,,0,ghostskipper/visualising-results,Visualising Results,GhostSkipper,,2019-12-01T23:55:22.383Z,,False,,False,False,False,False,False,False,False,[],[],[],[],93,santa-workshop-tour-2019
,,,,,0,golubev/mip-optimization-preference-cost,MIP: Optimization preference cost ,Vlad Golubev,,2020-01-02T06:09:21.04Z,,False,,False,False,False,False,False,False,False,[],[],[],[],89,santa-workshop-tour-2019
,,,,,0,jazivxt/using-a-baseline,Using a baseline,Daniel Preciado,,2019-12-15T04:49:28.353Z,,False,,False,False,False,False,False,False,False,[],[],[],[],89,santa-workshop-tour-2019
,,,,,0,golubev/optimization-preference-cost-mincostflow,Optimization preference cost (MinCostFlow),Vlad Golubev,,2020-01-09T04:08:08.773Z,,False,,False,False,False,False,False,False,False,[],[],[],[],86,santa-workshop-tour-2019
,,,,,0,isaienkov/genetic-algorithm-basics,Genetic Algorithm Basics,Kostiantyn Isaienkov,,2019-12-01T13:45:37.087Z,,False,,False,False,False,False,False,False,False,[],[],[],[],84,santa-workshop-tour-2019
,,,,,0,chudak/another-pytorch-implementation,another pytorch implementation,Nikolai  Popov,,2019-12-27T16:30:17.537Z,,False,,False,False,False,False,False,False,False,[],[],[],[],80,santa-workshop-tour-2019
,,,,,0,xhlulu/santa-s-2019-faster-cost-function-24-s,Santa's 2019: Faster Cost Function (24µs),xhlulu,,2019-12-22T23:06:10.12Z,,False,,False,False,False,False,False,False,False,[],[],[],[],76,santa-workshop-tour-2019
,,,,,0,xhlulu/santa-s-2019-stochastic-product-search,Santa's 2019: Stochastic Product Search,xhlulu,,2019-12-10T08:22:52.163Z,,False,,False,False,False,False,False,False,False,[],[],[],[],68,santa-workshop-tour-2019
,,,,,0,golubev/manual-to-improve-submissions,Manual to improve submissions,Vlad Golubev,,2019-12-26T15:58:19.237Z,,False,,False,False,False,False,False,False,False,[],[],[],[],57,santa-workshop-tour-2019
,,,,,0,nickel/santa-s-2019-fast-pythonic-cost-23-s,Santa's 2019: Fast Pythonic Cost (23 µs),Rafael Crescenzi,,2019-12-02T15:24:23.23Z,,False,,False,False,False,False,False,False,False,[],[],[],[],52,santa-workshop-tour-2019
,,,,,0,sekrier/fast-scoring-using-c-42-usec,fast scoring using C (42 usec),TeraFlops,,2019-11-30T08:44:41.607Z,,False,,False,False,False,False,False,False,False,[],[],[],[],42,santa-workshop-tour-2019
,,,,,0,kustin/leaderboard-and-high-scoring-submission-sharing,Leaderboard and high-scoring submission sharing,Katerina U,,2020-01-05T08:38:37.02Z,,False,,False,False,False,False,False,False,False,[],[],[],[],41,santa-workshop-tour-2019
,,,,,0,jesperdramsch/intro-to-santa-s-2019-viz-costs-22-s-and-search,"Intro to Santa's 2019: Viz, Costs[22μs] and Search",Jesper Sören Dramsch,,2019-12-04T01:00:21.8Z,,False,,False,False,False,False,False,False,False,[],[],[],[],39,santa-workshop-tour-2019
,,,,,0,ilu000/greedy-dual-and-tripple-shuffle-with-fast-scoring,Greedy dual and tripple shuffle with fast scoring,Ilu,,2019-12-01T17:22:23.953Z,,False,,False,False,False,False,False,False,False,[],[],[],[],39,santa-workshop-tour-2019
,,,,,0,capiru/santa-s-workshop-eda-sorting-visualization,Santa's Workshop EDA + Sorting Visualization,Gabriel Prado,,2019-12-17T13:14:35.77Z,,False,,False,False,False,False,False,False,False,[],[],[],[],37,santa-workshop-tour-2019
,,,,,0,pulkitmehtawork1985/fast-jonker-volgenant-algorithm,Fast Jonker-Volgenant algorithm ,Pulkit Mehta,,2019-11-30T12:08:13.493Z,,False,,False,False,False,False,False,False,False,[],[],[],[],36,santa-workshop-tour-2019
,,,,,0,golubev/benchmark-mip-solvers-draft,Benchmark MIP solvers(Draft),Vlad Golubev,,2020-01-02T21:37:11.22Z,,False,,False,False,False,False,False,False,False,[],[],[],[],33,santa-workshop-tour-2019
,,,,,0,hengzheng/santa-s-seed-seeker,Santa's Seed Seeker,Heng Zheng,,2019-12-06T09:21:48.473Z,,False,,False,False,False,False,False,False,False,[],[],[],[],30,santa-workshop-tour-2019
,,,,,0,nagadomi/hill-climbing,Hill climbing,nagadomi,,2019-12-13T07:28:45.807Z,,False,,False,False,False,False,False,False,False,[],[],[],[],29,santa-workshop-tour-2019
,,,,,0,kathakaliseth/santa-s-assistant-learning-lp-from-others,Santa's Assistant - Learning LP from others,Kathakali Seth,,2019-12-17T02:46:57.66Z,,False,,False,False,False,False,False,False,False,[],[],[],[],27,santa-workshop-tour-2019
,,,,,0,slobo777/pytorch-giant-gradient-bandit,PyTorch Giant Gradient Bandit,Neil Slater,,2019-12-12T15:05:16.017Z,,False,,False,False,False,False,False,False,False,[],[],[],[],25,santa-workshop-tour-2019
,,,,,0,khahuras/the-elegant-prize,The Elegant Prize,Kha Vo,,2019-12-10T04:17:23.72Z,,False,,False,False,False,False,False,False,False,[],[],[],[],24,santa-workshop-tour-2019
,,,,,0,pulkitmehtawork1985/hungarian-algorithm-to-be-continued,Hungarian Algorithm -  To be continued,Pulkit Mehta,,2019-11-28T18:36:10.093Z,,False,,False,False,False,False,False,False,False,[],[],[],[],24,santa-workshop-tour-2019
,,,,,0,pavelvod/pytorch-starter-solution,pytorch starter solution,Pavel Vodolazov,,2019-12-01T21:16:56.807Z,,False,,False,False,False,False,False,False,False,[],[],[],[],23,santa-workshop-tour-2019
,,,,,0,wrrosa/optimal-solution-s,Optimal solution(s),Wojtek Rosa,,2020-01-19T18:14:48.61Z,,False,,False,False,False,False,False,False,False,[],[],[],[],21,santa-workshop-tour-2019
,,,,,0,marlesson/genetic-algorithm-with-deap,Genetic Algorithm with DEAP  ,Marlesson,,2019-12-04T15:02:31.073Z,,False,,False,False,False,False,False,False,False,[],[],[],[],21,santa-workshop-tour-2019
,,,,,0,zzy990106/better-initialization-127711,better initialization（127711）,zzy,,2019-11-28T16:36:27.437Z,,False,,False,False,False,False,False,False,False,[],[],[],[],21,santa-workshop-tour-2019
,,,,,0,dan3dewey/santa-s-simple-scheduler,Santa's Simple Scheduler,Daniel Dewey,,2019-12-08T01:10:03.37Z,,False,,False,False,False,False,False,False,False,[],[],[],[],21,santa-workshop-tour-2019
,,,,,0,pulkitmehtawork1985/fast-optimization-on-greedy-initialization,Fast Optimization On Greedy Initialization,Pulkit Mehta,,2019-11-27T19:10:46.9Z,,False,,False,False,False,False,False,False,False,[],[],[],[],21,santa-workshop-tour-2019
,,,,,0,deyury/starter-notebook-greedy-initialization,Starter Notebook + Greedy initialization,Yury  Dzerin,,2019-11-27T22:20:29.857Z,,False,,False,False,False,False,False,False,False,[],[],[],[],21,santa-workshop-tour-2019
,,,,,0,khoongweihao/santa-requires-more-time-to-find-bad-kids,Santa Requires More Time To Find Bad Kids,Wei Hao Khoong,,2020-01-02T06:15:55.347Z,,False,,False,False,False,False,False,False,False,[],[],[],[],19,santa-workshop-tour-2019
,,,,,0,nickel/250x-faster-cost-function-with-numba-jit,250x Faster Cost Function with Numba JIT,Rafael Crescenzi,,2019-11-29T03:09:11.857Z,,False,,False,False,False,False,False,False,False,[],[],[],[],19,santa-workshop-tour-2019
,,,,,0,raghaw/mip-optimization-preference-cost,MIP: Optimization preference cost ,Raghawendra Singh,,2020-01-08T10:33:26.177Z,,False,,False,False,False,False,False,False,False,[],[],[],[],17,santa-workshop-tour-2019
,,,,,0,gogo827jz/lucky-choice-search,Lucky Choice Search,Yirun Zhang,,2019-12-19T17:40:52.467Z,,False,,False,False,False,False,False,False,False,[],[],[],[],16,santa-workshop-tour-2019
,,,,,0,ichabuddaeta/how-to-be-in-last-place-and-still-be-happy,"How to be in last place, and still be happy!",Michael Vine,,2019-12-01T18:42:37.257Z,,False,,False,False,False,False,False,False,False,[],[],[],[],16,santa-workshop-tour-2019
,,,,,0,dmintry/c-stochastic-product-search-in-few-threads,"C++ Stochastic Product Search, in few threads",Manualmsdos,,2020-01-16T07:21:03.23Z,,False,,False,False,False,False,False,False,False,[],[],[],[],14,santa-workshop-tour-2019
,,,,,0,mihaild/lower-bound-on-preference-cost,Lower bound on preference cost,Mikhail Dektyarev,,2019-12-01T21:17:01.35Z,,False,,False,False,False,False,False,False,False,[],[],[],[],14,santa-workshop-tour-2019
,,,,,0,subinium/all-about-data-santa-workshop-tour-2019,🎅All About Data : Santa Workshop Tour 2019,Subin An,,2019-11-27T14:44:08.237Z,,False,,False,False,False,False,False,False,False,[],[],[],[],14,santa-workshop-tour-2019
,,,,,0,drcapa/santas-tour-bazaar-optimization,Santas_Tour_Bazaar_Optimization,DrCapa,,2019-12-29T20:59:47.317Z,,False,,False,False,False,False,False,False,False,[],[],[],[],13,santa-workshop-tour-2019
,,,,,0,trolukovich/penalty-function-analysis,Penalty function analysis,Alexander Antonov,,2019-12-05T19:02:22.657Z,,False,,False,False,False,False,False,False,False,[],[],[],[],13,santa-workshop-tour-2019
,,,,,0,loicge/santa-solution-viz-2d-and-3d,Santa Solution Viz (2D and 3D),LG,,2022-03-07T21:36:20.13Z,,False,,False,False,False,False,False,False,False,[],[],[],[],13,santa-workshop-tour-2019
,,,,,0,nagadomi/mipcl-example-only-preference,MIPCL Example (only preference),nagadomi,,2020-01-03T06:44:43.073Z,,False,,False,False,False,False,False,False,False,[],[],[],[],12,santa-workshop-tour-2019
,,,,,0,gogo827jz/sending-email-notification-with-attachment,Sending Email Notification with Attachment,Yirun Zhang,,2019-12-20T13:41:12.997Z,,False,,False,False,False,False,False,False,False,[],[],[],[],12,santa-workshop-tour-2019
,,,,,0,ilu000/santa2019-leaderboard-progression,Santa2019 Leaderboard Progression,Ilu,,2019-12-03T06:12:18.393Z,,False,,False,False,False,False,False,False,False,[],[],[],[],12,santa-workshop-tour-2019
,,,,,0,shrutimechlearn/all-about-workshop-explorers,All About Workshop Explorers!,Shruti_Iyyer,,2019-12-19T08:45:24.537Z,,False,,False,False,False,False,False,False,False,[],[],[],[],12,santa-workshop-tour-2019
,,,,,0,noelmat/eda-of-santa-s-workshop-tour-2019-plotly,EDA of Santa's Workshop Tour 2019 (plotly),Noel Mathew,,2019-11-27T11:20:34.917Z,,False,,False,False,False,False,False,False,False,[],[],[],[],12,santa-workshop-tour-2019
,,,,,0,wrrosa/mipcl-c-stochastic-or-tools-mip-69332-in-3-5h,"MIPCL,C++ Stochastic,OR-Tools MIP [69332 in 3.5h]",Wojtek Rosa,,2020-01-15T20:25:21.533Z,,False,,False,False,False,False,False,False,False,[],[],[],[],11,santa-workshop-tour-2019
,,,,,0,linshokaku/santa-s-2019-gpu-accelerated-cost-function-12-s,Santa's 2019 GPU Accelerated Cost Function(12µs),deoxy,,2019-12-06T08:45:55.237Z,,False,,False,False,False,False,False,False,False,[],[],[],[],11,santa-workshop-tour-2019
,,,,,0,kwabenantim/heuristic-ensemble,Heuristic Ensemble,Kwabena,,2020-01-07T11:21:34.517Z,,False,,False,False,False,False,False,False,False,[],[],[],[],10,santa-workshop-tour-2019
,,,,,0,wrrosa/mip-preference-semi-accounting-cost,MIP preference + semi-accounting cost,Wojtek Rosa,,2020-01-16T12:01:19.553Z,,False,,False,False,False,False,False,False,False,[],[],[],[],9,santa-workshop-tour-2019
,,,,,0,tohaspiridonov/lb-79222-in-673-sec-bonus,LB=79222 in 673 sec + bonus,Ant0n,,2019-12-05T07:16:00.177Z,,False,,False,False,False,False,False,False,False,[],[],[],[],9,santa-workshop-tour-2019
,,,,,0,robikscube/tracking-santas-little-helpers,Tracking Santas Little Helpers,Rob Mulla,,2020-01-07T18:26:56.793Z,,False,,False,False,False,False,False,False,False,[],[],[],[],8,santa-workshop-tour-2019
,,,,,0,paulorzp/cost-matrix-low-memory-and-fast,Cost Matrix - low memory and fast,Paulo Pinto,,2019-11-29T12:00:07.337Z,,False,,False,False,False,False,False,False,False,[],[],[],[],8,santa-workshop-tour-2019
,,,,,0,sunhwan/santa-s-2019-exploring-faster-cost-function,Santa's 2019: Exploring Faster Cost Function,Jo,,2019-11-29T18:24:11.433Z,,False,,False,False,False,False,False,False,False,[],[],[],[],8,santa-workshop-tour-2019
,,,,,0,pulkitmehtawork1985/ho-ho-ho,HO HO HO,Pulkit Mehta,,2019-11-27T09:28:14.573Z,,False,,False,False,False,False,False,False,False,[],[],[],[],8,santa-workshop-tour-2019
,,,,,0,lucamassaron/mixup-of-public-kernels-to-reach-69098-14,Mixup of public kernels to reach 69098.14,Luca Massaron,,2020-01-16T16:03:54.547Z,,False,,False,False,False,False,False,False,False,[],[],[],[],7,santa-workshop-tour-2019
,,,,,0,shrutimechlearn/santa-returns-workshop-explorers-wave-1-vs-wave-2,Santa Returns! Workshop Explorers Wave 1 vs Wave 2,Shruti_Iyyer,,2019-12-27T07:13:02.53Z,,False,,False,False,False,False,False,False,False,[],[],[],[],7,santa-workshop-tour-2019
,,,,,0,kopytok/santa-2019-the-local-search-journey,Santa 2019: The local search journey,kopytok,,2019-12-06T16:03:49.247Z,,False,,False,False,False,False,False,False,False,[],[],[],[],7,santa-workshop-tour-2019
,,,,,0,prateek0x/data-visualization-for-beginners,Data Visualization for beginners,Prateek Mishra,,2019-11-27T02:18:41.357Z,,False,,False,False,False,False,False,False,False,[],[],[],[],7,santa-workshop-tour-2019
,,,,,0,dmitryezhov/santa-miqp-model,Santa MIQP model,Dmitry Ezhov,,2020-01-07T14:10:27.133Z,,False,,False,False,False,False,False,False,False,[],[],[],[],6,santa-workshop-tour-2019
,,,,,0,sm14159/numpy-and-pandas-wizardry-to-define-penalty,Numpy and Pandas Wizardry to Define Penalty,SarahEade,,2019-12-18T01:10:56.963Z,,False,,False,False,False,False,False,False,False,[],[],[],[],6,santa-workshop-tour-2019
,,,,,0,orfork/minlp-model-for-santa-and-an-approximation,MINLP model for Santa and an approximation,kurag,,2019-12-13T13:21:51.667Z,,False,,False,False,False,False,False,False,False,[],[],[],[],6,santa-workshop-tour-2019
,,,,,0,weeezy/santa-mip-ls,santa_MIP_LS,weezy,,2019-12-16T00:57:50.06Z,,False,,False,False,False,False,False,False,False,[],[],[],[],6,santa-workshop-tour-2019
,,,,,0,lucamassaron/my-initial-solution-using-hungarian-algorithm,My initial solution using Hungarian algorithm,Luca Massaron,,2020-01-16T16:20:31.207Z,,False,,False,False,False,False,False,False,False,[],[],[],[],6,santa-workshop-tour-2019
,,,,,0,possiblemanjr/quick-simple-eda-with-pandas-profiling,Quick Simple EDA with Pandas Profiling,SeungWon Kim,,2019-11-27T01:57:33.037Z,,False,,False,False,False,False,False,False,False,[],[],[],[],6,santa-workshop-tour-2019
,,,,,0,seshurajup/eda-family-choice,EDA Family Choice,SeshuRajuP 🧘‍♂️,,2019-11-27T02:11:38.31Z,,False,,False,False,False,False,False,False,False,[],[],[],[],6,santa-workshop-tour-2019
,,,,,0,hs999518/santa-analysis-visualization-machine-learning,"Santa(Analysis,visualization,machine learning)",Harpreet singh,,2019-12-31T14:02:14.84Z,,False,,False,False,False,False,False,False,False,[],[],[],[],5,santa-workshop-tour-2019
,,,,,0,kaushal2896/random-assignment-benchmark,Random assignment benchmark,Kaushal Shah,,2019-11-27T17:30:15.243Z,,False,,False,False,False,False,False,False,False,[],[],[],[],5,santa-workshop-tour-2019
,,,,,0,rengar12/kernel10a705a44f-b1a92a-50221a,kernel10a705a44f b1a92a 50221a,rengar12,,2020-01-08T17:52:26.31Z,,False,,False,False,False,False,False,False,False,[],[],[],[],4,santa-workshop-tour-2019
,,,,,0,maxvanhaastrecht/santapulp,SantaPuLP,Max Haas,,2020-01-16T08:03:57.61Z,,False,,False,False,False,False,False,False,False,[],[],[],[],4,santa-workshop-tour-2019
,,,,,0,brobear1995/santa-workshop-a-beginner-s-approach,Santa Workshop - A Beginner's Approach,stuehieyr,,2019-12-15T09:36:54.017Z,,False,,False,False,False,False,False,False,False,[],[],[],[],4,santa-workshop-tour-2019
