languageNullable,kernelTypeNullable,isPrivateNullable,enableGpuNullable,enableInternetNullable,id,ref,title,author,slug,lastRunTime,language,hasLanguage,kernelType,hasKernelType,isPrivate,hasIsPrivate,enableGpu,hasEnableGpu,enableInternet,hasEnableInternet,categoryIds,datasetDataSources,kernelDataSources,competitionDataSources,totalVotes,competitionId
,,,,,0,yannisp/sf-crime-analysis-prediction,SF-Crime Analysis & Prediction,Yannis Pappas,,2019-01-11T10:49:02.503Z,,False,,False,False,False,False,False,False,False,[],[],[],[],81,sf-crime
,,,,,0,swbevan/a-history-of-crime-python,a history of crime,Simon,,2015-06-23T10:19:15.55Z,,False,,False,False,False,False,False,False,False,[],[],[],[],62,sf-crime
,,,,,0,dbennett/test-map,Crime density by location,DBenn,,2015-06-13T05:16:37.113Z,,False,,False,False,False,False,False,False,False,[],[],[],[],58,sf-crime
,,,,,0,nitinvijay23/predict-the-crime-category-knn-logistic,Predict the Crime Category - KNN & logistic,Nitin Vijay,,2016-12-17T19:30:13.97Z,,False,,False,False,False,False,False,False,False,[],[],[],[],39,sf-crime
,,,,,0,wendykan/don-t-know-what-i-want-to-do-yet,Exploratory graphs,Wendy Kan,,2015-06-01T01:52:24.313Z,,False,,False,False,False,False,False,False,False,[],[],[],[],30,sf-crime
,,,,,0,smerity/fighting-crime-with-keras,Fighting Crime with Keras,Smerity,,2015-06-10T20:22:20.29Z,,False,,False,False,False,False,False,False,False,[],[],[],[],25,sf-crime
,,,,,0,luventu/title,Predict crime is a multilabel task,LucaVenturini,,2016-05-20T09:26:00.913Z,,False,,False,False,False,False,False,False,False,[],[],[],[],21,sf-crime
,,,,,0,shinichioto/folium-and-other-visualization-models-etc,"Folium and Other Visualization. Models, etc.",Shinichi Oto,,2022-01-14T07:31:27.67Z,,False,,False,False,False,False,False,False,False,[],[],[],[],17,sf-crime
,,,,,0,lesibius/crime-scene-exploration-and-model-fit,Crime Scene Exploration and Model Fit,Clem Castellano,,2017-08-24T14:54:33.56Z,,False,,False,False,False,False,False,False,False,[],[],[],[],17,sf-crime
,,,,,0,sanghan/top-crimes-zones,Top Crimes Zones,Sang Han,,2015-11-24T10:01:01.88Z,,False,,False,False,False,False,False,False,False,[],[],[],[],15,sf-crime
