languageNullable,kernelTypeNullable,isPrivateNullable,enableGpuNullable,enableInternetNullable,id,ref,title,author,slug,lastRunTime,language,hasLanguage,kernelType,hasKernelType,isPrivate,hasIsPrivate,enableGpu,hasEnableGpu,enableInternet,hasEnableInternet,categoryIds,datasetDataSources,kernelDataSources,competitionDataSources,totalVotes,competitionId
,,,,,0,saitodevel01/gsdc2-baseline-submission,GSDC2 - baseline submission,Akio Saito,,2022-05-03T07:33:55.363Z,,False,,False,False,False,False,False,False,False,[],[],[],[],111,smartphone-decimeter-2022
,,,,,0,taroz1461/carrier-smoothing-robust-wls-kalman-smoother,Carrier Smoothing + Robust WLS + Kalman Smoother,Taro,,2022-06-14T13:40:15.57Z,,False,,False,False,False,False,False,False,False,[],[],[],[],82,smartphone-decimeter-2022
,,,,,0,robikscube/smartphone-competition-2022-twitch-stream,📱 Smartphone Competition 2022 [Twitch Stream],Rob Mulla,,2022-05-03T03:30:55.85Z,,False,,False,False,False,False,False,False,False,[],[],[],[],80,smartphone-decimeter-2022
,,,,,0,ravishah1/gsdc2-savgol-filter-outlier-removal-with-bo,GSDC2 - Savgol Filter + Outlier Removal with BO,Ravi Shah,,2022-05-07T03:05:10.87Z,,False,,False,False,False,False,False,False,False,[],[],[],[],56,smartphone-decimeter-2022
,,,,,0,timeverett/getting-started-with-rtklib,Getting started with RTKLIB,RTKLIBexplorer,,2022-05-17T14:40:07.697Z,,False,,False,False,False,False,False,False,False,[],[],[],[],49,smartphone-decimeter-2022
,,,,,0,mehrankazeminia/gsdc22-coordinate-with-nearestneighbors,GSDC22 - Coordinate with NearestNeighbors,Mehran Kazeminia,,2022-06-30T08:24:50.813Z,,False,,False,False,False,False,False,False,False,[],[],[],[],35,smartphone-decimeter-2022
,,,,,0,saurabhbagchi/carrier-smoothing-robust-wls-kalman-smootherv2,Carrier Smoothing + Robust WLS + Kalman Smootherv2,Old Monk,,2022-06-23T12:40:27.173Z,,False,,False,False,False,False,False,False,False,[],[],[],[],30,smartphone-decimeter-2022
,,,,,0,junkoda/deriving-baseline-wls-positions-in-progress,Deriving baseline WLS positions (in progress),🐢 Jun Koda,,2022-05-19T10:21:15.593Z,,False,,False,False,False,False,False,False,False,[],[],[],[],30,smartphone-decimeter-2022
,,,,,0,queyrusi/orientation-filter-stop-prediction-with-imu,🧭 Orientation Filter + Stop Prediction with IMU,queyrusi,,2022-06-24T14:54:08.287Z,,False,,False,False,False,False,False,False,False,[],[],[],[],26,smartphone-decimeter-2022
,,,,,0,dehokanta/visualize-public-and-private-trips,Visualize public and private trips,dehokanta,,2022-05-17T21:21:28.137Z,,False,,False,False,False,False,False,False,False,[],[],[],[],24,smartphone-decimeter-2022
,,,,,0,junkoda/wls-velocity-estimation-from-doppler-shift,WLS velocity estimation from Doppler shift,🐢 Jun Koda,,2022-05-16T23:52:39.647Z,,False,,False,False,False,False,False,False,False,[],[],[],[],24,smartphone-decimeter-2022
,,,,,0,dienhoa/where-is-my-phone-kalman-filter-optuna,Where is my phone? Kalman Filter + optuna,DHoa,,2022-05-12T09:29:39.527Z,,False,,False,False,False,False,False,False,False,[],[],[],[],24,smartphone-decimeter-2022
,,,,,0,carlmcbrideellis/animating-the-path-of-a-smartphone-gps-signal,Animating the path of a smartphone GPS signal,Carl McBride Ellis,,2022-05-03T11:31:22.59Z,,False,,False,False,False,False,False,False,False,[],[],[],[],16,smartphone-decimeter-2022
,,,,,0,timeverett/getting-started-with-rtklib-py,Getting started with rtklib-py,RTKLIBexplorer,,2022-05-24T16:39:12.96Z,,False,,False,False,False,False,False,False,False,[],[],[],[],15,smartphone-decimeter-2022
,,,,,0,tensorchoko/google-smartphone-2022-eda-en-jp,🟩Google Smartphone 2022 EDA (EN/JP),tensor choko,,2022-05-10T11:32:17.81Z,,False,,False,False,False,False,False,False,False,[],[],[],[],15,smartphone-decimeter-2022
,,,,,0,foolishboi/gsdc22-eda-mapping,GSDC22_EDA_Mapping,Aman Singh,,2022-05-04T11:03:27.84Z,,False,,False,False,False,False,False,False,False,[],[],[],[],15,smartphone-decimeter-2022
,,,,,0,mpwolke/i-lost-my-gps,I lost my GPS ,Marília Prata,,2022-05-02T23:20:24.957Z,,False,,False,False,False,False,False,False,False,[],[],[],[],15,smartphone-decimeter-2022
,,,,,0,jimitshah777/rnn-bi-lstm-using-keras-for-gsdc-22-starter,RNN(Bi-LSTM) using Keras for 📍GSDC'22 (Starter),Jimit Shah,,2022-05-14T18:54:19.993Z,,False,,False,False,False,False,False,False,False,[],[],[],[],14,smartphone-decimeter-2022
,,,,,0,shariful07/gsd-challenge-2022-prediction,GSD Challenge 2022(prediction),MD Shariful Islam,,2022-06-04T20:59:03.673Z,,False,,False,False,False,False,False,False,False,[],[],[],[],12,smartphone-decimeter-2022
,,,,,0,mehrankazeminia/fork-carrier-smoothing-robust-wls-k,FORK [Carrier Smoothing + Robust WLS + K...],Mehran Kazeminia,,2022-06-23T09:01:59.04Z,,False,,False,False,False,False,False,False,False,[],[],[],[],9,smartphone-decimeter-2022
,,,,,0,lunapandachan/google-smartphone-eda,Google Smartphone EDA 実況,Lunana,,2022-05-18T14:06:05.793Z,,False,,False,False,False,False,False,False,False,[],[],[],[],9,smartphone-decimeter-2022
,,,,,0,aleksandrmorozov123/google-smartphone-decimeter-challenge-2022,Google Smartphone Decimeter Challenge 2022,Aleksandr Morozov123,,2022-05-06T10:11:07.6Z,,False,,False,False,False,False,False,False,False,[],[],[],[],9,smartphone-decimeter-2022
,,,,,0,rsobtt/simple-lightgbm,Simple lightgbm,rsobt,,2022-05-02T19:52:06Z,,False,,False,False,False,False,False,False,False,[],[],[],[],8,smartphone-decimeter-2022
,,,,,0,columbia2131/gsdc2-phones-mean-but-test-isn-t-improved,GSDC2 - Phones Mean (but test isn't improved),colum2131,,2022-05-03T06:11:10.057Z,,False,,False,False,False,False,False,False,False,[],[],[],[],8,smartphone-decimeter-2022
,,,,,0,ollibolli/simple-exploration-adapted-from-last-year,Simple Exploration adapted from last year,oliver,,2022-05-06T10:26:20.097Z,,False,,False,False,False,False,False,False,False,[],[],[],[],7,smartphone-decimeter-2022
,,,,,0,carlmcbrideellis/smartphone-2022-a-look-at-the-ground-truth-maps,Smartphone 2022: A look at the ground truth maps,Carl McBride Ellis,,2022-05-02T21:33:41.783Z,,False,,False,False,False,False,False,False,False,[],[],[],[],6,smartphone-decimeter-2022
