languageNullable,kernelTypeNullable,isPrivateNullable,enableGpuNullable,enableInternetNullable,id,ref,title,author,slug,lastRunTime,language,hasLanguage,kernelType,hasKernelType,isPrivate,hasIsPrivate,enableGpu,hasEnableGpu,enableInternet,hasEnableInternet,categoryIds,datasetDataSources,kernelDataSources,competitionDataSources,totalVotes,competitionId
,,,,,0,devm2024/keras-model-for-beginners-0-210-on-lb-eda-r-d,Keras Model for Beginners (0.210 on LB)+EDA+R&D,SKS,,2017-11-14T06:58:14.253Z,,False,,False,False,False,False,False,False,False,[],[],[],[],447,statoil-iceberg-classifier-challenge
,,,,,0,muonneutrino/exploration-transforming-images-in-python,Exploration & Transforming Images in Python,MuonNeutrino,,2017-10-28T05:55:46.64Z,,False,,False,False,False,False,False,False,False,[],[],[],[],336,statoil-iceberg-classifier-challenge
,,,,,0,dongxu027/explore-stacking-lb-0-1463,Explore Stacking (LB 0.1463),DSEverything,,2017-11-30T02:02:45.99Z,,False,,False,False,False,False,False,False,False,[],[],[],[],180,statoil-iceberg-classifier-challenge
,,,,,0,devm2024/transfer-learning-with-vgg-16-cnn-aug-lb-0-1712,Transfer Learning with VGG-16 CNN+AUG LB 0.1712,SKS,,2017-11-21T04:33:39.343Z,,False,,False,False,False,False,False,False,False,[],[],[],[],129,statoil-iceberg-classifier-challenge
,,,,,0,knowledgegrappler/a-keras-prototype-0-21174-on-pl,A keras prototype (0.21174 on PL),noobhound,,2017-11-28T12:30:43.36Z,,False,,False,False,False,False,False,False,False,[],[],[],[],122,statoil-iceberg-classifier-challenge
,,,,,0,brassmonkey381/viewing-leak-and-machine-images,Viewing Leak and Machine Images,brassmonkey,,2018-01-18T01:37:42.1Z,,False,,False,False,False,False,False,False,False,[],[],[],[],113,statoil-iceberg-classifier-challenge
,,,,,0,cbryant/keras-cnn-statoil-iceberg-lb-0-1995-now-0-1516,Keras CNN - StatOil Iceberg LB 0.1995 (now 0.1516),TheGruffalo,,2017-12-08T22:51:39.24Z,,False,,False,False,False,False,False,False,False,[],[],[],[],98,statoil-iceberg-classifier-challenge
,,,,,0,stefanie04736/simple-keras-model-with-k-fold-cross-validation,Simple Keras Model with k-fold cross validation,Stefanie04736,,2018-01-18T17:14:28.247Z,,False,,False,False,False,False,False,False,False,[],[],[],[],83,statoil-iceberg-classifier-challenge
,,,,,0,submarineering/submarineering-even-better-public-score-until-now,Submarineering.EVEN BETTER PUBLIC SCORE until now.,Submarineering,,2018-01-07T18:40:13.067Z,,False,,False,False,False,False,False,False,False,[],[],[],[],78,statoil-iceberg-classifier-challenge
,,,,,0,jgroff/despeckling-synthetic-aperture-radar-sar-images,Despeckling Synthetic Aperture Radar (SAR) Images ,Jeff Groff,,2017-12-07T18:37:05.153Z,,False,,False,False,False,False,False,False,False,[],[],[],[],75,statoil-iceberg-classifier-challenge
,,,,,0,submarineering/submarineering-size-matters-0-75-lb,Submarineering. Size Matters( <0.75 LB),Submarineering,,2018-01-02T19:30:04.537Z,,False,,False,False,False,False,False,False,False,[],[],[],[],59,statoil-iceberg-classifier-challenge
