languageNullable,kernelTypeNullable,isPrivateNullable,enableGpuNullable,enableInternetNullable,id,ref,title,author,slug,lastRunTime,language,hasLanguage,kernelType,hasKernelType,isPrivate,hasIsPrivate,enableGpu,hasEnableGpu,enableInternet,hasEnableInternet,categoryIds,datasetDataSources,kernelDataSources,competitionDataSources,totalVotes,competitionId
,,,,,0,bextuychiev/how-to-work-w-million-row-datasets-like-a-pro,How to Work w. Million-row Datasets Like a Pro,bexgboost,,2021-09-08T11:03:39.203Z,,False,,False,False,False,False,False,False,False,[],[],[],[],145,tabular-playground-series-aug-2021
,,,,,0,bextuychiev/lgbm-optuna-hyperparameter-tuning-w-understanding,LGBM Optuna Hyperparameter Tuning w. Understanding,bexgboost,,2021-09-04T09:26:29.97Z,,False,,False,False,False,False,False,False,False,[],[],[],[],140,tabular-playground-series-aug-2021
,,,,,0,bextuychiev/model-explainability-with-shap-only-guide-u-need,Model Explainability with SHAP: Only Guide U Need,bexgboost,,2021-10-07T07:55:52.887Z,,False,,False,False,False,False,False,False,False,[],[],[],[],122,tabular-playground-series-aug-2021
,,,,,0,alexryzhkov/aug21-lightautoml-starter,Aug21 LightAutoML starter,Alexander Ryzhkov,,2021-08-07T15:03:41.853Z,,False,,False,False,False,False,False,False,False,[],[],[],[],114,tabular-playground-series-aug-2021
,,,,,0,subinium/tps-aug-simple-eda,[TPS-Aug] Simple EDA,Subin An,,2021-08-04T13:40:04.447Z,,False,,False,False,False,False,False,False,False,[],[],[],[],106,tabular-playground-series-aug-2021
,,,,,0,dwin183287/tps-august-2021-eda-base-model,TPS August 2021 EDA & Base Model,Sharlto Cope,,2021-08-12T09:14:15.167Z,,False,,False,False,False,False,False,False,False,[],[],[],[],101,tabular-playground-series-aug-2021
,,,,,0,alexryzhkov/lightautoml-classifier-regressor-mix,LightAutoML Classifier-Regressor Mix,Alexander Ryzhkov,,2021-08-19T12:41:25.857Z,,False,,False,False,False,False,False,False,False,[],[],[],[],94,tabular-playground-series-aug-2021
,,,,,0,pranjalverma08/tps-08-cb-lgbm-xgb-starter,🔥💥TPS-08: CB + LGBM + XGB Starter,Pranjal Verma,,2021-08-01T14:18:31.077Z,,False,,False,False,False,False,False,False,False,[],[],[],[],92,tabular-playground-series-aug-2021
,,,,,0,somayyehgholami/1-tps-aug-21-xgboost-catboost,[1] TPS Aug 21 - XGBoost & CatBoost,Somayyeh Gholami,,2021-08-11T07:31:49.997Z,,False,,False,False,False,False,False,False,False,[],[],[],[],85,tabular-playground-series-aug-2021
,,,,,0,dmitryuarov/falling-below-7-87-voting-cb-xgb-lgbm,Falling below 7.87 | Voting (CB/XGB/LGBM) 🔥,Dmitry Uarov,,2021-08-07T11:33:05.687Z,,False,,False,False,False,False,False,False,False,[],[],[],[],75,tabular-playground-series-aug-2021
,,,,,0,bextuychiev/how-to-beat-the-heck-out-of-xgboost-with-lightgbm,How to beat the heck out of XGBoost with LightGBM,bexgboost,,2021-09-17T23:32:29.483Z,,False,,False,False,False,False,False,False,False,[],[],[],[],74,tabular-playground-series-aug-2021
,,,,,0,michael127001/xgbregressor-with-optuna-tuning,📈 XGBRegressor with Optuna Tuning,borzoi 👑,,2021-08-14T04:30:08.927Z,,False,,False,False,False,False,False,False,False,[],[],[],[],69,tabular-playground-series-aug-2021
,,,,,0,maximkazantsev/tps-08-21-xgboost,TPS-08-21 XGBoost,Maxim Kazantsev,,2021-08-27T17:09:44.903Z,,False,,False,False,False,False,False,False,False,[],[],[],[],67,tabular-playground-series-aug-2021
,,,,,0,bextuychiev/write-powerful-code-w-custom-sklearn-transformers,Write Powerful Code w. Custom Sklearn Transformers,bexgboost,,2021-09-17T23:32:42.707Z,,False,,False,False,False,False,False,False,False,[],[],[],[],63,tabular-playground-series-aug-2021
,,,,,0,bextuychiev/20-burning-xgboost-faqs-answered-to-use-like-a-pro,20 Burning XGBoost FAQs Answered to Use Like a Pro,bexgboost,,2021-09-17T23:31:10.047Z,,False,,False,False,False,False,False,False,False,[],[],[],[],63,tabular-playground-series-aug-2021
,,,,,0,hiro5299834/tps-aug-2021-lgbm-xgb-catboost,TPS Aug 2021 LGBM/XGB/CatBoost,BIZEN,,2021-08-26T01:39:53.847Z,,False,,False,False,False,False,False,False,False,[],[],[],[],57,tabular-playground-series-aug-2021
,,,,,0,pourchot/in-python-tabular-denoising-residual-network,In python : tabular denoising + residual network,Laurent Pourchot,,2021-08-16T18:05:40.36Z,,False,,False,False,False,False,False,False,False,[],[],[],[],57,tabular-playground-series-aug-2021
,,,,,0,yus002/tps-lgbm-model,TPS LGBM model,Yue Sun,,2021-08-23T21:08:33.357Z,,False,,False,False,False,False,False,False,False,[],[],[],[],57,tabular-playground-series-aug-2021
,,,,,0,maximkazantsev/tps-08-21-catboost,TPS-08-21 CatBoost,Maxim Kazantsev,,2021-08-03T06:19:25.667Z,,False,,False,False,False,False,False,False,False,[],[],[],[],56,tabular-playground-series-aug-2021
,,,,,0,somayyehgholami/3-tps-aug-21-results-rmse-evaluation, [3] TPS Aug 21 - Results & RMSE Evaluation ,Somayyeh Gholami,,2021-08-23T05:49:21.087Z,,False,,False,False,False,False,False,False,False,[],[],[],[],48,tabular-playground-series-aug-2021
,,,,,0,ranjeetshrivastav/tps-aug-21-optuna-lgb-xgb-cb,[TPS AUG 21] Optuna(LGB+XGB+CB),Ranjeet shrivastav,,2021-08-26T09:16:04.587Z,,False,,False,False,False,False,False,False,False,[],[],[],[],42,tabular-playground-series-aug-2021
,,,,,0,aayush26/tps-aug-2021-simple-weighted-ensemble,[TPS Aug 2021] Simple weighted ensemble,Aayush Kumar Singha,,2021-08-31T18:51:12.427Z,,False,,False,False,False,False,False,False,False,[],[],[],[],40,tabular-playground-series-aug-2021
,,,,,0,pavfedotov/blending-tool-tps-aug-2021,Blending Tool [TPS Aug 2021],Dspyt,,2021-08-31T18:49:31.087Z,,False,,False,False,False,False,False,False,False,[],[],[],[],38,tabular-playground-series-aug-2021
,,,,,0,tensorchoko/tabular-aug-2021-lightgbm,⬛Tabular Aug 2021#LightGBM,tensor choko,,2021-08-14T10:53:33.327Z,,False,,False,False,False,False,False,False,False,[],[],[],[],36,tabular-playground-series-aug-2021
,,,,,0,boneacrabonjac/automl,AutoML,Kosta R,,2021-08-03T13:03:51.307Z,,False,,False,False,False,False,False,False,False,[],[],[],[],35,tabular-playground-series-aug-2021
,,,,,0,bextuychiev/relevant-eda-xgboost,Relevant EDA + XGBoost,bexgboost,,2021-08-04T05:14:05.707Z,,False,,False,False,False,False,False,False,False,[],[],[],[],35,tabular-playground-series-aug-2021
,,,,,0,josetorrado/rookie-smarts-a-beginner-s-perspective,Rookie Smarts - A beginner's perspective,Jose Torrado,,2021-08-11T20:27:04.737Z,,False,,False,False,False,False,False,False,False,[],[],[],[],33,tabular-playground-series-aug-2021
,,,,,0,pourchot/only-one-hidden-layer-for-neural-network,Only one hidden layer for Neural Network,Laurent Pourchot,,2021-08-03T12:01:34.44Z,,False,,False,False,False,False,False,False,False,[],[],[],[],33,tabular-playground-series-aug-2021
,,,,,0,jeongbinpark/tps-aug-h2o-automl-for-beginner,[TPS-Aug] H2O AutoML for beginner,JeongBin Park,,2021-08-01T16:00:35.97Z,,False,,False,False,False,False,False,False,False,[],[],[],[],33,tabular-playground-series-aug-2021
,,,,,0,stpeteishii/tps0821-xgbclassifier-predict-proba,TPS0821 XGBClassifier Predict_proba,stpete_ishii,,2021-08-08T01:37:15.483Z,,False,,False,False,False,False,False,False,False,[],[],[],[],32,tabular-playground-series-aug-2021
,,,,,0,godzill22/tps-08-autoencoder-ann-cnn-with-keras-api,TPS_08_Autoencoder_ANN_CNN_with_Keras_API👨‍💻,Mariusz Bronowicki,,2021-08-10T10:33:09.943Z,,False,,False,False,False,False,False,False,False,[],[],[],[],32,tabular-playground-series-aug-2021
,,,,,0,mhslearner/can-tabnet-do-better-eda-submission,Can TabNet Do Better (EDA + Submission),ANIBAH,,2021-08-27T15:13:58.033Z,,False,,False,False,False,False,False,False,False,[],[],[],[],32,tabular-playground-series-aug-2021
,,,,,0,devsubhash/tps-aug-21-ensemble-stackingcvregressor,TPS Aug 21 | Ensemble | StackingCVRegressor,Devashree Madhugiri,,2022-02-19T11:58:29.59Z,,False,,False,False,False,False,False,False,False,[],[],[],[],32,tabular-playground-series-aug-2021
,,,,,0,ryanbarretto/two-stage-stacking-ensemble,Two Stage Stacking Ensemble,Ryan Barretto,,2021-08-06T02:29:31.3Z,,False,,False,False,False,False,False,False,False,[],[],[],[],29,tabular-playground-series-aug-2021
,,,,,0,songwonmin/for-korean-tabular-aug-2021,[For Korean] tabular_aug_2021(한국어),songwonmin,,2021-08-06T02:51:19.883Z,,False,,False,False,False,False,False,False,False,[],[],[],[],27,tabular-playground-series-aug-2021
,,,,,0,yus002/blending-tool-tps-aug-2021,Blending Tool [TPS Aug 2021],Yue Sun,,2021-08-31T01:48:59.143Z,,False,,False,False,False,False,False,False,False,[],[],[],[],26,tabular-playground-series-aug-2021
,,,,,0,ashfakyeafi/xgboost-catboost,XGBoost & CatBoost,Ashfak Yeafi,,2021-10-11T07:35:08.13Z,,False,,False,False,False,False,False,False,False,[],[],[],[],26,tabular-playground-series-aug-2021
,,,,,0,riyajm/gpu-based-xgb-hyperopt-optimization,GPU Based XGB Hyperopt optimization,Muhammad Riyaj Attari,,2021-08-06T17:37:19.073Z,,False,,False,False,False,False,False,False,False,[],[],[],[],26,tabular-playground-series-aug-2021
,,,,,0,akmalmir/baseline-with-automl-pycaret-rmse-score-7-89114,Baseline with AutoML Pycaret RMSE Score 7.89114,Akmal Azzam o'g'li,,2021-12-24T06:21:56.203Z,,False,,False,False,False,False,False,False,False,[],[],[],[],26,tabular-playground-series-aug-2021
,,,,,0,harshjhunjhunwala/starter-guide-to-trees-boosting-and-bagging,"✨ Starter Guide to Trees, Boosting and Bagging ✨",Harsh Jhunjhunwala,,2021-11-08T17:06:52.66Z,,False,,False,False,False,False,False,False,False,[],[],[],[],25,tabular-playground-series-aug-2021
,,,,,0,takahiroyoshida012/smart-ensembling-tps-aug-2021-7-84986,Smart Ensembling [TPS Aug 2021] 7.84986,Takahiro Yoshida,,2021-08-31T09:33:47.557Z,,False,,False,False,False,False,False,False,False,[],[],[],[],25,tabular-playground-series-aug-2021
,,,,,0,somayyehgholami/2-tps8-smart-ensembling,[2] TPS8 - Smart Ensembling,Somayyeh Gholami,,2021-08-24T16:36:30.233Z,,False,,False,False,False,False,False,False,False,[],[],[],[],25,tabular-playground-series-aug-2021
,,,,,0,yogidsba/tps-aug-eda-basemodel,TPS_AUG_EDA_BaseModel,Yogita Darade,,2021-08-05T20:20:47.55Z,,False,,False,False,False,False,False,False,False,[],[],[],[],25,tabular-playground-series-aug-2021
,,,,,0,yus002/tps-nn-model,TPS nn model,Yue Sun,,2021-08-03T10:01:09.88Z,,False,,False,False,False,False,False,False,False,[],[],[],[],25,tabular-playground-series-aug-2021
,,,,,0,somayyehgholami/4-tps-aug-21-guide-point-snap-to-curve,[4] TPS Aug 21 - Guide Point [Snap to Curve],Somayyeh Gholami,,2021-08-24T16:41:04.99Z,,False,,False,False,False,False,False,False,False,[],[],[],[],24,tabular-playground-series-aug-2021
,,,,,0,tunguz/tps-08-2021-simple-linear-baseline,TPS 08 2021 - Simple Linear Baseline,Bojan Tunguz,,2021-08-16T14:33:38.07Z,,False,,False,False,False,False,False,False,False,[],[],[],[],24,tabular-playground-series-aug-2021
,,,,,0,carlmcbrideellis/histogram-gradient-boost-starter-script,Histogram Gradient Boost starter script,Carl McBride Ellis,,2021-08-01T05:49:07.937Z,,False,,False,False,False,False,False,False,False,[],[],[],[],24,tabular-playground-series-aug-2021
,,,,,0,pavfedotov/copy-of-tps8-smart-ensembling,copy of TPS8 - Smart Ensembling,Dspyt,,2021-08-23T10:06:58.04Z,,False,,False,False,False,False,False,False,False,[],[],[],[],23,tabular-playground-series-aug-2021
,,,,,0,abhijeet29/1st-competition-xgboost-optuna,1st Competition-XGBOOST(Optuna),Abhijeet,,2021-08-15T10:31:43.637Z,,False,,False,False,False,False,False,False,False,[],[],[],[],23,tabular-playground-series-aug-2021
,,,,,0,songwonmin/for-beginner-tabular-aug,[For Beginner] Tabular_Aug,songwonmin,,2021-08-08T02:48:31.497Z,,False,,False,False,False,False,False,False,False,[],[],[],[],23,tabular-playground-series-aug-2021
,,,,,0,dmitryuarov/tps-aug-2021-eda-cb-vs-xgb-vs-lgbm,TPS Aug 2021 | EDA | CB vs XGB vs LGBM,Dmitry Uarov,,2021-08-02T16:29:04.49Z,,False,,False,False,False,False,False,False,False,[],[],[],[],23,tabular-playground-series-aug-2021
,,,,,0,amritpal333/xgboost-baseline,XGboost Baseline,Dr. Amritpal Singh,,2021-08-07T11:45:50.567Z,,False,,False,False,False,False,False,False,False,[],[],[],[],23,tabular-playground-series-aug-2021
,,,,,0,alexeykolobyanin/tps-aug-nusvr-with-intel-extension-for-sklearn,[TPS-Aug]NuSVR with Intel Extension for Sklearn,Alexey Kolobyanin,,2021-08-18T14:20:19.253Z,,False,,False,False,False,False,False,False,False,[],[],[],[],22,tabular-playground-series-aug-2021
,,,,,0,aryakrishnanar/tabular-playground-series-aug-2021,Tabular Playground Series - Aug 2021,Arya krishnan A R,,2021-11-05T13:46:21.507Z,,False,,False,False,False,False,False,False,False,[],[],[],[],21,tabular-playground-series-aug-2021
,,,,,0,bextuychiev/new-insights-w-umap-optuna-shap-eli5,"New insights w. UMAP, Optuna + SHAP + ELI5",bexgboost,,2021-08-07T13:46:53.817Z,,False,,False,False,False,False,False,False,False,[],[],[],[],21,tabular-playground-series-aug-2021
,,,,,0,andy6804tw/tps-08-21-catboost-optuna,TPS-08-21-CatBoost+Optuna,Tsai Yi Lin,,2021-08-05T03:29:22.203Z,,False,,False,False,False,False,False,False,False,[],[],[],[],21,tabular-playground-series-aug-2021
,,,,,0,shivansh002/a-gentle-guide-on-xgboost-hyperparameters,A  Gentle Guide on XGBoost hyperparameters ,Yotoro,,2021-08-11T11:38:50.583Z,,False,,False,False,False,False,False,False,False,[],[],[],[],20,tabular-playground-series-aug-2021
,,,,,0,shivansh002/in-a-nutshell-xgboost-refresher,In a nutshell ✨ XGBOOST 🐱‍🏍 ReFresher ,Yotoro,,2021-08-10T09:26:49.19Z,,False,,False,False,False,False,False,False,False,[],[],[],[],20,tabular-playground-series-aug-2021
,,,,,0,abhisheksisodiya/tps-aug-21-xgboost-hyperparameter-rfe,TPS AUG 21 | XGBoost + Hyperparameter + RFE,Abhishek Sisodiya,,2021-08-15T15:24:49.477Z,,False,,False,False,False,False,False,False,False,[],[],[],[],20,tabular-playground-series-aug-2021
,,,,,0,junhyeok99/tps-pycaret-simple-baseline,TPS-Pycaret Simple Baseline,Jun Hyeok,,2021-08-05T05:31:13.163Z,,False,,False,False,False,False,False,False,False,[],[],[],[],20,tabular-playground-series-aug-2021
,,,,,0,l0glikelihood/nn-starter-keras,NN Starter [keras],kss,,2021-08-09T11:45:12.173Z,,False,,False,False,False,False,False,False,False,[],[],[],[],20,tabular-playground-series-aug-2021
