languageNullable,kernelTypeNullable,isPrivateNullable,enableGpuNullable,enableInternetNullable,id,ref,title,author,slug,lastRunTime,language,hasLanguage,kernelType,hasKernelType,isPrivate,hasIsPrivate,enableGpu,hasEnableGpu,enableInternet,hasEnableInternet,categoryIds,datasetDataSources,kernelDataSources,competitionDataSources,totalVotes,competitionId
,,,,,0,anokas/finding-boatids,Finding BoatIDs,anokas,,2016-11-15T08:05:05.993Z,,False,,False,False,False,False,False,False,False,[],[],[],[],208,the-nature-conservancy-fisheries-monitoring
,,,,,0,zfturbo/fishy-keras-lb-1-25267,Fishy Keras [LB: 1.25267],ZFTurbo,,2016-11-14T15:12:59.237Z,,False,,False,False,False,False,False,False,False,[],[],[],[],121,the-nature-conservancy-fisheries-monitoring
,,,,,0,narae78/fish-detection,Fish detection,Hugo SECHIER,,2016-11-22T12:50:53.347Z,,False,,False,False,False,False,False,False,False,[],[],[],[],72,the-nature-conservancy-fisheries-monitoring
,,,,,0,drn01z3/mxnet-xgboost-simple-solution,mxnet + xgboost simple solution,n01z3,,2016-11-14T17:54:22.12Z,,False,,False,False,False,False,False,False,False,[],[],[],[],57,the-nature-conservancy-fisheries-monitoring
,,,,,0,sbrugman/tricks-for-the-kaggle-leaderboard,Tricks for the Kaggle Leaderboard,Simon,,2017-06-01T14:55:23.813Z,,False,,False,False,False,False,False,False,False,[],[],[],[],50,the-nature-conservancy-fisheries-monitoring
,,,,,0,jeffd23/deep-learning-in-the-deep-blue-lb-1-279,Deep Learning in the Deep Blue ~LB 1.279,Jeff Delaney,,2016-11-15T21:49:12.087Z,,False,,False,False,False,False,False,False,False,[],[],[],[],49,the-nature-conservancy-fisheries-monitoring
,,,,,0,sudalairajkumar/simple-exploration-notebook-nda-compliant,Simple Exploration Notebook (NDA Compliant),SRK,,2016-11-16T04:18:57.16Z,,False,,False,False,False,False,False,False,False,[],[],[],[],30,the-nature-conservancy-fisheries-monitoring
,,,,,0,xingyang/show-me-the-fishes-object-localization-with-cnn,Show me the fishes (Object Localization with CNN),ChaseWind,,2017-03-14T21:35:57.327Z,,False,,False,False,False,False,False,False,False,[],[],[],[],27,the-nature-conservancy-fisheries-monitoring
,,,,,0,sudalairajkumar/simple-exploration-notebook-v2-0,Simple Exploration Notebook V2.0,SRK,,2016-11-16T03:57:12.29Z,,False,,False,False,False,False,False,False,False,[],[],[],[],26,the-nature-conservancy-fisheries-monitoring
,,,,,0,qiubit/detecting-night-photos,Detecting night photos,qiubit,,2016-11-20T19:24:16.747Z,,False,,False,False,False,False,False,False,False,[],[],[],[],25,the-nature-conservancy-fisheries-monitoring
,,,,,0,craigglastonbury/using-inceptionv3-features-svm-classifier,Using InceptionV3 features - SVM classifier,Craig Glastonbury,,2017-01-18T13:58:49.853Z,,False,,False,False,False,False,False,False,False,[],[],[],[],24,the-nature-conservancy-fisheries-monitoring
,,,,,0,kretes/duplicate-and-similar-images,Duplicate and similar images,Tomasz Bartczak,,2016-11-17T21:23:26.577Z,,False,,False,False,False,False,False,False,False,[],[],[],[],19,the-nature-conservancy-fisheries-monitoring
,,,,,0,dollardollar/validation-split-via-vgg-based-clustering,Validation split via VGG-based clustering,Christian Hirsch,,2017-01-18T22:18:30.567Z,,False,,False,False,False,False,False,False,False,[],[],[],[],18,the-nature-conservancy-fisheries-monitoring
,,,,,0,cetusparibus/fish-keras-forked,fish_keras_forked,DanielSiegle,,2017-01-04T16:46:51.523Z,,False,,False,False,False,False,False,False,False,[],[],[],[],11,the-nature-conservancy-fisheries-monitoring
,,,,,0,blackcore/fish-keras-test,fish_keras_test,BlackCore,,2017-01-04T20:33:31.953Z,,False,,False,False,False,False,False,False,False,[],[],[],[],10,the-nature-conservancy-fisheries-monitoring
,,,,,0,tonypoe/svm-implementation-for-nature-conservatory,SVM Implementation for Nature Conservatory,tony poerio,,2016-12-24T22:54:23.877Z,,False,,False,False,False,False,False,False,False,[],[],[],[],10,the-nature-conservancy-fisheries-monitoring
,,,,,0,tonypoe/keras-cnn-example,Keras CNN Example ,tony poerio,,2016-12-24T01:34:11.497Z,,False,,False,False,False,False,False,False,False,[],[],[],[],8,the-nature-conservancy-fisheries-monitoring
,,,,,0,demoon/deep-forest-1-4-public-log-loss-with-1-5-data,"Deep Forest, 1.4 public log loss with 1/5 data",Daniel S.,,2017-03-23T03:47:28.62Z,,False,,False,False,False,False,False,False,False,[],[],[],[],7,the-nature-conservancy-fisheries-monitoring
,,,,,0,mbeierling/finding-boatids-using-pca-k-means,Finding BoatIDs - using PCA & k-Means,Martin Beierling-Mutz,,2017-01-12T12:39:31.407Z,,False,,False,False,False,False,False,False,False,[],[],[],[],7,the-nature-conservancy-fisheries-monitoring
,,,,,0,amitchoudhary/fish-v3,fish_v3,Amit Choudhary,,2016-12-05T10:02:52.45Z,,False,,False,False,False,False,False,False,False,[],[],[],[],7,the-nature-conservancy-fisheries-monitoring
,,,,,0,craigglastonbury/perfect-nof-recall,Perfect NoF recall,Craig Glastonbury,,2017-01-27T17:37:20.71Z,,False,,False,False,False,False,False,False,False,[],[],[],[],6,the-nature-conservancy-fisheries-monitoring
,,,,,0,umeshks/fish-detection,Fish detection,Umesh K,,2017-01-18T03:19:34.56Z,,False,,False,False,False,False,False,False,False,[],[],[],[],6,the-nature-conservancy-fisheries-monitoring
,,,,,0,andrelopes1705/lasagne-based-of-zfturbo-keras-code,Lasagne based of  ZFTurbo-Keras-Code,Andre lopes,,2017-01-09T19:35:18.49Z,,False,,False,False,False,False,False,False,False,[],[],[],[],6,the-nature-conservancy-fisheries-monitoring
