languageNullable,kernelTypeNullable,isPrivateNullable,enableGpuNullable,enableInternetNullable,id,ref,title,author,slug,lastRunTime,language,hasLanguage,kernelType,hasKernelType,isPrivate,hasIsPrivate,enableGpu,hasEnableGpu,enableInternet,hasEnableInternet,categoryIds,datasetDataSources,kernelDataSources,competitionDataSources,totalVotes,competitionId
,,,,,0,juliaelliott/basic-starter-kernel-ncaa-women-s-dataset,Basic Starter Kernel - NCAA Women's Dataset,Julia Elliott,,2018-02-13T00:11:14.887Z,,False,,False,False,False,False,False,False,False,[],[],[],[],68,womens-machine-learning-competition-2018
,,,,,0,tejasrinivas/preprocessing-code-to-join-all-the-tables-eda,Preprocessing code to join all the tables & EDA,Teza,,2018-03-20T05:24:02.41Z,,False,,False,False,False,False,False,False,False,[],[],[],[],31,womens-machine-learning-competition-2018
,,,,,0,robikscube/eda-of-women-s-ncaa-bracket-data-in-progress,EDA of Women's NCAA Bracket Data (in progress),Rob Mulla,,2018-02-21T15:54:15.577Z,,False,,False,False,False,False,False,False,False,[],[],[],[],17,womens-machine-learning-competition-2018
,,,,,0,senkin13/lgbm-starter,lgbm_starter,senkin13,,2018-02-22T11:53:05.98Z,,False,,False,False,False,False,False,False,False,[],[],[],[],9,womens-machine-learning-competition-2018
,,,,,0,baeng72/search-for-a-useful-home-court-advantage-estimator,Search for a useful home-court advantage estimator,Brian E,,2018-03-02T11:18:21.17Z,,False,,False,False,False,False,False,False,False,[],[],[],[],5,womens-machine-learning-competition-2018
,,,,,0,amlanpraharaj/simple-lr-using-only-seeds,simple lr using only seeds,Amlan Praharaj,,2018-03-16T13:06:19.02Z,,False,,False,False,False,False,False,False,False,[],[],[],[],4,womens-machine-learning-competition-2018
,,,,,0,thawatt/calculate-elo-and-rpi,Calculate ELO and RPI,Michael Maguire,,2018-03-07T23:46:52.413Z,,False,,False,False,False,False,False,False,False,[],[],[],[],4,womens-machine-learning-competition-2018
,,,,,0,octaviosantana/creating-new-feature,Creating  New Feature,Octávio Santana,,2018-02-24T16:01:57.12Z,,False,,False,False,False,False,False,False,False,[],[],[],[],3,womens-machine-learning-competition-2018
,,,,,0,anqitu/how-i-get-full-mark,How I get FULL mark,anqitu,,2018-03-04T07:34:25.34Z,,False,,False,False,False,False,False,False,False,[],[],[],[],2,womens-machine-learning-competition-2018
,,,,,0,jtrotman/visualise-stage-1-submission-as-heatmaps-women-s,Visualise stage 1 submission as heatmaps - Women's,James Trotman,,2018-03-15T12:33:56.54Z,,False,,False,False,False,False,False,False,False,[],[],[],[],2,womens-machine-learning-competition-2018
